Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-May-2024,W35 B̴stad,3,Clay,R32,604,362,0,,8,Fanny Ostlund,Olga Helmi,5-7 6-4 6-4,,,,,,,,,,,,,,
29-Apr-2024,W35 Nottingham,3,Hard,R16,570,857,0,,Q,Arlinda Rushiti,Olga Helmi,7-6(5) 6-3,,,,,,,,,,,,,,
29-Apr-2024,W35 Nottingham,3,Hard,R32,570,669,1,,,Olga Helmi,Julie Belgraver,6-0 7-6(5),,,,,,,,,,,,,,
1-Apr-2024,W15 Monastir,3,Hard,R32,555,,0,4,Q,Camilia Samel Druz,Olga Helmi,6-7(2) 6-3 6-1,,,,,,,,,,,,,,
19-Feb-2024,W15 Manacor,3,Hard,R32,521,,0,1,Q,Tian Jialin,Olga Helmi,6-2 3-0 RET,,,,,,,,,,,,,,
20-Nov-2023,W25 Lousada,3,Hard,R32,515,267,0,,8,Antonia Ruzic,Olga Helmi,6-2 6-0,,,,,,,,,,,,,,
13-Nov-2023,W40 Funchal,3,Hard,Q2,517,464,0,9,5,Anastasia Kovaleva,Olga Helmi,6-0 3-6 6-0,,,,,,,,,,,,,,
13-Nov-2023,W40 Funchal,3,Hard,Q1,517,1109,1,9,,Olga Helmi,Carolin Raschdorf,6-3 0-6 6-2,,,,,,,,,,,,,,
30-Oct-2023,W25 Solarino,3,Carpet,R32,505,456,0,,,Laura Hietaranta,Olga Helmi,6-3 6-3,,,,,,,,,,,,,,
23-Oct-2023,W100 Les Franqueses del Valles,3,Hard,Q2,505,535,0,6,9,Nahia Berecoechea,Olga Helmi,5-2 RET,,,,,,,,,,,,,,
23-Oct-2023,W100 Les Franqueses del Valles,3,Hard,Q1,505,1213,1,6,,Olga Helmi,Olivia Gram,7-6(3) 6-4,,,,,,,,,,,,,,
9-Oct-2023,W40 Quinta do Lago,3,Hard,Q1,506,719,0,16,,Sofia Milatova,Olga Helmi,6-4 6-1,,,,,,,,,,,,,,
2-Oct-2023,W25 Baza,3,Hard,R16,510,203,0,,3,Gabriela Andrea Knutson,Olga Helmi,6-1 6-7(5) 6-4,,,,,,,,,,,,,,
2-Oct-2023,W25 Baza,3,Hard,R32,510,1024,1,,WC,Olga Helmi,Maria Garcia Cid,6-2 6-3,,,,,,,,,,,,,,
18-Sep-2023,W60+H Caldas da Rainha,3,Hard,R32,495,313,0,Q,,Maria Bondarenko,Olga Helmi,5-7 6-4 6-1,,,,,,,,,,,,,,
18-Sep-2023,W60+H Caldas da Rainha,3,Hard,Q2,495,550,1,6,13,Olga Helmi,Matilde Jorge,7-6(1) 6-2,,,,,,,,,,,,,,
11-Sep-2023,W80 Le Neubourg,3,Hard,R32,414,223,0,Q,8,Alice Robbe,Olga Helmi,6-2 3-6 6-2,,,,,,,,,,,,,,
11-Sep-2023,W80 Le Neubourg,3,Hard,Q2,414,743,1,1,,Olga Helmi,Diana Martynov,6-4 7-5,,,,,,,,,,,,,,
28-Aug-2023,W25 Valladolid,3,Hard,SF,449,588,0,,,Marina Stakusic,Olga Helmi,6-4 6-2,,,,,,,,,,,,,,
28-Aug-2023,W25 Valladolid,3,Hard,QF,449,312,1,,6,Olga Helmi,Georgina Garcia Perez,6-2 6-3,,,,,,,,,,,,,,
28-Aug-2023,W25 Valladolid,3,Hard,R16,449,642,1,,,Olga Helmi,Emilie Lindh Gallagher,7-6(4) 6-4,,,,,,,,,,,,,,
28-Aug-2023,W25 Valladolid,3,Hard,R32,449,,1,,WC,Olga Helmi,Molly Helgesson,6-1 6-2,,,,,,,,,,,,,,
21-Aug-2023,W25 Vigo,3,Hard,R16,468,249,0,,2,Jana Fett,Olga Helmi,7-6(3) 6-0,,,,,,,,,,,,,,
21-Aug-2023,W25 Vigo,3,Hard,R32,468,522,1,,Q,Olga Helmi,Pemra Ozgen,6-3 7-6(4),,,,,,,,,,,,,,
31-Jul-2023,W60 Barcelona,3,Hard,R32,465,193,0,Q,3,Valeria Savinykh,Olga Helmi,7-6(3) 6-3,,,,,,,,,,,,,,
17-Jul-2023,W40 Porto,3,Hard,R64,449,391,0,,,Maria Bondarenko,Olga Helmi,6-0 6-4,,,,,,,,,,,,,,
10-Jul-2023,W25 Corroios-Seixal,3,Hard,Q2,434,690,0,4,11,Darya Shauha,Olga Helmi,6-0 6-1,,,,,,,,,,,,,,
10-Jul-2023,W25 Corroios-Seixal,3,Hard,Q1,434,1253,1,4,,Olga Helmi,Holly Hutchinson,6-2 7-6(5),,,,,,,,,,,,,,
12-Jun-2023,W60 Madrid,3,Hard,R32,408,344,0,,13,Nefisa Berberovic,Olga Helmi,7-5 6-3,,,,,,,,,,,,,,
12-Jun-2023,W60 Madrid,3,Hard,R64,408,725,1,,Q,Olga Helmi,Flavie Brugnone,6-2 6-3,,,,,,,,,,,,,,
5-Jun-2023,W25 Setubal,3,Hard,R32,423,1047,0,,Q,Gabriella Da Silva Fick,Olga Helmi,7-6(6) 7-5,,,,,,,,,,,,,,
29-May-2023,W40 Montemor-O-Novo,3,Hard,R16,423,268,0,,4,Karman Thandi,Olga Helmi,7-6(4) 6-3,,,,,,,,,,,,,,
29-May-2023,W40 Montemor-O-Novo,3,Hard,R32,423,995,1,,Q,Olga Helmi,Olivia Gram,6-4 6-3,,,,,,,,,,,,,,
8-May-2023,W25 Platja D'Aro,3,Clay,R32,375,479,0,,Q,Lucia Cortez Llorca,Olga Helmi,7-6(2) 6-3,,,,,,,,,,,,,,
24-Apr-2023,W40+H Calvi,3,Hard,R16,382,338,0,,,Naiktha Bains,Olga Helmi,2-6 6-3 6-4,,,,,,,,,,,,,,
24-Apr-2023,W40+H Calvi,3,Hard,R32,382,830,1,,WC,Olga Helmi,Amandine Hesse,6-3 3-6 6-3,,,,,,,,,,,,,,
10-Apr-2023,W60 Chiasso,3,Clay,Q2,385,317,0,12,4,Lena Rueffer,Olga Helmi,6-1 6-1,,,,,,,,,,,,,,
10-Apr-2023,W60 Chiasso,3,Clay,Q1,385,567,1,12,,Olga Helmi,Adrienn Nagy,4-6 6-4 6-3,,,,,,,,,,,,,,
20-Mar-2023,W25 Palmanova,3,Clay,Q2,387,530,0,7,,Chantal Sauvant,Olga Helmi,6-3 3-6 10-4,,,,,,,,,,,,,,
20-Mar-2023,W25 Palmanova,3,Clay,Q1,387,1167,1,7,,Olga Helmi,Teja Tirunelveli,6-1 6-0,,,,,,,,,,,,,,
13-Mar-2023,W25 Palmanova,3,Clay,Q3,387,462,0,2,16,Ioana Loredana Rosca,Olga Helmi,5-7 6-4 10-5,,,,,,,,,,,,,,
13-Mar-2023,W25 Palmanova,3,Clay,Q2,387,663,1,2,,Olga Helmi,Ines Murta,6-4 6-2,,,,,,,,,,,,,,
27-Feb-2023,W25 Joue les Tours,3,Hard,R16,386,671,0,Q,WC,Nina Radovanovic,Olga Helmi,6-3 6-3,,,,,,,,,,,,,,
27-Feb-2023,W25 Joue les Tours,3,Hard,R32,386,202,1,Q,3,Olga Helmi,Selena Janicijevic,6-3 6-2,,,,,,,,,,,,,,
27-Feb-2023,W25 Joue les Tours,3,Hard,Q2,386,,1,2,,Olga Helmi,Georgina Hays,6-4 1-6 11-9,,,,,,,,,,,,,,
27-Feb-2023,W25 Joue les Tours,3,Hard,Q1,386,734,1,2,,Olga Helmi,Tilwith Di Girolami,6-4 2-6 11-9,,,,,,,,,,,,,,
13-Feb-2023,W25 Glasgow,3,Hard,R16,409,267,0,,6,Lea Boskovic,Olga Helmi,6-2 6-2,,,,,,,,,,,,,,
13-Feb-2023,W25 Glasgow,3,Hard,R32,409,607,1,,Q,Olga Helmi,Naho Sato,7-6(3) 6-2,,,,,,,,,,,,,,
6-Feb-2023,W25 Bath,3,Hard,R16,404,293,0,,5,Alice Robbe,Olga Helmi,6-3 6-2,,,,,,,,,,,,,,
6-Feb-2023,W25 Bath,3,Hard,R32,404,586,1,,WC,Olga Helmi,Jasmine Conway,6-3 4-6 7-5,,,,,,,,,,,,,,
30-Jan-2023,W40 Porto,3,Hard,Q2,400,404,0,8,12,Sofya Lansere,Olga Helmi,7-5 6-3,,,,,,,,,,,,,,
9-Jan-2023,W25 Loughborough,3,Hard,R32,399,551,0,5,,Talia Neilson Gatenby,Olga Helmi,6-4 5-7 6-4,,,,,,,,,,,,,,
12-Dec-2022,W25 Monastir,3,Hard,R32,403,532,0,,,Alexandra Vecic,Olga Helmi,6-1 6-4,,,,,,,,,,,,,,
5-Dec-2022,W25 Monastir,3,Hard,R32,406,495,0,,,Oana Gavrila,Olga Helmi,6-3 6-2,,,,,,,,,,,,,,
14-Nov-2022,W25 Funchal,3,Hard,R32,382,902,0,5,WC,Vlada Ekshibarova,Olga Helmi,6-1 6-2,,,,,,,,,,,,,,
31-Oct-2022,W100 Shrewsbury,3,Hard,Q1,393,1111,0,9,WC,Ella Mcdonald,Olga Helmi,6-2 6-2,,,,,,,,,,,,,,
24-Oct-2022,W25 Loughborough,3,Hard,R16,389,391,0,,,Ulrikke Eikeri,Olga Helmi,4-6 6-4 6-2,,,,,,,,,,,,,,
24-Oct-2022,W25 Loughborough,3,Hard,R32,389,303,1,,8,Olga Helmi,Mariam Bolkvadze,7-5 3-2 RET,,,,,,,,,,,,,,
17-Oct-2022,W25 Loule,3,Hard,R16,382,152,0,,1,Victoria Jimenez Kasintseva,Olga Helmi,6-1 5-7 6-3,,,,,,,,,,,,,,
17-Oct-2022,W25 Loule,3,Hard,R32,382,878,1,,WC,Olga Helmi,Ana Filipa Santos,7-6(1) 6-4,,,,,,,,,,,,,,
10-Oct-2022,W25 Quinta do Lago,3,Hard,R32,388,310,0,,,Cagla Buyukakcay,Olga Helmi,7-5 6-4,,,,,,,,,,,,,,
19-Sep-2022,W15 Ceuta,3,Hard,F,394,892,1,1,2,Olga Helmi,Louise Brunskog,4-0 RET,,,,,,,,,,,,,,
19-Sep-2022,W15 Ceuta,3,Hard,SF,394,998,1,1,3,Olga Helmi,Olga Parres Azcoitia,6-3 6-2,,,,,,,,,,,,,,
19-Sep-2022,W15 Ceuta,3,Hard,QF,394,1247,1,1,5,Olga Helmi,Lucia Llinares Domingo,7-5 6-1,,,,,,,,,,,,,,
19-Sep-2022,W15 Ceuta,3,Hard,R16,394,,1,1,,Olga Helmi,Josefina Zehnder,6-2 6-2,,,,,,,,,,,,,,
12-Sep-2022,W60+H Caldas da Rainha,3,Hard,SF,475,201,0,Q,7,Marina Bassols Ribera,Olga Helmi,6-0 6-4,,,,,,,,,,,,,,
12-Sep-2022,W60+H Caldas da Rainha,3,Hard,QF,475,233,1,Q,,Olga Helmi,Yuliya Hatouka,6-2 2-6 7-6(5),,,,,,,,,,,,,,
12-Sep-2022,W60+H Caldas da Rainha,3,Hard,R16,475,337,1,Q,,Olga Helmi,Eden Silva,6-1 2-6 6-0,,,,,,,,,,,,,,
12-Sep-2022,W60+H Caldas da Rainha,3,Hard,R32,475,462,1,Q,Q,Olga Helmi,Katarina Jokic,5-7 6-3 6-3,,,,,,,,,,,,,,
12-Sep-2022,W60+H Caldas da Rainha,3,Hard,Q2,475,543,1,8,10,Olga Helmi,Elysia Bolton,7-5 6-0,,,,,,,,,,,,,,
12-Sep-2022,W60+H Caldas da Rainha,3,Hard,Q1,475,,1,8,,Olga Helmi,Mey Ayari,6-1 6-0,,,,,,,,,,,,,,
29-Aug-2022,W25 Leiria,3,Hard,R32,481,224,0,,4,Antonia Ruzic,Olga Helmi,3-6 7-5 6-3,,,,,,,,,,,,,,
22-Aug-2022,W25 Vigo,3,Hard,R32,457,480,0,8,,Anna Brogan,Olga Helmi,1-6 7-5 7-5,,,,,,,,,,,,,,
15-Aug-2022,W25 Ourense,3,Hard,R32,455,277,0,,3,Ivonne Cavalle Reimers,Olga Helmi,6-4 6-7(5) 6-1,,,,,,,,,,,,,,
25-Jul-2022,W25 El EspinarSegovia,3,Hard,R16,442,326,0,,7,Eva Guerrero Alvarez,Olga Helmi,6-1 6-2,,,,,,,,,,,,,,
25-Jul-2022,W25 El EspinarSegovia,3,Hard,R32,442,628,1,,,Olga Helmi,Rebeka Stolmar,6-3 3-6 6-3,,,,,,,,,,,,,,
18-Jul-2022,W60 Vitoria-Gasteiz,3,Hard,R16,463,500,0,,Q,Jenny Duerst,Olga Helmi,6-3 6-1,,,,,,,,,,,,,,
18-Jul-2022,W60 Vitoria-Gasteiz,3,Hard,R32,463,817,1,,Q,Olga Helmi,Laetitia Pulchartova,2-6 6-2 6-3,,,,,,,,,,,,,,
11-Jul-2022,W25 Roehampton,3,Hard,R16,448,277,0,,4,Danielle Lao,Olga Helmi,6-4 6-3,,,,,,,,,,,,,,
11-Jul-2022,W25 Roehampton,3,Hard,R32,448,,1,,Q,Olga Helmi,Amarni Banks,6-4 6-4,,,,,,,,,,,,,,
4-Jul-2022,W25 Corroios-Seixal,3,Hard,R32,432,427,0,Q,,Sakura Hosogi,Olga Helmi,7-5 7-6(1),,,,,,,,,,,,,,
4-Jul-2022,W25 Corroios-Seixal,3,Hard,Q2,432,1076,1,1,11,Olga Helmi,Natsuho Arakawa,6-4 7-6(5),,,,,,,,,,,,,,
27-Jun-2022,W25 Porto,3,Hard,R16,432,312,0,,5,Pemra Ozgen,Olga Helmi,6-2 6-2,,,,,,,,,,,,,,
27-Jun-2022,W25 Porto,3,Hard,R32,432,,1,,Q,Olga Helmi,Mariya Dolzhenko,6-4 4-6 6-3,,,,,,,,,,,,,,
13-Jun-2022,W60 Madrid,3,Hard,R32,460,320,0,,15,En Shuo Liang,Olga Helmi,3-6 7-6(7) 6-4,,,,,,,,,,,,,,
13-Jun-2022,W60 Madrid,3,Hard,R64,460,404,1,,,Olga Helmi,Maria Gutierrez Carrasco,6-4 7-5,,,,,,,,,,,,,,
6-Jun-2022,W25 Madrid,3,Hard,QF,455,177,0,,1,Jaimee Fourlis,Olga Helmi,6-2 6-3,,,,,,,,,,,,,,
6-Jun-2022,W25 Madrid,3,Hard,R16,455,307,1,,5,Olga Helmi,Eudice Wong Chong,6-2 3-6 7-5,,,,,,,,,,,,,,
6-Jun-2022,W25 Madrid,3,Hard,R32,455,724,1,,Q,Olga Helmi,Himari Sato,6-1 7-5,,,,,,,,,,,,,,
16-May-2022,W25 Montemor-O-Novo,3,Hard,R32,428,,0,6,,Sofia Milatova,Olga Helmi,6-1 6-1,,,,,,,,,,,,,,
2-May-2022,W25 Monastir,3,Hard,SF,463,492,0,,,Sakura Hosogi,Olga Helmi,6-2 6-3,,,,,,,,,,,,,,
2-May-2022,W25 Monastir,3,Hard,QF,463,535,1,,,Olga Helmi,Kimberly Birrell,6-4 6-4,,,,,,,,,,,,,,
2-May-2022,W25 Monastir,3,Hard,R16,463,711,1,,WC,Olga Helmi,Yidi Yang,6-4 7-6(4),,,,,,,,,,,,,,
2-May-2022,W25 Monastir,3,Hard,R32,463,996,1,,WC,Olga Helmi,Sahaja Yamalapalli,6-2 7-5,,,,,,,,,,,,,,
25-Apr-2022,W25 Monastir,3,Hard,R16,463,423,0,,,Ekaterina Yashina,Olga Helmi,7-6(3) 6-3,,,,,,,,,,,,,,
25-Apr-2022,W25 Monastir,3,Hard,R32,463,444,1,,Q,Olga Helmi,Erika Sema,6-3 6-4,,,,,,,,,,,,,,
18-Apr-2022,W25 Monastir,3,Hard,R32,463,105,0,,1,Lin Zhu,Olga Helmi,6-3 6-1,,,,,,,,,,,,,,
4-Apr-2022,W15 Antalya,3,Clay,R16,463,1275,0,7,WC,Hanne Vandewinkel,Olga Helmi,6-2 4-6 6-3,,,,,,,,,,,,,,
4-Apr-2022,W15 Antalya,3,Clay,R32,463,484,1,7,,Olga Helmi,Sofia Nami Samavati,6-0 4-6 6-4,,,,,,,,,,,,,,
21-Feb-2022,W25 Macon,3,Hard,Q2,460,699,0,2,12,Cristina Andreea Mitu,Olga Helmi,6-3 6-2,,,,,,,,,,,,,,
21-Feb-2022,W25 Macon,3,Hard,Q1,460,1202,1,2,,Olga Helmi,Lea Tholey,6-1 4-6 11-9,,,,,,,,,,,,,,
14-Feb-2022,W25 Glasgow,3,Hard,R32,458,1066,0,,Q,Weronika Baszak,Olga Helmi,6-4 6-7(7) 6-3,,,,,,,,,,,,,,
24-Jan-2022,W25 Loughborough,3,Hard,R32,458,317,0,,7,Sarah Beth Grey,Olga Helmi,6-1 3-6 6-1,,,,,,,,,,,,,,
17-Jan-2022,W25 Manacor,3,Hard,Q1,458,918,0,6,,Anna Brogan,Olga Helmi,7-6(4) 6-2,,,,,,,,,,,,,,
10-Jan-2022,W25 Bath,3,Hard,R32,460,,0,4,WC,Lauryn John Baptiste,Olga Helmi,6-4 7-5,,,,,,,,,,,,,,
29-Nov-2021,W25 Selva Gardena,3,Hard,Q2,460,650,0,5,16,Tina Nadine Smith,Olga Helmi,6-1 6-2,,,,,,,,,,,,,,
29-Nov-2021,W25 Selva Gardena,3,Hard,Q1,460,1066,1,5,,Olga Helmi,Arianna Zucchini,1-6 6-1 11-9,,,,,,,,,,,,,,
15-Nov-2021,W25 Petange,3,Hard,R32,470,324,0,SE,SR,Kathinka Von Deichmann,Olga Helmi,6-2 7-6(5),,,,,,,,,,,,,,
8-Nov-2021,W15 Helsingborg,3,Hard,F,474,504,1,1,2,Olga Helmi,Caijsa Wilda Hennemann,6-4 1-6 6-4,,,,,,,,,,,,,,
8-Nov-2021,W15 Helsingborg,3,Hard,SF,474,517,1,1,3,Olga Helmi,Fanny Ostlund,6-1 6-3,,,,,,,,,,,,,,
8-Nov-2021,W15 Helsingborg,3,Hard,QF,474,776,1,1,,Olga Helmi,Sofia Nami Samavati,2-6 6-3 6-3,,,,,,,,,,,,,,
8-Nov-2021,W15 Helsingborg,3,Hard,R16,474,918,1,1,,Olga Helmi,Julita Saner,4-6 6-1 6-3,,,,,,,,,,,,,,
8-Nov-2021,W15 Helsingborg,3,Hard,R32,474,1152,1,1,Q,Olga Helmi,Naima Karamoko,6-4 6-4,,,,,,,,,,,,,,
18-Oct-2021,W25 Hamburg,3,Hard,R16,479,727,0,Q,SE,Antonia Ruzic,Olga Helmi,6-4 0-6 6-0,,,,,,,,,,,,,,
18-Oct-2021,W25 Hamburg,3,Hard,R32,479,320,1,Q,SR,Olga Helmi,Anna Zaja,7-6(2) 6-4,,,,,,,,,,,,,,
18-Oct-2021,W25 Hamburg,3,Hard,Q2,479,684,1,4,15,Olga Helmi,Eliessa Vanlangendonck,6-4 6-1,,,,,,,,,,,,,,
18-Oct-2021,W25 Hamburg,3,Hard,Q1,479,796,1,4,,Olga Helmi,Sofia Nami Samavati,6-4 3-6 10-2,,,,,,,,,,,,,,
11-Oct-2021,W25 Lagos,3,Hard,Q2,480,420,0,7,6,Anna Turati,Olga Helmi,7-5 6-2,,,,,,,,,,,,,,
11-Oct-2021,W25 Lagos,3,Hard,Q1,480,,1,7,,Olga Helmi,Maria Beatriz Teixeira,6-1 6-1,,,,,,,,,,,,,,
27-Sep-2021,W15 Monastir,3,Hard,R32,507,,0,2,WC,Mia Mack,Olga Helmi,7-6(3) 6-4,,,,,,,,,,,,,,
20-Sep-2021,W15 Monastir,3,Hard,F,510,815,1,1,8,Olga Helmi,Clara Vlasselaer,6-1 6-3,,,,,,,,,,,,,,
20-Sep-2021,W15 Monastir,3,Hard,SF,510,960,1,1,,Olga Helmi,Elena Milovanovic,6-4 6-0,,,,,,,,,,,,,,
20-Sep-2021,W15 Monastir,3,Hard,QF,510,,1,1,,Olga Helmi,Pimrada Jattavapornvanit,6-4 4-6 6-2,,,,,,,,,,,,,,
20-Sep-2021,W15 Monastir,3,Hard,R16,510,843,1,1,,Olga Helmi,Eszter Meri,7-5 6-2,,,,,,,,,,,,,,
20-Sep-2021,W15 Monastir,3,Hard,R32,510,1156,1,1,Q,Olga Helmi,Emily Welker,6-2 7-5,,,,,,,,,,,,,,
13-Sep-2021,W15 Monastir,3,Hard,QF,509,718,0,1,5,Dalayna Hewitt,Olga Helmi,7-5 1-0 RET,,,,,,,,,,,,,,
13-Sep-2021,W15 Monastir,3,Hard,R16,509,,1,1,Q,Olga Helmi,Sahaja Yamalapalli,7-5 6-4,,,,,,,,,,,,,,
13-Sep-2021,W15 Monastir,3,Hard,R32,509,817,1,1,,Olga Helmi,Rina Saigo,6-4 6-3,,,,,,,,,,,,,,
23-Aug-2021,W25 Vigo,3,Hard,R32,545,383,0,,,Justina Mikulskyte,Olga Helmi,6-2 6-2,,,,,,,,,,,,,,
16-Aug-2021,W25 Ourense,3,Hard,QF,544,347,0,,6,Olivia Gadecki,Olga Helmi,4-6 6-4 6-3,,,,,,,,,,,,,,
16-Aug-2021,W25 Ourense,3,Hard,R16,544,255,1,,1,Olga Helmi,Conny Perrin,6-2 6-3,,,,,,,,,,,,,,
16-Aug-2021,W25 Ourense,3,Hard,R32,544,385,1,,,Olga Helmi,Justina Mikulskyte,6-3 3-6 6-4,,,,,,,,,,,,,,
9-Aug-2021,W15 Monastir,3,Hard,R32,580,859,0,6,,Lauren Proctor,Olga Helmi,7-5 RET,,,,,,,,,,,,,,
2-Aug-2021,W15 Monastir,3,Hard,F,585,,1,4,Q,Olga Helmi,Akvile Parazinskaite,6-0 6-3,,,,,,,,,,,,,,
2-Aug-2021,W15 Monastir,3,Hard,SF,585,481,1,4,1,Olga Helmi,Ganna Poznikhirenko,6-0 3-0 RET,,,,,,,,,,,,,,
2-Aug-2021,W15 Monastir,3,Hard,QF,585,806,1,4,,Olga Helmi,Lauren Proctor,2-6 6-3 6-4,,,,,,,,,,,,,,
2-Aug-2021,W15 Monastir,3,Hard,R16,585,1209,1,4,Q,Olga Helmi,Gianna Pielet,6-2 6-1,,,,,,,,,,,,,,
2-Aug-2021,W15 Monastir,3,Hard,R32,585,835,1,4,,Olga Helmi,Federica Prati,6-3 6-1,,,,,,,,,,,,,,
26-Jul-2021,W15 Monastir,3,Hard,R16,581,744,0,3,,Ayumi Koshiishi,Olga Helmi,6-1 7-5,,,,,,,,,,,,,,
26-Jul-2021,W15 Monastir,3,Hard,R32,581,1017,1,3,Q,Olga Helmi,Nadine Keller,7-5 6-3,,,,,,,,,,,,,,
5-Jul-2021,W25 Lisbon,3,Hard,R16,709,400,0,Q,,Ivonne Cavalle Reimers,Olga Helmi,7-6(6) 4-6 6-2,,,,,,,,,,,,,,
5-Jul-2021,W25 Lisbon,3,Hard,R32,709,256,1,Q,5,Olga Helmi,Na Lae Han,6-4 7-6(6),,,,,,,,,,,,,,
5-Jul-2021,W25 Lisbon,3,Hard,Q2,709,1408,1,6,12,Olga Helmi,Ines Oliveira,6-1 6-1,,,,,,,,,,,,,,
5-Jul-2021,W25 Lisbon,3,Hard,Q1,709,,1,6,,Olga Helmi,Sashi Kempster,6-0 6-0,,,,,,,,,,,,,,
21-Jun-2021,W25 Porto,3,Hard,QF,695,341,0,Q,,Arianne Hartono,Olga Helmi,6-0 4-6 6-2,,,,,,,,,,,,,,
21-Jun-2021,W25 Porto,3,Hard,R16,695,312,1,Q,8,Olga Helmi,Yuriko Miyazaki,6-4 6-3,,,,,,,,,,,,,,
21-Jun-2021,W25 Porto,3,Hard,R32,695,402,1,Q,,Olga Helmi,Risa Ushijima,6-0 6-1,,,,,,,,,,,,,,
21-Jun-2021,W25 Porto,3,Hard,Q3,695,484,1,15,7,Olga Helmi,Melanie Stokke,6-3 6-1,,,,,,,,,,,,,,
21-Jun-2021,W25 Porto,3,Hard,Q2,695,856,1,15,,Olga Helmi,Olga Parres Azcoitia,6-0 7-5,,,,,,,,,,,,,,
21-Jun-2021,W25 Porto,3,Hard,Q1,695,,1,15,,Olga Helmi,Barbara Balancho,6-0 6-0,,,,,,,,,,,,,,
17-May-2021,W15 Monastir,3,Hard,F,804,822,1,,,Olga Helmi,Ayumi Koshiishi,6-3 6-2,,,,,,,,,,,,,,
