Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Jun-1930,Stamford Hill,3,Grass,R64,,,0,,,Mianne Palfrey,P Shepherd,6-0 6-1,,,,,,,,,,,,,,
3-Jun-1929,North London,3,Grass,R32,,,0,,,Molly Smailes,P Shepherd,6-1 1-6 6-4,,,,,,,,,,,,,,
30-May-1927,North London,3,,R32,,,0,,,Gladys Seel,P Shepherd,6-0 6-1,,,,,,,,,,,,,,
31-May-1926,North London,3,Grass,R64,,,0,,,Elizabeth Macready,P Shepherd,6-1 6-1,,,,,,,,,,,,,,
1-Jun-1925,North London,3,Grass,R64,,,0,,,Edith Clarke,P Shepherd,6-4 6-0,,,,,,,,,,,,,,
2-Jun-1924,North London,3,Grass,R32,,,0,,,Mrs E M Buxton,P Shepherd,6-1 6-1,,,,,,,,,,,,,,
11-Jun-1923,Hornsey,3,Grass,R16,,,0,,,E H Hutchinson,P Shepherd,6-2 6-1,,,,,,,,,,,,,,
11-Jun-1923,Hornsey,3,Grass,R32,,,1,,,P Shepherd,A Cottrell,6-2 6-1,,,,,,,,,,,,,,
4-Jun-1923,North London,3,Grass,R64,,,0,,,Mrs B M Stranger,P Shepherd,6-2 6-4,,,,,,,,,,,,,,
10-Jul-1922,Hornsey,3,Grass,R16,,,0,,,Alida Klemantaski,P Shepherd,6-3 3-6 6-4,,,,,,,,,,,,,,
10-Jul-1922,Hornsey,3,Grass,R32,,,1,,,P Shepherd,Mrs A Finlay,6-1 6-4,,,,,,,,,,,,,,
5-Jun-1922,North London,3,Grass,R64,,,0,,,D Fenwick,P Shepherd,1-6 6-3 6-3,,,,,,,,,,,,,,
30-May-1921,North London,3,Grass,R32,,,0,,,V Molson,P Shepherd,6-2 8-6,,,,,,,,,,,,,,
