Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
27-Feb-2023,W25 Swan Hill,3,Grass,R32,872,1140,0,SR,Q,Melisa Ercan,Paige Mary Hourigan,6-3 6-3,,,,,,,,,,,,,,
20-Feb-2023,W25 Swan Hill,3,Grass,R32,816,295,0,Q,4,Alexandra Bozovic,Paige Mary Hourigan,6-4 4-6 6-1,,,,,,,,,,,,,,
20-Feb-2023,W25 Swan Hill,3,Grass,Q3,816,,1,1,16,Paige Mary Hourigan,Darcy Parke,6-3 6-1,,,,,,,,,,,,,,
20-Feb-2023,W25 Swan Hill,3,Grass,Q2,816,,1,1,,Paige Mary Hourigan,Zara Larke,6-1 6-1,,,,,,,,,,,,,,
6-Feb-2023,W25 Burnie,3,Hard,R16,820,284,0,SR,5,Himeno Sakatsume,Paige Mary Hourigan,6-4 6-1,,,,,,,,,,,,,,
6-Feb-2023,W25 Burnie,3,Hard,R32,820,989,1,SR,WC,Paige Mary Hourigan,Milan Krish,6-3 6-2,,,,,,,,,,,,,,
30-Jan-2023,W60 Burnie,3,Hard,Q2,817,907,0,6,9,Yaroslava Bartashevich,Paige Mary Hourigan,7-6(0) 6-2,,,,,,,,,,,,,,
19-Dec-2022,W25 Tauranga,3,Hard,R16,890,998,0,7,,Yuka Hosoki,Paige Mary Hourigan,6-4 3-6 6-3,,,,,,,,,,,,,,
19-Dec-2022,W25 Tauranga,3,Hard,R32,890,,1,7,Q,Paige Mary Hourigan,Sofia Shing,6-1 6-2,,,,,,,,,,,,,,
12-Dec-2022,W15 Wellington,3,Hard,R16,893,,0,2,WC,Kyna Decruy,Paige Mary Hourigan,W/O,,,,,,,,,,,,,,
12-Dec-2022,W15 Wellington,3,Hard,R32,893,,1,2,Q,Paige Mary Hourigan,Denise Torrealba,6-3 5-7 6-4,,,,,,,,,,,,,,
2-May-2022,W25 Nottingham,3,Hard,R32,464,646,0,,Q,Ayla Aksu,Paige Mary Hourigan,6-7(4) 6-1 6-4,,,,,,,,,,,,,,
25-Apr-2022,W25 Monastir,3,Hard,QF,464,870,0,,WC,Meiling Wang,Paige Mary Hourigan,6-1 6-4,,,,,,,,,,,,,,
25-Apr-2022,W25 Monastir,3,Hard,R16,464,451,1,,,Paige Mary Hourigan,Viktoria Morvayova,0-6 7-5 6-3,,,,,,,,,,,,,,
25-Apr-2022,W25 Monastir,3,Hard,R32,464,703,1,,WC,Paige Mary Hourigan,Emilie Lindh Gallagher,3-6 6-4 7-5,,,,,,,,,,,,,,
15-Apr-2022,BJK Cup G1 RR: IND vs NZL,3,Clay,RR,462,319,0,,,Ankita Raina,Paige Mary Hourigan,7-5 6-3,0.78,3.2%,4.8%,68.3%,55.8%,50.0%,55.6% (5/9),44.9%,35.9%,1.6%,30.0%,57.1%,66.7% (2/3),1:34
14-Apr-2022,BJK Cup G1 RR: JPN vs NZL,3,Clay,RR,462,208,0,,,Moyuka Uchijima,Paige Mary Hourigan,6-0 6-1,0.39,0.0%,9.7%,64.5%,20.0%,27.3%,0.0% (0/6),26.9%,30.6%,8.3%,25.0%,41.7%,100.0% (1/1),0:44
12-Apr-2022,BJK Cup G1 RR: CHN vs NZL,3,Clay,RR,462,97,0,,,Qiang Wang,Paige Mary Hourigan,6-4 6-0,0.65,0.0%,7.5%,50.9%,44.4%,42.3%,54.5% (6/11),39.8%,36.7%,3.3%,35.5%,37.9%,33.3% (1/3),1:20
4-Apr-2022,W15 Antalya,3,Clay,R32,445,1263,0,6,Q,Vicky Van De Peer,Paige Mary Hourigan,6-0 6-1,,,,,,,,,,,,,,
14-Feb-2022,W25 Canberra,3,Hard,R16,442,263,0,,4,Olivia Gadecki,Paige Mary Hourigan,6-2 6-2,,,,,,,,,,,,,,
14-Feb-2022,W25 Canberra,3,Hard,R32,442,,1,,Q,Paige Mary Hourigan,Elena Micic,6-4 7-5,,,,,,,,,,,,,,
7-Feb-2022,W25 Canberra,3,Hard,R16,448,263,0,,4,Olivia Gadecki,Paige Mary Hourigan,6-4 3-6 6-4,,,,,,,,,,,,,,
7-Feb-2022,W25 Canberra,3,Hard,R32,448,451,1,,,Paige Mary Hourigan,Alexandra Bozovic,4-6 7-6(5) 7-6(11),,,,,,,,,,,,,,
21-Jun-2021,W60 Charleston SC,3,Clay,R32,425,769,0,Q,Q,Emma Davis,Paige Mary Hourigan,4-6 7-6(4) 6-1,,,,,,,,,,,,,,
21-Jun-2021,W60 Charleston SC,3,Clay,Q1,425,951,1,3,,Paige Mary Hourigan,Joelle Kissell,6-1 6-1,,,,,,,,,,,,,,
14-Jun-2021,W25 Sumter SC,3,Hard,QF,434,275,0,,2,Alycia Parks,Paige Mary Hourigan,5-7 7-6(0) 6-4,,,,,,,,,,,,,,
14-Jun-2021,W25 Sumter SC,3,Hard,R16,434,371,1,,,Paige Mary Hourigan,Maria Mateas,7-6(4) 7-5,,,,,,,,,,,,,,
14-Jun-2021,W25 Sumter SC,3,Hard,R32,434,313,1,,8,Paige Mary Hourigan,Catherine Harrison,7-5 6-0,,,,,,,,,,,,,,
7-Jun-2021,W25 Santo Domingo,3,Hard,R16,396,314,0,,8,Marina Bassols Ribera,Paige Mary Hourigan,6-3 6-1,,,,,,,,,,,,,,
7-Jun-2021,W25 Santo Domingo,3,Hard,R32,396,568,1,,Q,Paige Mary Hourigan,Yuliana Lizarazo,6-1 6-3,,,,,,,,,,,,,,
31-May-2021,W25 Santo Domingo,3,Hard,R32,396,318,0,,7,Laura Pigossi,Paige Mary Hourigan,3-6 6-3 6-3,,,,,,,,,,,,,,
10-May-2021,W25 Salinas,3,Hard,QF,429,284,0,,3,Conny Perrin,Paige Mary Hourigan,6-3 6-3,,,,,,,,,,,,,,
10-May-2021,W25 Salinas,3,Hard,R16,429,781,1,,WC,Paige Mary Hourigan,Mell Elizabeth Reasco Gonzalez,6-1 6-4,,,,,,,,,,,,,,
10-May-2021,W25 Salinas,3,Hard,R32,429,,1,,WC,Paige Mary Hourigan,Andrea Camila Robles Cuellar,6-0 6-0,,,,,,,,,,,,,,
3-May-2021,W25 Salinas,3,Hard,R16,438,421,0,,,Carol Zhao,Paige Mary Hourigan,6-1 6-2,,,,,,,,,,,,,,
3-May-2021,W25 Salinas,3,Hard,R32,438,609,1,,Q,Paige Mary Hourigan,Maria Timofeeva,6-3 6-3,,,,,,,,,,,,,,
19-Apr-2021,W15 Monastir,3,Hard,F,439,494,1,1,4,Paige Mary Hourigan,Monika Kilnarova,6-3 6-2,,,,,,,,,,,,,,
