Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
26-Jan-1976,McAllen Futures,3,Hard,Q1,,,0,,,Marillia Matte,Pam Hobbs,6-1 6-4,,,,,,,,,,,,,,
2-Jun-1975,Chichester,3,Grass,R32,,,0,,,Terry Holladay,Pam Hobbs,7-5 6-3,,,,,,,,,,,,,,
26-May-1975,Surbiton,3,Grass,R32,,,0,,,Greer Stevens,Pam Hobbs,6-1 6-0,,,,,,,,,,,,,,
26-May-1975,Surbiton,3,Grass,R32,,,1,,,Pam Hobbs,Barbara Wanke,6-2 6-1,,,,,,,,,,,,,,
19-May-1975,Guildford,3,Clay,R32,,,0,,,Annette Coe,Pam Hobbs,7-5 6-3,,,,,,,,,,,,,,
11-Mar-1975,San Angelo Satellite,3,Hard,QF,,,0,,,Bunny Bruning,Pam Hobbs,6-0 6-2,,,,,,,,,,,,,,
11-Mar-1975,San Angelo Satellite,3,Hard,R16,,,1,,,Pam Hobbs,Rosemary Spillane,6-0 6-4,,,,,,,,,,,,,,
17-Feb-1975,San Antonio Satellite,3,Hard,R32,,,0,,,Mary Hamm,Pam Hobbs,6-2 6-1,,,,,,,,,,,,,,
10-Feb-1975,Amarillo Satellite,3,Hard,QF,,,0,,,Heather Dahlgren,Pam Hobbs,6-4 4-6 6-4,,,,,,,,,,,,,,
3-Feb-1975,McAllen Satellite,3,Hard,R16,,,0,,,Ruth Allan,Pam Hobbs,6-2 6-4,,,,,,,,,,,,,,
20-Aug-1973,Port Washington Satellite 2,3,,R32,,,0,,,Joanne Russell,Pam Hobbs,6-2 6-4,,,,,,,,,,,,,,
13-Aug-1973,Port Washington Satellite 1,3,,R16,,,0,,,Mary Carillo,Pam Hobbs,6-2 6-3,,,,,,,,,,,,,,
9-Jul-1973,Birmingham,3,,R16,,,0,,,Toni Novack,Pam Hobbs,6-4 6-1,,,,,,,,,,,,,,
25-Jun-1973,Raleigh,3,Clay,R32,,,0,,,Sally Greer,Pam Hobbs,4-6 6-2 6-1,,,,,,,,,,,,,,
15-Jun-1970,Las Cruces Collegiates,3,,R32,,,0,,,Pixie Lamm,Pam Hobbs,6-1 6-1,,,,,,,,,,,,,,
15-Jun-1970,Las Cruces Collegiates,3,,R64,,,1,,,Pam Hobbs,Barbara Pressly,6-3 6-0,,,,,,,,,,,,,,
25-Jul-1968,Chestnut Hill New England,3,Grass,R16,,,0,,5,Barbara Foster,Pam Hobbs,6-1 6-2,,,,,,,,,,,,,,
25-Jul-1968,Chestnut Hill New England,3,Grass,R32,,,1,,,Pam Hobbs,Dot Oneil,6-4 6-3,,,,,,,,,,,,,,
25-Jul-1968,Chestnut Hill New England,3,Grass,R64,,,1,,,Pam Hobbs,Cloe Lockwood,6-3 6-0,,,,,,,,,,,,,,
