Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
17-Feb-1966,Parkes,3,Clay,QF,,,0,,,Joan Gibson,Pat Parmenter,UNK,,,,,,,,,,,,,,
19-Nov-1958,Sydney,3,Grass,R64,,,0,,,Beverley Rae,Pat Parmenter,6-4 6-1,,,,,,,,,,,,,,
13-Oct-1958,Sydney Metro,3,Grass,R16,,,0,,,Kay Newcombe,Pat Parmenter,6-4 6-2,,,,,,,,,,,,,,
9-Aug-1958,Sydney Repechage,3,,R16,,,0,,,Mary Fenton,Pat Parmenter,9-7 4-6 6-4,,,,,,,,,,,,,,
21-Mar-1958,Brisbane Hard,3,Clay,QF,,,0,,,Fay Muller,Pat Parmenter,6-2 6-1,,,,,,,,,,,,,,
21-Mar-1958,Brisbane Hard,3,Clay,R16,,,1,,,Pat Parmenter,Daphne Anderson,8-6 6-1,,,,,,,,,,,,,,
13-Mar-1958,Newcastle Aus,3,Clay,QF,,,0,,,Jan Lehane,Pat Parmenter,6-0 6-3,,,,,,,,,,,,,,
16-Jan-1958,Australian Championships,3,Grass,R32,,,0,,,Margo Rayson,Pat Parmenter,3-6 6-1 6-2,,,,,,,,,,,,,,
26-Dec-1957,Sydney Manly,3,Grass,R16,,,0,,,Mary Fenton,Pat Parmenter,UNK,,,,,,,,,,,,,,
26-Dec-1957,Sydney Manly,3,Grass,R32,,,1,,,Pat Parmenter,Dawn Thomas,6-3 6-2,,,,,,,,,,,,,,
5-Dec-1957,Melbourne,3,Grass,R16,,,0,,,Maureen Mccalman,Pat Parmenter,6-2 8-6,,,,,,,,,,,,,,
5-Dec-1957,Melbourne,3,Grass,R32,,,1,,,Pat Parmenter,Val Roberts,6-3 6-0,,,,,,,,,,,,,,
5-Dec-1957,Melbourne,3,Grass,R64,,,1,,,Pat Parmenter,Jenny Barnes,6-4 6-3,,,,,,,,,,,,,,
3-Dec-1957,Melbourne VIC vs NSW,3,Grass,RR,,,0,,,Loris Nichols,Pat Parmenter,6-4 6-2,,,,,,,,,,,,,,
3-Dec-1957,Melbourne VIC vs NSW,3,Grass,RR,,,0,,,Maureen Mccalman,Pat Parmenter,7-5 6-3,,,,,,,,,,,,,,
6-Nov-1957,Sydney,3,Grass,SF,,,0,,,Lorraine Coghlan,Pat Parmenter,7-5 4-0 RET,,,,,,,,,,,,,,
6-Nov-1957,Sydney,3,Grass,QF,,,1,,,Pat Parmenter,Mary Carter Reitano,1-6 8-6 6-3,,,,,,,,,,,,,,
6-Nov-1957,Sydney,3,Grass,R16,,,1,,,Pat Parmenter,Daphne Seeney,6-2 2-6 6-2,,,,,,,,,,,,,,
6-Nov-1957,Sydney,3,Grass,R32,,,1,,,Pat Parmenter,A Paech,6-2 6-4,,,,,,,,,,,,,,
6-Nov-1957,Sydney,3,Grass,R64,,,1,,,Pat Parmenter,Janet Mills,6-4 6-1,,,,,,,,,,,,,,
24-Oct-1957,Brisbane,3,Grass,QF,,,0,,,Angela Mortimer,Pat Parmenter,6-3 6-4,,,,,,,,,,,,,,
24-Oct-1957,Brisbane,3,Grass,R16,,,1,,,Pat Parmenter,Noelene Turner,4-6 6-2 6-3,,,,,,,,,,,,,,
5-Oct-1957,Strathfield,3,Grass,SF,,,0,,,Beryl Penrose,Pat Parmenter,6-2 6-1,,,,,,,,,,,,,,
5-Oct-1957,Strathfield,3,Grass,QF,,,1,,1,Pat Parmenter,Margaret Hellyer,6-4 7-5,,,,,,,,,,,,,,
9-Sep-1957,Sydney Metro,3,Clay,QF,,,0,,,Jan Lehane,Pat Parmenter,6-1 9-7,,,,,,,,,,,,,,
29-Mar-1957,Dubbo,3,Clay,SF,,,0,,,Beth Jones,Pat Parmenter,6-8 6-4 6-0,,,,,,,,,,,,,,
15-Mar-1957,Rockdale,3,Clay,QF,,,0,,,Mary Carter Reitano,Pat Parmenter,6-3 3-6 6-3,,,,,,,,,,,,,,
15-Mar-1957,Rockdale,3,Clay,R16,,,1,,,Pat Parmenter,Norma Marsh,6-2 6-3,,,,,,,,,,,,,,
18-Jan-1957,Australian Championships,3,Grass,R32,,,0,,,Nell Hopman,Pat Parmenter,6-4 10-12 6-4,,,,,,,,,,,,,,
29-Dec-1956,Sydney County,3,Grass,F,,,1,,,Pat Parmenter,Norma Marsh,6-3 8-6,,,,,,,,,,,,,,
26-Dec-1956,Sydney Manly,3,Grass,SF,,,0,,,Althea Gibson,Pat Parmenter,6-4 6-3,,,,,,,,,,,,,,
26-Dec-1956,Sydney Manly,3,Grass,QF,,,1,,,Pat Parmenter,Mary Carter Reitano,UNK,,,,,,,,,,,,,,
26-Dec-1956,Sydney Manly,3,Grass,R16,,,1,,,Pat Parmenter,Judy Harris,6-2 6-2,,,,,,,,,,,,,,
26-Dec-1956,Sydney Manly,3,Grass,R32,,,1,,,Pat Parmenter,P Nelson,6-2 6-2,,,,,,,,,,,,,,
6-Dec-1956,Melbourne,3,Grass,SF,,,0,,2F,Althea Gibson,Pat Parmenter,6-2 6-3,,,,,,,,,,,,,,
6-Dec-1956,Melbourne,3,Grass,QF,,,1,,3,Pat Parmenter,Margaret Hellyer,6-4 7-5,,,,,,,,,,,,,,
6-Dec-1956,Melbourne,3,Grass,R16,,,1,,,Pat Parmenter,Elizabeth Orton,6-3 6-1,,,,,,,,,,,,,,
6-Dec-1956,Melbourne,3,Grass,R32,,,1,,2,Pat Parmenter,Beryl Penrose,W/O,,,,,,,,,,,,,,
7-Nov-1956,Sydney,3,Grass,QF,,,0,,,Shirley Fry,Pat Parmenter,6-2 6-3,,,,,,,,,,,,,,
7-Nov-1956,Sydney,3,Grass,R16,,,1,,,Pat Parmenter,Jill Bignell,6-2 6-3,,,,,,,,,,,,,,
7-Nov-1956,Sydney,3,Grass,R32,,,1,,,Pat Parmenter,Loris Nichols,6-1 6-3,,,,,,,,,,,,,,
20-Oct-1956,Killara AUS vs NZL,3,,RR,,,1,,,Pat Parmenter,Betty Nelson,6-1 4-6 11-9,,,,,,,,,,,,,,
20-Oct-1956,Killara AUS vs NZL,3,,RR,,,1,,,Pat Parmenter,Judy Davidson,6-3 6-4,,,,,,,,,,,,,,
9-Apr-1956,Melbourne Hard,3,Clay,R16,,,0,,,Lorraine Coghlan,Pat Parmenter,6-3 2-6 6-3,,,,,,,,,,,,,,
9-Apr-1956,Melbourne Hard,3,Clay,R32,,,1,,,Pat Parmenter,Maureen Mccalman,1-6 6-1 6-4,,,,,,,,,,,,,,
20-Jan-1956,Australian Championships,3,Grass,R32,,,0,,,Maureen Mccalman,Pat Parmenter,2-6 6-4 6-2,,,,,,,,,,,,,,
14-Apr-1955,Launceston,3,Clay,F,,,0,,,Margaret Hellyer,Pat Parmenter,6-4 6-3,,,,,,,,,,,,,,
21-Jan-1955,Australian Championships,3,Grass,R16,,,0,,4,Mary Carter Reitano,Pat Parmenter,6-1 6-3,,,,,,,,,,,,,,
21-Jan-1955,Australian Championships,3,Grass,R32,,,1,,,Pat Parmenter,A Tracey,6-2 6-3,,,,,,,,,,,,,,
18-Oct-1954,Strathfield,3,,QF,,,0,,,Beryl Penrose,Pat Parmenter,6-4 6-4,,,,,,,,,,,,,,
2-Sep-1954,Sydney Metro,3,Clay,F,,,0,,,Mary Carter Reitano,Pat Parmenter,2-6 6-3 6-2,,,,,,,,,,,,,,
23-Jan-1954,Australian Championships,3,Grass,R32,,,0,,2,Mary Hawton,Pat Parmenter,6-2 6-0,,,,,,,,,,,,,,
