Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Nov-1966,Melbourne,3,Grass,R32,,,0,,,Nancy Richey,Pat Turner,6-2 6-1,,,,,,,,,,,,,,
28-Oct-1966,Brisbane,3,Grass,R16,,,0,,,Francoise Durr,Pat Turner,7-5 11-9,,,,,,,,,,,,,,
28-Oct-1966,Brisbane,3,Grass,R32,,,1,,,Pat Turner,Kerry Hogarth,6-1 6-1,,,,,,,,,,,,,,
29-Aug-1966,Sydney Metro,3,Clay,QF,,,0,,,Jan Lehane,Pat Turner,7-5 6-2,,,,,,,,,,,,,,
29-Aug-1966,Sydney Metro,3,Clay,R16,,,1,,,Pat Turner,Alison Martin,6-2 4-6 6-1,,,,,,,,,,,,,,
15-Aug-1966,Brisbane City,3,,R16,,,0,,,P Scoines,Pat Turner,10-8 6-3,,,,,,,,,,,,,,
12-Mar-1966,Warrnambool,3,,F,,,1,,,Pat Turner,Judy Tegart,W/O,,,,,,,,,,,,,,
12-Mar-1966,Warrnambool,3,,SF,,,1,,,Pat Turner,Helen Slattery,6-0 6-3,,,,,,,,,,,,,,
22-Feb-1966,Brisbane Hard,3,Clay,QF,,,0,,,Lexie Kenny,Pat Turner,9-7 6-2,,,,,,,,,,,,,,
22-Feb-1966,Brisbane Hard,3,Clay,R16,,,1,,,Pat Turner,D Little,6-0 6-2,,,,,,,,,,,,,,
21-Jan-1966,Australian Championships,3,Grass,R16,,,0,,1F,Nancy Richey,Pat Turner,6-1 6-0,,,,,,,,,,,,,,
21-Jan-1966,Australian Championships,3,Grass,R32,,,1,,,Pat Turner,Jill Starr,12-10 4-6 6-4,,,,,,,,,,,,,,
3-Jan-1966,Sydney,3,Grass,QF,,,0,,,Sandra Walsham,Pat Turner,6-1 7-5,,,,,,,,,,,,,,
3-Jan-1966,Sydney,3,Grass,R16,,,1,,,Pat Turner,Elizabeth Fenton,6-3 4-6 7-5,,,,,,,,,,,,,,
3-Jan-1966,Sydney,3,Grass,R32,,,1,,,Pat Turner,Michelle Rodriguez,6-2 6-1,,,,,,,,,,,,,,
26-Nov-1965,Melbourne,3,Grass,R16,,,0,,,Nancy Richey,Pat Turner,6-1 6-2,,,,,,,,,,,,,,
26-Nov-1965,Melbourne,3,Grass,R32,,,1,,,Pat Turner,Beverley Rae,6-1 6-3,,,,,,,,,,,,,,
15-Nov-1965,New South Wales,3,Grass,R16,,,0,,,Carole Graebner,Pat Turner,6-2 6-2,,,,,,,,,,,,,,
15-Nov-1965,New South Wales,3,Grass,R32,,,1,,,Pat Turner,Carol Sherriff,6-0 6-3,,,,,,,,,,,,,,
1-Nov-1965,Brisbane,3,Grass,R16,,,0,,,Margaret Court,Pat Turner,6-2 6-1,,,,,,,,,,,,,,
1-Nov-1965,Brisbane,3,Grass,R32,,,1,,,Pat Turner,Margaret Dunn,6-2 7-5,,,,,,,,,,,,,,
19-Nov-1964,New South Wales,3,Grass,R16,,,0,,,Margaret Court,Pat Turner,6-0 6-0,,,,,,,,,,,,,,
27-Feb-1964,Tamworth,3,Clay,QF,,,0,,,Madonna Schacht,Pat Turner,W/O,,,,,,,,,,,,,,
27-Feb-1964,Tamworth,3,Clay,R16,,,1,,,Pat Turner,Sue Hole,6-1 6-3,,,,,,,,,,,,,,
4-Jan-1964,Australian Championships,3,Grass,R32,,,0,,,Ann Jenkins,Pat Turner,7-5 4-6 6-3,,,,,,,,,,,,,,
5-Oct-1963,Sydney Metro,3,Grass,R16,,,0,,,Jan Lehane,Pat Turner,6-4 6-3,,,,,,,,,,,,,,
6-Dec-1962,Melbourne,3,Grass,R64,,,0,,,Fay Muller,Pat Turner,6-2 6-2,,,,,,,,,,,,,,
