Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
10-Apr-1933,Launceston,3,,F,,,0,,,Birdie Bond,Phyllis Jillett,6-1 6-2,,,,,,,,,,,,,,
18-Apr-1930,Hobart,3,,F,,,0,,,Birdie Bond,Phyllis Jillett,6-3 2-6 6-3,,,,,,,,,,,,,,
29-Nov-1928,Melbourne,3,Grass,R32,,,0,,,Ruth Stephens,Phyllis Jillett,6-1 6-1,,,,,,,,,,,,,,
7-Apr-1928,Hobart Tasmanian Chps,3,,SF,,,0,,,Brenda Piggott,Phyllis Jillett,6-4 2-6 6-3,,,,,,,,,,,,,,
7-Apr-1928,Hobart Tasmanian Chps,3,,QF,,,1,,,Phyllis Jillett,Edna Gorringe,6-4 6-3,,,,,,,,,,,,,,
29-Dec-1927,Hobart Southern Tasmanian Chps,3,Grass,SF,,,0,,,Birdie Bond,Phyllis Jillett,6-3 6-1,,,,,,,,,,,,,,
28-Nov-1927,Melbourne,3,Grass,R32,,,0,,,Syd Hocking,Phyllis Jillett,6-0 6-1,,,,,,,,,,,,,,
16-Apr-1927,Launceston,3,,F,,,0,,,Birdie Bond,Phyllis Jillett,6-3 3-6 6-0,,,,,,,,,,,,,,
16-Apr-1927,Launceston,3,,SF,,,1,,,Phyllis Jillett,Nancy Clemons,6-1 4-6 6-2,,,,,,,,,,,,,,
3-Apr-1926,Hobart,3,,R16,,,0,,,Nancy Clemons,Phyllis Jillett,6-1 6-4,,,,,,,,,,,,,,
10-Apr-1925,Launceston,3,,QF,,,0,,,Adeline Moran,Phyllis Jillett,1-6 6-1 6-2,,,,,,,,,,,,,,
10-Apr-1925,Launceston,3,,R16,,,1,,,Phyllis Jillett,Betty Smith,6-2 6-3,,,,,,,,,,,,,,
