Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
23-Jul-2018,Prague $80K,3,Clay,Q3,633,458,0,,7,Lucrezia Stefanini,Pia Konig,2-6 7-6(2) 6-0,,,,,,,,,,,,,,
23-Jul-2018,Prague $80K,3,Clay,Q2,633,537,1,,,Pia Konig,Anastasia Pribylova,7-6(3) 6-2,,,,,,,,,,,,,,
23-Jul-2018,Prague $80K,3,Clay,Q1,633,284,1,,,Pia Konig,Rebecca Sramkova,6-3 6-4,,,,,,,,,,,,,,
16-Jul-2018,Olomouc $80K,3,Clay,R32,656,355,0,LL,,Lucie Hradecka,Pia Konig,6-4 6-2,,,,,,,,,,,,,,
16-Jul-2018,Olomouc $80K,3,Clay,Q3,656,460,0,8,,Anastasia Detiuc,Pia Konig,6-2 6-2,,,,,,,,,,,,,,
16-Jul-2018,Olomouc $80K,3,Clay,Q2,656,1132,1,8,,Pia Konig,Csilla Argyelan,6-1 6-2,,,,,,,,,,,,,,
16-Jul-2018,Olomouc $80K,3,Clay,Q1,656,,1,8,,Pia Konig,Sofia Madina,6-2 6-1,,,,,,,,,,,,,,
11-Jun-2018,Maribor $15K,3,Clay,SF,665,499,0,5,,Irina Ramialison,Pia Konig,3-6 6-3 6-1,,,,,,,,,,,,,,
11-Jun-2018,Maribor $15K,3,Clay,QF,665,563,1,5,,Pia Konig,Nina Alibalic,3-0 RET,,,,,,,,,,,,,,
11-Jun-2018,Maribor $15K,3,Clay,R16,665,,1,5,WC,Pia Konig,Sasa Klanecek,4-6 6-3 6-0,,,,,,,,,,,,,,
11-Jun-2018,Maribor $15K,3,Clay,R32,665,876,1,5,,Pia Konig,Ana Biskic,6-0 6-1,,,,,,,,,,,,,,
26-Mar-2018,Canberra $25K,3,Clay,R16,620,178,0,,,Gabriella Taylor,Pia Konig,6-1 6-4,,,,,,,,,,,,,,
26-Mar-2018,Canberra $25K,3,Clay,R32,620,859,1,,,Pia Konig,Angelique Svinos,6-4 6-7(5) 6-3,,,,,,,,,,,,,,
5-Mar-2018,Mildura $25K,3,Grass,R32,571,743,0,,,Michika Ozeki,Pia Konig,6-4 6-4,,,,,,,,,,,,,,
9-Feb-2018,Fed Cup G1 RR: AUT vs LAT,3,Hard,RR,562,15,0,,,Anastasija Sevastova,Pia Konig,6-0 6-1,0.57,0.0%,0.0%,56.6%,50.0%,21.7%,50.0% (6/12),36.7%,35.6%,6.7%,16.0%,60.0%,20.0% (1/5),0:58
4-Dec-2017,Antalya $15K,3,Clay,R16,574,525,0,,,Maryna Chernyshova,Pia Konig,6-2 6-3,,,,,,,,,,,,,,
4-Dec-2017,Antalya $15K,3,Clay,R32,574,727,1,,,Pia Konig,Valeriya Urzhumova,6-2 6-2,,,,,,,,,,,,,,
27-Nov-2017,Antalya $15K,3,Clay,QF,574,432,0,8,,Amina Anshba,Pia Konig,6-2 7-5,,,,,,,,,,,,,,
27-Nov-2017,Antalya $15K,3,Clay,R16,574,,1,8,,Pia Konig,Sabrina Rittberger,6-4 6-7(5) 7-5,,,,,,,,,,,,,,
27-Nov-2017,Antalya $15K,3,Clay,R32,574,814,1,8,,Pia Konig,Mariana Drazic,3-6 6-4 6-2,,,,,,,,,,,,,,
13-Nov-2017,Agadir $15K,3,Clay,SF,572,698,0,2,,Cristina Adamescu,Pia Konig,2-6 6-4 6-1,,,,,,,,,,,,,,
13-Nov-2017,Agadir $15K,3,Clay,QF,572,,1,2,,Pia Konig,Jessica Crivelletto,7-5 3-6 6-1,,,,,,,,,,,,,,
13-Nov-2017,Agadir $15K,3,Clay,R16,572,1213,1,2,,Pia Konig,Ana Filipa Santos,6-2 6-0,,,,,,,,,,,,,,
13-Nov-2017,Agadir $15K,3,Clay,R32,572,918,1,2,,Pia Konig,Amelie Intert,6-4 7-5,,,,,,,,,,,,,,
6-Nov-2017,Beni Mellal $15K,3,Clay,QF,566,692,0,,6,Victoria Kan,Pia Konig,6-2 6-1,,,,,,,,,,,,,,
6-Nov-2017,Beni Mellal $15K,3,Clay,R16,566,1133,1,,,Pia Konig,Sabastiani Leon,6-1 3-6 6-3,,,,,,,,,,,,,,
6-Nov-2017,Beni Mellal $15K,3,Clay,R32,566,,1,,Q,Pia Konig,Olga Esteve Mendez,6-3 6-1,,,,,,,,,,,,,,
9-Oct-2017,Cairns $25K,3,Hard,R32,541,926,0,,Q,Marianna Zakarlyuk,Pia Konig,6-1 6-2,,,,,,,,,,,,,,
2-Oct-2017,Toowoomba $25K,3,Hard,R32,540,359,0,,,Abigail Tere Apisah,Pia Konig,6-2 6-3,,,,,,,,,,,,,,
