Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
7-Nov-1966,Barcelona Barcino,3,Clay,F,,,1,,,Pilar Barril,Maria Jose Aubet,6-2 6-4,,,,,,,,,,,,,,
22-May-1966,Roland Garros,5,Clay,R32,,,0,,2,Maria Bueno,Pilar Barril,6-1 6-1,,,,,,,,,,,,,,
22-May-1966,Roland Garros,5,Clay,R64,,,1,,,Pilar Barril,Claudine Rouire,3-6 6-3 6-4,,,,,,,,,,,,,,
18-May-1966,Barcelona,3,Clay,R32,,,0,,,Laura Rossouw,Pilar Barril,6-3 8-8 RET,,,,,,,,,,,,,,
22-Jun-1965,Wimbledon,5,Grass,R128,,,0,,,Lucia Bassi,Pilar Barril,7-5 6-1,,,,,,,,,,,,,,
31-May-1965,Barcelona Godo,3,Clay,SF,,,0,,,Madonna Schacht,Pilar Barril,6-3 6-1,,,,,,,,,,,,,,
31-May-1965,Barcelona Godo,3,Clay,QF,,,1,,,Pilar Barril,Anne Marie Larue,3-6 6-2 6-4,,,,,,,,,,,,,,
17-May-1965,Roland Garros,5,Clay,R128,,,0,,,Edda Buding,Pilar Barril,6-3 3-6 6-0,,,,,,,,,,,,,,
29-Mar-1965,Barcelona Nationals,3,Clay,F,,,1,,,Pilar Barril,Ana Maria Estalella Manso,6-4 6-1,,,,,,,,,,,,,,
29-Mar-1965,Barcelona Nationals,3,Clay,SF,,,1,,,Pilar Barril,Maria Pombo De Peredo,6-0 6-2,,,,,,,,,,,,,,
15-Nov-1964,Barcelona Barcino,3,,F,,,0,,,Fay Toyne,Pilar Barril,6-1 6-1,,,,,,,,,,,,,,
15-Nov-1964,Barcelona Barcino,3,,SF,,,1,,,Pilar Barril,Carmen Coronado,7-5 8-6,,,,,,,,,,,,,,
29-Sep-1964,Barcelona Intl,3,Clay,F,,,1,,,Pilar Barril,Roberta Beltrame,6-4 5-7 6-4,,,,,,,,,,,,,,
29-Sep-1964,Barcelona Intl,3,Clay,SF,,,1,,,Pilar Barril,Francesca Gordigiani,9-7 6-4,,,,,,,,,,,,,,
3-Aug-1964,Lisbon,3,Clay,F,,,1,,,Pilar Barril,Fay Toyne,6-2 6-2,,,,,,,,,,,,,,
29-Jun-1964,Wimbledon Plate,3,Grass,R64,,,0,,,Virginia Wade,Pilar Barril,6-0 6-2,,,,,,,,,,,,,,
22-Jun-1964,Wimbledon,5,Grass,R64,,,0,,,Vlasta Kodesova,Pilar Barril,6-4 4-6 6-1,,,,,,,,,,,,,,
1-Jun-1964,Barcelona Godo,3,Clay,SF,,,0,,,Michelle Rodriguez,Pilar Barril,6-0 8-6,,,,,,,,,,,,,,
1-Jun-1964,Barcelona Godo,3,Clay,QF,,,1,,,Pilar Barril,Anne Marie Larue,6-2 6-3,,,,,,,,,,,,,,
19-May-1964,Roland Garros,5,Clay,R128,,,0,,,Anne Marie Vissault,Pilar Barril,W/O,,,,,,,,,,,,,,
20-Apr-1964,Madrid,3,Clay,SF,,,0,,,Jacqueline Rees Lewis,Pilar Barril,6-1 6-3,,,,,,,,,,,,,,
20-Apr-1964,Madrid,3,Clay,QF,,,1,,,Pilar Barril,Eva Andersson,6-4 6-4,,,,,,,,,,,,,,
3-Oct-1963,San Sebastian,3,Clay,F,,,0,,,Mary Habicht,Pilar Barril,3-6 6-4 6-2,,,,,,,,,,,,,,
26-Jun-1963,Wimbledon,5,Grass,R128,,,0,,,Helga Schultze,Pilar Barril,6-2 6-0,,,,,,,,,,,,,,
3-Jun-1963,Barcelona,3,Clay,SF,,,0,,,Noelene Turner,Pilar Barril,6-1 6-2,,,,,,,,,,,,,,
3-Jun-1963,Barcelona,3,Clay,QF,,,1,,,Pilar Barril,Carol Newman,6-3 RET,,,,,,,,,,,,,,
27-Dec-1962,Valencia,3,Clay,F,,,0,,,Carmen Coronado,Pilar Barril,6-2 6-2,,,,,,,,,,,,,,
14-Oct-1962,Casablanca,3,Clay,R16,,,0,,,Jacqueline Rees Lewis,Pilar Barril,6-2 6-2,,,,,,,,,,,,,,
31-Aug-1962,US National Championships,3,Grass,R64,,,0,,,Robyn Ebbern,Pilar Barril,6-2 9-7,,,,,,,,,,,,,,
31-Aug-1962,US National Championships,3,Grass,R128,,,1,,,Pilar Barril,Mary Sherar,6-1 3-6 6-2,,,,,,,,,,,,,,
30-Jul-1962,Hamburg,3,Clay,R32,,,0,,,Renata Ostermann,Pilar Barril,W/O,,,,,,,,,,,,,,
25-Jun-1962,Wimbledon,5,Grass,R64,,,0,,,Vicky Palmer,Pilar Barril,6-1 6-1,,,,,,,,,,,,,,
