Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
3-Nov-1986,Queens CH,3,Grass,R32,,,0,,,Jillian Alexander Brower,Rina Einy,6-2 7-6,,,,,,,,,,,,,,
8-Sep-1986,Lisbon CH,3,Clay,R32,,,0,,1,Claudia Hernandez Salas,Rina Einy,3-6 7-5 6-1,,,,,,,,,,,,,,
4-Aug-1986,Kitzbuhel CH,3,Clay,QF,,293,0,,,Linda Ferrando,Rina Einy,6-0 7-5,,,,,,,,,,,,,,
4-Aug-1986,Kitzbuhel CH,3,Clay,R16,,,1,,5,Rina Einy,Wendy Wood,4-6 6-4 6-3,,,,,,,,,,,,,,
4-Aug-1986,Kitzbuhel CH,3,Clay,R32,,,1,,,Rina Einy,Susanne Kotzmeier,6-3 5-0 RET,,,,,,,,,,,,,,
14-Apr-1986,Cumberland CH,3,Hard,R32,,,0,,,Digna Ketelaar,Rina Einy,6-3 6-3,,,,,,,,,,,,,,
27-Aug-1985,US Open,5,Hard,Q2,,,0,,14,Jennifer Mundel,Rina Einy,7-5 6-3,,,,,,,,,,,,,,
27-Aug-1985,US Open,5,Hard,Q1,,,1,,,Rina Einy,Kim Steinmetz,6-1 6-4,,,,,,,,,,,,,,
12-Aug-1985,Roanoke,3,,R16,,,0,,,Jane Forman,Rina Einy,6-1 6-2,,,,,,,,,,,,,,
12-Aug-1985,Roanoke,3,,R32,,,1,1,,Rina Einy,Sally Reeves,0-6 6-2 6-3,,,,,,,,,,,,,,
1-Jul-1985,Wimbledon Plate,3,Grass,R32,,,0,,,Linda Howell,Rina Einy,2-6 6-0 RET,,,,,,,,,,,,,,
1-Jul-1985,Wimbledon Plate,3,Grass,R64,,,1,,,Rina Einy,Kim Steinmetz,4-6 6-2 6-3,,,,,,,,,,,,,,
24-Jun-1985,Wimbledon,5,Grass,R128,,,0,,,Sally Reeves,Rina Einy,6-3 5-7 6-4,,,,,,,,,,,,,,
17-Jun-1985,Eastbourne,3,Grass,Q1,,,0,,,Rene Uys,Rina Einy,6-1 6-2,,,,,,,,,,,,,,
10-Jun-1985,Birmingham,3,Grass,Q2,,,0,,,Marie Christine Calleja,Rina Einy,6-1 6-3,,,,,,,,,,,,,,
10-Jun-1985,Birmingham,3,Grass,Q1,,,1,,,Rina Einy,Colleen Carney,6-4 6-0,,,,,,,,,,,,,,
27-May-1985,Roland Garros,5,Clay,R128,,,0,,,Adriana Villagran Reami,Rina Einy,6-2 6-0,,,,,,,,,,,,,,
13-May-1985,Berlin,3,Clay,Q1,,,0,6,,Marie Christine Calleja,Rina Einy,7-6 6-1,,,,,,,,,,,,,,
6-May-1985,Barcelona,3,Clay,Q2,,,0,1,,Ana Almansa,Rina Einy,6-2 7-5,,,,,,,,,,,,,,
6-May-1985,Barcelona,3,Clay,Q1,,,1,1,,Rina Einy,Sally Reeves,6-4 6-4,,,,,,,,,,,,,,
18-Mar-1985,Sao Paulo,3,Clay,QF,,48,0,,2,Laura Arraya,Rina Einy,6-2 6-4,,,,,,,,,,,,,,
18-Mar-1985,Sao Paulo,3,Clay,R16,,193,1,,,Rina Einy,Luciana Corsato Owsianka,6-3 7-6,,,,,,,,,,,,,,
18-Mar-1985,Sao Paulo,3,Clay,R32,,,1,,,Rina Einy,Karin Stampfli,6-2 6-3,,,,,,,,,,,,,,
11-Mar-1985,Porto Alegre CH,3,Clay,SF,,217,0,2,4,Luciana Corsato Owsianka,Rina Einy,6-2 1-6 6-3,,,,,,,,,,,,,,
