Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
30-Oct-1995,Oakland,3,Carpet,R32,251,321,0,,,Venus Williams,Rosalyn Fairbank,6-2 6-1,,,,,,,,,,,,,,
31-Jul-1995,San Diego,3,Hard,R64,235,51,0,WC,,Natalia Medvedeva,Rosalyn Fairbank,6-3 6-3,,,,,,,,,,,,,,
26-Jun-1995,Wimbledon,5,Grass,R64,449,47,0,WC,,Angelica Gavaldon,Rosalyn Fairbank,6-1 6-2,,,,,,,,,,,,,,
26-Jun-1995,Wimbledon,5,Grass,R128,449,69,1,WC,,Rosalyn Fairbank,Petra Begerow,7-6 1-0 RET,,,,,,,,,,,,,,
19-Jun-1995,Eastbourne,3,Grass,R64,462,126,0,,,Karin Kschwendt,Rosalyn Fairbank,7-5 6-2,,,,,,,,,,,,,,
12-Jun-1995,Birmingham,3,Grass,R32,794,161,0,,,Kristin Godridge,Rosalyn Fairbank,2-6 6-4 6-2,,,,,,,,,,,,,,
12-Jun-1995,Birmingham,3,Grass,R64,794,166,1,,,Rosalyn Fairbank,Silke Frankl,6-1 6-1,,,,,,,,,,,,,,
27-Mar-1995,Hilton Head,3,Clay,R64,,49,0,WC,,Ginger Helgeson Nielsen,Rosalyn Fairbank,6-2 6-1,,,,,,,,,,,,,,
17-Mar-1995,Key Biscayne,3,Hard,R128,,118,0,,Q,Isabelle Demongeot,Rosalyn Fairbank,6-1 6-3,,,,,,,,,,,,,,
6-Feb-1995,Chicago,3,Carpet,R32,,17,0,,6,Lori Mcneil,Rosalyn Fairbank,6-2 6-2,,,,,,,,,,,,,,
31-Oct-1994,Oakland,3,Carpet,R32,,14,0,,6,Amy Frazier,Rosalyn Fairbank,6-0 6-0,,,,,,,,,,,,,,
28-Feb-1994,Delray Beach,3,Hard,R64,63,186,0,,Q,Dianne Van Rensburg,Rosalyn Fairbank,6-3 6-3,,,,,,,,,,,,,,
