Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
15-Aug-1960,Hampton ATA Chps,3,Hard,R32,,,0,,3,Mimi Kanarek,Rosemary Darben,6-1 6-1,,,,,,,,,,,,,,
18-Jul-1960,Orange,3,Clay,R16,,,0,,,Nana Vaughan,Rosemary Darben,6-3 4-6 6-2,,,,,,,,,,,,,,
18-Jul-1960,Orange,3,Clay,R32,,,1,,,Rosemary Darben,Betty Rubin,6-3 6-2,,,,,,,,,,,,,,
4-Aug-1958,Scotch Plains,3,,R16,,,1,,,Rosemary Darben,Marion Wilson,6-1 6-1,,,,,,,,,,,,,,
4-Aug-1958,Scotch Plains,3,,R32,,,1,,,Rosemary Darben,Harriette Morris,UNK,,,,,,,,,,,,,,
21-Aug-1956,Wilberforce ATA Chps,3,,QF,,,0,,,Nana Vaughan,Rosemary Darben,6-1 6-1,,,,,,,,,,,,,,
21-Aug-1956,Wilberforce ATA Chps,3,,R16,,,1,6,,Rosemary Darben,Cora Organ,6-2 6-0,,,,,,,,,,,,,,
15-Aug-1955,Wilberforce ATA Chps,3,,QF,,,0,,,Althea Gibson,Rosemary Darben,6-0 6-1,,,,,,,,,,,,,,
15-Aug-1955,Wilberforce ATA Chps,3,,R16,,,1,6,,Rosemary Darben,Evelyn George,6-2 6-2,,,,,,,,,,,,,,
18-Jun-1955,Philadelphia Cockburn Trophy,3,,RR,,,0,,,Althea Gibson,Rosemary Darben,6-0 6-0,,,,,,,,,,,,,,
18-Jun-1955,Philadelphia Cockburn Trophy,3,,RR,,,1,,,Rosemary Darben,Dorothy Kornegay,6-3 2-6 7-5,,,,,,,,,,,,,,
26-Jul-1954,Scotch Plains,3,,R16,,,1,,,Rosemary Darben,Grace Clarke,6-2 6-2,,,,,,,,,,,,,,
17-Aug-1953,Daytona Beach ATA Chps,3,,R32,,,0,,6,Roumania Peters,Rosemary Darben,6-0 6-2,,,,,,,,,,,,,,
16-Feb-1952,New York,3,Carpet,R32,,,0,,,Helen Germaine,Rosemary Darben,6-1 6-0,,,,,,,,,,,,,,
21-Aug-1950,Wilberforce ATA Chps,3,,R64,,,0,,4,Roumania Peters,Rosemary Darben,6-3 6-3,,,,,,,,,,,,,,
