Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
21-Aug-1939,Hunstanton,3,Grass,F,,,1,,,Ruth Kirk,Rosemary Smith,6-4 9-7,,,,,,,,,,,,,,
7-Aug-1939,Hull,3,Grass,F,,,1,,,Ruth Kirk,Mary Lincoln,W/O,,,,,,,,,,,,,,
26-Jun-1939,Wimbledon,5,Grass,R64,,,0,,1,Alice Marble,Ruth Kirk,6-3 6-2,,,,,,,,,,,,,,
19-Jun-1939,Queen's Club,3,Grass,R16,,,0,,,Peggy Scriven Vivian,Ruth Kirk,6-1 6-2,,,,,,,,,,,,,,
19-Jun-1939,Queen's Club,3,Grass,R32,,,1,,,Ruth Kirk,Vera Mahony,6-3 6-1,,,,,,,,,,,,,,
19-Jun-1939,Queen's Club,3,Grass,R64,,,1,,,Ruth Kirk,Gwen Grimond,6-4 8-6,,,,,,,,,,,,,,
17-May-1939,Harrogate,3,Clay,QF,,,0,,,Gem Hoahing,Ruth Kirk,6-3 6-4,,,,,,,,,,,,,,
17-May-1939,Harrogate,3,Clay,R16,,,1,,,Ruth Kirk,Rosemary Smith,6-4 6-4,,,,,,,,,,,,,,
17-May-1939,Harrogate,3,Clay,R32,,,1,,,Ruth Kirk,D L Denby,6-1 6-1,,,,,,,,,,,,,,
6-Apr-1939,Birmingham Tally Ho,3,Clay,QF,,,0,,,Freda James,Ruth Kirk,6-2 6-2,,,,,,,,,,,,,,
6-Apr-1939,Birmingham Tally Ho,3,Clay,R16,,,1,,,Ruth Kirk,Beryl Rodway,3-6 6-4 6-4,,,,,,,,,,,,,,
2-Aug-1938,Hull,3,Grass,F,,,1,,,Ruth Kirk,Mary Lincoln,6-3 6-4,,,,,,,,,,,,,,
4-Jul-1938,Leicester,3,Grass,QF,,,0,,,Mona Riddell,Ruth Kirk,6-3 6-3,,,,,,,,,,,,,,
4-Jul-1938,Leicester,3,Grass,R16,,,1,,,Ruth Kirk,Jean Milne,6-2 6-4,,,,,,,,,,,,,,
20-Jun-1938,Wimbledon,5,Grass,R128,,,0,,,Jeri Ingram,Ruth Kirk,6-4 6-2,,,,,,,,,,,,,,
16-Aug-1937,Hunstanton,3,Grass,F,,,0,,,Dora Beazley,Ruth Kirk,6-3 6-4,,,,,,,,,,,,,,
3-Aug-1937,Hull,3,Grass,F,,,0,,,Truid Terwindt,Ruth Kirk,6-2 6-3,,,,,,,,,,,,,,
6-Jul-1937,Leicester,3,Grass,R32,,,0,,,H Jarvis,Ruth Kirk,9-7 6-2,,,,,,,,,,,,,,
28-Jun-1937,Wimbledon Plate,3,Grass,R64,,,0,,,Mary Hardwick,Ruth Kirk,8-6 6-0,,,,,,,,,,,,,,
21-Jun-1937,Wimbledon,5,Grass,R64,,,0,,,Mary Heeley,Ruth Kirk,6-2 6-1,,,,,,,,,,,,,,
15-May-1937,Edgbaston Priory,3,Grass,QF,,,0,,,Alex Mcostrich,Ruth Kirk,6-3 6-1,,,,,,,,,,,,,,
15-May-1937,Edgbaston Priory,3,Grass,R16,,,1,,,Ruth Kirk,Mrs F L Davis,6-1 6-4,,,,,,,,,,,,,,
5-May-1937,Harrogate,3,Clay,F,,,0,,,Freda James,Ruth Kirk,6-4 6-2,,,,,,,,,,,,,,
26-Apr-1937,Bournemouth,3,Clay,R32,,,0,,,Dorothy Round,Ruth Kirk,6-2 6-3,,,,,,,,,,,,,,
