Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
18-Aug-1969,Exmouth,3,Grass,QF,,,0,,,Denise Staniszewski,S J Mildner,6-3 3-6 6-2,,,,,,,,,,,,,,
18-Aug-1969,Exmouth,3,Grass,R16,,,1,,,S J Mildner,L Baker,9-7 6-2,,,,,,,,,,,,,,
24-Jun-1968,Wimbledon,5,Grass,Q1,,,0,,,Dianne Bridger,S J Mildner,7-5 6-0,,,,,,,,,,,,,,
8-Apr-1968,Hampstead,3,Clay,R16,,,0,,,Shirley Bloomer,S J Mildner,6-0 6-2,,,,,,,,,,,,,,
8-Apr-1968,Hampstead,3,Clay,R32,,,1,,,S J Mildner,Sue Imhoff,6-4 6-4,,,,,,,,,,,,,,
8-Apr-1968,Hampstead,3,Clay,R64,,,1,,,S J Mildner,Dianne Oakley Grundy,4-6 7-5 7-5,,,,,,,,,,,,,,
5-Apr-1965,Hampstead,3,Clay,R64,,,0,,,Dorothy Whitely,S J Mildner,6-0 6-3,,,,,,,,,,,,,,
1-Jun-1964,Havant,3,Grass,QF,,,0,,,Betty Stove,S J Mildner,6-0 6-2,,,,,,,,,,,,,,
6-Apr-1964,Hampstead,3,Clay,R128,,,0,,,Margaret Lee,S J Mildner,6-3 6-2,,,,,,,,,,,,,,
2-Mar-1964,Cannes Carlton,3,Clay,R16,,,0,,,Evelyne Terras,S J Mildner,6-3 6-2,,,,,,,,,,,,,,
2-Mar-1964,Cannes Carlton,3,Clay,R64,,,1,,,S J Mildner,J George,6-2 6-1,,,,,,,,,,,,,,
