Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
1-Mar-2004,Doha,3,Hard,Q1,,151,0,WC,,Stephanie Gehrlein,Sandra Begijn,6-0 6-3,,,,,,,,,,,,,,
11-Nov-1991,ITF Swindon,3,Carpet,Q1,516,292,0,,3,Esmir Hoogendoorn,Sandra Begijn,6-4 6-4,,,,,,,,,,,,,,
4-Nov-1991,ITF Manchester,3,Carpet,Q2,520,371,0,,7,Heike Rusch,Sandra Begijn,6-4 3-6 6-4,,,,,,,,,,,,,,
4-Nov-1991,ITF Manchester,3,Carpet,Q1,520,431,1,,,Sandra Begijn,Desiree Leupold,6-3 7-5,,,,,,,,,,,,,,
19-Aug-1991,ITF Koksijde,3,Clay,R16,495,480,0,1,,Ninel Barkan,Sandra Begijn,6-4 6-3,,,,,,,,,,,,,,
19-Aug-1991,ITF Koksijde,3,Clay,R32,495,,1,1,,Sandra Begijn,Jenny Klemm,6-0 6-3,,,,,,,,,,,,,,
12-Aug-1991,ITF Rebecq,3,Clay,R16,446,,0,4,,Petra Winzenholler,Sandra Begijn,7-5 6-1,,,,,,,,,,,,,,
12-Aug-1991,ITF Rebecq,3,Clay,R32,446,,1,4,,Sandra Begijn,Agata Werblinska,2-6 6-3 6-3,,,,,,,,,,,,,,
8-Apr-1991,ITF Limoges,3,Carpet,Q2,,453,0,,4,Sophie Woorons,Sandra Begijn,6-3 7-6,,,,,,,,,,,,,,
8-Apr-1991,ITF Limoges,3,Carpet,Q1,,,1,,,Sandra Begijn,Gemma Magin,6-0 7-5,,,,,,,,,,,,,,
1-Apr-1991,ITF Moulins,3,Carpet,R16,,159,0,,2,Pascale Etchemendy,Sandra Begijn,6-4 3-6 7-5,,,,,,,,,,,,,,
1-Apr-1991,ITF Moulins,3,Carpet,R32,,285,1,,,Sandra Begijn,Esther Markenstein,6-0 7-6,,,,,,,,,,,,,,
1-Apr-1991,ITF Moulins,3,Carpet,Q3,,315,1,,,Sandra Begijn,Amanda Grunfeld,6-4 1-6 6-4,,,,,,,,,,,,,,
1-Apr-1991,ITF Moulins,3,Carpet,Q2,,324,1,,,Sandra Begijn,Simone Schilder,6-2 7-5,,,,,,,,,,,,,,
1-Apr-1991,ITF Moulins,3,Carpet,Q1,,439,1,,,Sandra Begijn,Valda Lake,6-2 7-5,,,,,,,,,,,,,,
28-Jan-1991,ITF Danderyd,3,Carpet,R16,456,,0,,,Dorien Wamelink,Sandra Begijn,7-5 2-6 6-1,,,,,,,,,,,,,,
28-Jan-1991,ITF Danderyd,3,Carpet,R32,456,438,1,,6,Sandra Begijn,Annika Narbe,6-3 4-6 6-3,,,,,,,,,,,,,,
3-Dec-1990,ITF Le Havre,3,Clay,Q2,418,322,0,,2,Gaby Coorengel,Sandra Begijn,6-2 3-6 6-1,,,,,,,,,,,,,,
