Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
9-Jul-2007,Imola Tozzona 10K,3,Carpet,R32,652,540,0,,8,Alice Balducci,Sandra Volk,6-4 6-0,,,,,,,,,,,,,,
9-Apr-2007,Split 10K,3,Clay,R32,516,464,0,,7,Patricia Mayr Achleitner,Sandra Volk,6-3 6-0,,,,,,,,,,,,,,
19-Mar-2007,RomePanda 10K,3,Clay,R32,508,812,0,,Q,Federica Di Sarra,Sandra Volk,6-4 6-2,,,,,,,,,,,,,,
12-Mar-2007,RomeReal 10K,3,Clay,R32,505,361,0,,2,Anne Schaefer,Sandra Volk,6-1 7-5,,,,,,,,,,,,,,
15-Jan-2007,Stuttgart 10K,3,Hard,R32,515,671,0,,WC,Anna Geissler,Sandra Volk,6-3 6-3,,,,,,,,,,,,,,
20-Nov-2006,Poitiers 75K,3,Hard,R32,527,127,0,LL,,Timea Bacsinszky,Sandra Volk,6-0 6-4,,,,,,,,,,,,,,
30-Oct-2006,Erding 10K,3,Carpet,R32,525,540,0,,,Katerina Vankova,Sandra Volk,7-6(5) 6-2,,,,,,,,,,,,,,
25-Sep-2006,Podgorica 25K,3,Clay,R16,581,359,0,Q,,Jana Juricova,Sandra Volk,6-0 6-2,,,,,,,,,,,,,,
25-Sep-2006,Podgorica 25K,3,Clay,R32,581,585,1,Q,Q,Sandra Volk,Diana Buzean,0-4 RET,,,,,,,,,,,,,,
18-Sep-2006,Portoroz Q,3,Hard,Q1,590,462,0,,,Gianna Doz,Sandra Volk,6-4 6-3,,,,,,,,,,,,,,
11-Sep-2006,Torre Del Greco 10K,3,Clay,R16,593,1197,0,6,LL,Milica Tomic,Sandra Volk,6-2 6-3,,,,,,,,,,,,,,
11-Sep-2006,Torre Del Greco 10K,3,Clay,R32,593,,1,6,Q,Sandra Volk,Cristina Greco Naccarato,6-4 6-2,,,,,,,,,,,,,,
21-Aug-2006,Maribor 10K,3,Clay,R32,595,955,0,,SE,Lucie Kriegsmannova,Sandra Volk,2-6 6-3 6-3,,,,,,,,,,,,,,
7-Aug-2006,Jesi 10K,3,Hard,QF,592,,0,8,Q,Oana Elena Golimbioschi,Sandra Volk,4-6 7-5 6-1,,,,,,,,,,,,,,
7-Aug-2006,Jesi 10K,3,Hard,R16,592,,1,8,WC,Sandra Volk,Anastasia Grymalska,6-3 6-0,,,,,,,,,,,,,,
7-Aug-2006,Jesi 10K,3,Hard,R32,592,1387,1,8,Q,Sandra Volk,Franziska Klotz,2-6 6-4 6-3,,,,,,,,,,,,,,
