Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
20-May-2024,Rabat,3,Clay,QF,46,66,0,3,,Mayar Sherif,Sara Sorribes Tormo,6-3 6-3,0.71,0.0%,0.0%,79.3%,56.5%,16.7%,58.3% (7/12),43.0%,36.7%,0.0%,30.2%,83.3%,66.7% (2/3),1:37
20-May-2024,Rabat,3,Clay,R16,46,59,1,3,,Sara Sorribes Tormo,Nadia Podoroska,7-5 3-6 6-3,1.12,0.0%,4.2%,85.3%,53.1%,57.1%,36.4% (4/11),52.8%,52.0%,0.0%,46.4%,64.5%,61.5% (8/13),2:58
20-May-2024,Rabat,3,Clay,R32,46,91,1,3,,Sara Sorribes Tormo,Harriet Dart,6-2 6-0,1.94,0.0%,4.0%,80.0%,65.0%,40.0%,66.7% (4/6),67.4%,77.8%,0.0%,69.6%,92.3%,77.8% (7/9),1:15
6-May-2024,Rome,3,Clay,R32,47,10,0,,9,Jelena Ostapenko,Sara Sorribes Tormo,6-4 5-7 6-1,0.89,0.0%,4.2%,71.9%,44.9%,40.7%,50.0% (9/18),47.0%,50.0%,1.0%,46.7%,54.5%,50.0% (7/14),2:33
6-May-2024,Rome,3,Clay,R64,47,21,1,,20,Sara Sorribes Tormo,Anastasia Pavlyuchenkova,6-3 1-6 7-5,0.94,0.0%,2.5%,80.2%,46.2%,56.3%,41.7% (5/12),48.6%,48.9%,0.0%,35.0%,75.0%,53.8% (7/13),2:22
6-May-2024,Rome,3,Clay,R128,47,61,1,,,Sara Sorribes Tormo,Nadia Podoroska,6-4 6-3,1.21,0.0%,4.1%,72.6%,62.3%,40.0%,50.0% (3/6),54.8%,52.8%,0.0%,46.9%,61.9%,71.4% (5/7),1:59
22-Apr-2024,Madrid,3,Clay,R16,55,1,0,,1,Iga Swiatek,Sara Sorribes Tormo,6-1 6-0,0.39,0.0%,7.9%,76.3%,24.1%,33.3%,33.3% (3/9),27.6%,28.9%,0.0%,25.0%,35.7%,100.0% (1/1),1:07
22-Apr-2024,Madrid,3,Clay,R32,55,26,1,,23,Sara Sorribes Tormo,Victoria Azarenka,7-6(0) 6-3,1.19,0.0%,0.0%,79.6%,59.5%,42.1%,66.7% (8/12),54.4%,52.6%,1.3%,45.5%,69.6%,55.6% (5/9),2:50
22-Apr-2024,Madrid,3,Clay,R64,55,18,1,,16,Sara Sorribes Tormo,Elina Svitolina,6-3 7-5,1.20,0.0%,4.0%,77.3%,53.4%,52.9%,55.6% (5/9),54.7%,56.2%,2.7%,54.3%,59.3%,38.9% (7/18),2:12
22-Apr-2024,Madrid,3,Clay,R128,55,79,1,,Q,Sara Sorribes Tormo,Bernarda Pera,7-5 6-2,1.13,5.0%,6.7%,65.0%,48.7%,47.6%,37.5% (3/8),54.0%,58.4%,0.0%,55.6%,62.5%,57.1% (8/14),1:54
