Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
10-Aug-1942,Manchester-on-Sea,3,Grass,R16,,,0,,2,Margaret Osborne Dupont,Serita Bartlett,6-0 6-0,,,,,,,,,,,,,,
10-Aug-1942,Manchester-on-Sea,3,Grass,R16,,,1,,1F,Serita Bartlett,Berta Garcia,6-3 6-0,,,,,,,,,,,,,,
10-Aug-1942,Manchester-on-Sea,3,Grass,R32,,,1,,,Serita Bartlett,Eleanora Sears,6-0 6-2,,,,,,,,,,,,,,
12-Aug-1940,Manchester-on-Sea,3,Grass,R64,,,0,,,Dodo Cheney,Serita Bartlett,6-2 6-4,,,,,,,,,,,,,,
28-Aug-1939,Manchester-on-Sea,3,Grass,R32,,,0,,,Betty Nuthall,Serita Bartlett,6-1 7-5,,,,,,,,,,,,,,
16-Aug-1937,Manchester-on-Sea,3,Grass,R32,,,0,,,Hope Knowles,Serita Bartlett,6-2 6-3,,,,,,,,,,,,,,
19-Jul-1937,Longwood Bowl,3,Grass,R32,,,0,,,Elizabeth Corbiere,Serita Bartlett,6-3 6-4,,,,,,,,,,,,,,
27-Apr-1937,Hot Springs,3,,QF,,,0,,,Mary Cootes,Serita Bartlett,6-4 4-6 6-3,,,,,,,,,,,,,,
19-Apr-1937,White Sulphur Springs,3,,QF,,,0,,,Eunice Dean,Serita Bartlett,6-1 6-2,,,,,,,,,,,,,,
17-Aug-1936,Manchester-on-Sea,3,Grass,R64,,,0,,,Mary Cootes,Serita Bartlett,7-5 6-3,,,,,,,,,,,,,,
29-Mar-1935,Brookline Indoors,3,Carpet,R16,,,0,,,Margaret Blake,Serita Bartlett,6-1 6-2,,,,,,,,,,,,,,
29-Mar-1935,Brookline Indoors,3,Carpet,R32,,,1,,,Serita Bartlett,Mrs John Gould,6-2 6-0,,,,,,,,,,,,,,
6-Aug-1934,Marblehead,3,,SF,,,0,,,Fanny Curtis,Serita Bartlett,4-6 6-3 7-5,,,,,,,,,,,,,,
6-Aug-1934,Marblehead,3,,QF,,,1,,,Serita Bartlett,Ethelen Whitney,6-1 6-0,,,,,,,,,,,,,,
16-Jul-1934,Manchester-on-Sea,3,Grass,R32,,,0,,,Bonnie Miller,Serita Bartlett,6-2 4-6 6-1,,,,,,,,,,,,,,
16-Jul-1934,Manchester-on-Sea,3,Grass,R64,,,1,,,Serita Bartlett,Mrs E K Nash,6-? 6-2,,,,,,,,,,,,,,
16-Apr-1934,White Sulphur Springs,3,Clay,QF,,,0,,,Jane Sharp,Serita Bartlett,6-2 6-3,,,,,,,,,,,,,,
16-Apr-1934,White Sulphur Springs,3,Clay,R16,,,1,,,Serita Bartlett,Jean Schweppe,6-3 5-7 6-4,,,,,,,,,,,,,,
15-Sep-1933,Los Angeles Pac Southwest,3,Hard,R32,,,0,,,Dorothy Round,Serita Bartlett,6-1 6-1,,,,,,,,,,,,,,
17-Jul-1933,Manchester-on-Sea,3,Grass,R32,,,0,,,Carolin Babcock,Serita Bartlett,6-1 6-1,,,,,,,,,,,,,,
17-Jul-1933,Manchester-on-Sea,3,Grass,R64,,,1,,,Serita Bartlett,Charlotte Prizer,W/O,,,,,,,,,,,,,,
18-Jul-1932,Manchester-on-Sea,3,Grass,R64,,,0,,,Mary Gibbs,Serita Bartlett,7-5 6-4,,,,,,,,,,,,,,
