Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
27-Jun-2022,W25 Columbus OH,3,Hard,R32,838,480,0,Q,7,Hiroko Kuwata,Shilin Xu,4-6 6-4 6-0,,,,,,,,,,,,,,
27-Jun-2022,W25 Columbus OH,3,Hard,Q2,838,1197,1,1,10,Shilin Xu,Eleonore Tchakarova,6-4 6-1,,,,,,,,,,,,,,
27-Jun-2022,W25 Columbus OH,3,Hard,Q1,838,,1,1,,Shilin Xu,Danielle Willson,6-2 6-3,,,,,,,,,,,,,,
13-Jun-2022,W25 Sumter SC,3,Hard,R32,827,555,0,,,Katarina Jokic,Shilin Xu,6-3 6-2,,,,,,,,,,,,,,
16-May-2022,W25 Naples FL,3,Clay,R32,,326,0,Q,3,Kayla Day,Shilin Xu,6-4 6-1,,,,,,,,,,,,,,
16-May-2022,W25 Naples FL,3,Clay,Q2,,,1,1,,Shilin Xu,Kaitlyn Rolls,6-4 6-3,,,,,,,,,,,,,,
9-May-2022,W25 Sarasota FL,3,Clay,Q2,846,,0,2,,Mara Schmidt,Shilin Xu,1-6 7-6(5) 10-6,,,,,,,,,,,,,,
9-May-2022,W25 Sarasota FL,3,Clay,Q1,846,,1,2,,Shilin Xu,Laura Bryan,6-0 6-1,,,,,,,,,,,,,,
21-Jun-2021,W60 Charleston SC,3,Clay,R32,348,412,0,SR,,Sophie Chang,Shilin Xu,6-3 6-4,,,,,,,,,,,,,,
14-Jun-2021,W25 Sumter SC,3,Hard,R32,346,308,0,SR,7,Ana Sofia Sanchez,Shilin Xu,6-2 4-6 6-2,,,,,,,,,,,,,,
22-Feb-2021,W25 Boca Raton FL,3,Hard,Q1,313,363,0,12,,Beatriz Haddad Maia,Shilin Xu,6-2 6-4,,,,,,,,,,,,,,
15-Feb-2021,W25 Orlando FL,3,Hard,Q1,311,352,0,11,,Panna Udvardy,Shilin Xu,7-5 6-4,,,,,,,,,,,,,,
9-Mar-2020,W25+H Irapuato,3,Hard,R16,295,298,0,,,Hanna Chang,Shilin Xu,6-3 6-2,,,,,,,,,,,,,,
9-Mar-2020,W25+H Irapuato,3,Hard,R32,295,167,1,,5,Shilin Xu,Sara Errani,6-3 6-7(8) 6-1,,,,,,,,,,,,,,
2-Mar-2020,W25 Las Vegas NV,3,Hard,R32,292,308,0,,Q,Francoise Abanda,Shilin Xu,7-5 6-2,,,,,,,,,,,,,,
10-Feb-2020,W100 Nicholasville KY,3,Hard,Q2,297,257,0,12,3,Marcela Zacarias,Shilin Xu,6-3 3-0 RET,,,,,,,,,,,,,,
10-Feb-2020,W100 Nicholasville KY,3,Hard,Q1,297,496,1,12,WC,Shilin Xu,Emma Navarro,6-0 6-4,,,,,,,,,,,,,,
3-Feb-2020,W100 Midland MI,3,Hard,R16,313,276,0,Q,Q,Gabriela Lee,Shilin Xu,7-5 6-2,,,,,,,,,,,,,,
3-Feb-2020,W100 Midland MI,3,Hard,R32,313,380,1,Q,WC,Shilin Xu,Quinn Gleason,6-0 6-3,,,,,,,,,,,,,,
3-Feb-2020,W100 Midland MI,3,Hard,Q2,313,503,1,3,WC,Shilin Xu,Peyton Stearns,6-3 6-4,,,,,,,,,,,,,,
3-Feb-2020,W100 Midland MI,3,Hard,Q1,313,471,1,3,,Shilin Xu,Emily Webley Smith,6-0 6-1,,,,,,,,,,,,,,
20-Jan-2020,W25 Vero Beach FL,3,Clay,R16,307,269,0,,8,Dalma Galfi,Shilin Xu,6-0 6-1,,,,,,,,,,,,,,
20-Jan-2020,W25 Vero Beach FL,3,Clay,R32,307,294,1,,,Shilin Xu,Anna Danilina,6-4 2-6 6-2,,,,,,,,,,,,,,
13-Jan-2020,W25 Daytona Beach FL,3,Clay,R16,307,313,0,,,Ylena In Albon,Shilin Xu,6-4 6-4,,,,,,,,,,,,,,
13-Jan-2020,W25 Daytona Beach FL,3,Clay,R32,307,253,1,,1,Shilin Xu,Paula Ormaechea,7-6(4) 6-2,,,,,,,,,,,,,,
11-Nov-2019,W100 Tokyo,3,Hard,R32,310,103,0,,5,Nao Hibino,Shilin Xu,6-3 4-6 6-1,,,,,,,,,,,,,,
4-Nov-2019,W100 Shenzhen,3,Hard,Q1,235,448,0,,,Sofia Shapatava,Shilin Xu,2-6 6-4 [10-3],,,,,,,,,,,,,,
28-Oct-2019,W60 Liuzhou,3,Hard,SF,253,95,0,,,Lin Zhu,Shilin Xu,6-4 7-6(5),,,,,,,,,,,,,,
28-Oct-2019,W60 Liuzhou,3,Hard,QF,253,288,1,,LL,Shilin Xu,Dejana Radanovic,6-2 6-3,,,,,,,,,,,,,,
28-Oct-2019,W60 Liuzhou,3,Hard,R16,253,159,1,,5,Shilin Xu,Na Lae Han,6-3 6-2,,,,,,,,,,,,,,
28-Oct-2019,W60 Liuzhou,3,Hard,R32,253,910,1,,WC,Shilin Xu,Yanni Liu,6-3 6-1,,,,,,,,,,,,,,
21-Oct-2019,W25 Nanning,3,Hard,R16,253,186,0,,3,Dalila Jakupovic,Shilin Xu,7-5 7-5,,,,,,,,,,,,,,
