Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
13-May-2024,W35 Monzon,3,Hard,F,308,258,1,4,2,Sonay Kartal,Linda Klimovicova,6-1 6-0,,,,,,,,,,,,,,
13-May-2024,W35 Monzon,3,Hard,SF,308,727,1,4,LL,Sonay Kartal,Elena Micic,6-3 7-5,,,,,,,,,,,,,,
13-May-2024,W35 Monzon,3,Hard,QF,308,324,1,4,6,Sonay Kartal,Tamira Paszek,6-1 3-0 RET,,,,,,,,,,,,,,
13-May-2024,W35 Monzon,3,Hard,R16,308,1018,1,4,Q,Sonay Kartal,Tess Sugnaux,6-2 6-1,,,,,,,,,,,,,,
13-May-2024,W35 Monzon,3,Hard,R32,308,489,1,4,,Sonay Kartal,Tiphanie Fiquet,4-6 6-1 6-4,,,,,,,,,,,,,,
29-Apr-2024,W35 Nottingham,3,Hard,F,298,684,1,1,,Sonay Kartal,Klaudija Bubelyte,6-1 6-4,,,,,,,,,,,,,,
29-Apr-2024,W35 Nottingham,3,Hard,SF,298,579,1,1,,Sonay Kartal,Hikaru Sato,7-6(4) 3-6 6-4,,,,,,,,,,,,,,
29-Apr-2024,W35 Nottingham,3,Hard,QF,298,522,1,1,5,Sonay Kartal,Naiktha Bains,6-2 6-1,,,,,,,,,,,,,,
29-Apr-2024,W35 Nottingham,3,Hard,R16,298,1183,1,1,LL,Sonay Kartal,Carolann Delaunay,6-0 6-1,,,,,,,,,,,,,,
29-Apr-2024,W35 Nottingham,3,Hard,R32,298,701,1,1,,Sonay Kartal,Akiko Omae,6-1 6-3,,,,,,,,,,,,,,
15-Apr-2024,W50+H Calvi,3,Hard,R16,302,965,0,6,Q,Irina Ramialison,Sonay Kartal,6-4 7-6(7),,,,,,,,,,,,,,
15-Apr-2024,W50+H Calvi,3,Hard,R32,302,749,1,6,,Sonay Kartal,Caroline Romeo,6-2 6-1,,,,,,,,,,,,,,
22-Jan-2024,W75+H Porto,3,Hard,R32,250,114,0,Q,3,Nuria Parrizas Diaz,Sonay Kartal,6-1 3-6 6-1,,,,,,,,,,,,,,
22-Jan-2024,W75+H Porto,3,Hard,Q2,250,453,1,4,,Sonay Kartal,Dalayna Hewitt,6-4 6-0,,,,,,,,,,,,,,
8-Jan-2024,W35 Loughborough,3,Hard,F,250,380,1,1,,Sonay Kartal,Manon Leonard,6-4 6-1,,,,,,,,,,,,,,
8-Jan-2024,W35 Loughborough,3,Hard,SF,250,754,1,1,Q,Sonay Kartal,Ranah Akua Stoiber,6-0 2-6 6-3,,,,,,,,,,,,,,
8-Jan-2024,W35 Loughborough,3,Hard,QF,250,352,1,1,7,Sonay Kartal,Barbora Palicova,6-1 6-2,,,,,,,,,,,,,,
8-Jan-2024,W35 Loughborough,3,Hard,R16,250,382,1,1,,Sonay Kartal,Julia Middendorf,6-2 6-4,,,,,,,,,,,,,,
8-Jan-2024,W35 Loughborough,3,Hard,R32,250,1367,1,1,Q,Sonay Kartal,Bronte Murgett,6-1 6-3,,,,,,,,,,,,,,
18-Sep-2023,W60+H Caldas da Rainha,3,Hard,QF,255,151,0,,3,Leolia Jeanjean,Sonay Kartal,5-7 6-3 6-2,,,,,,,,,,,,,,
18-Sep-2023,W60+H Caldas da Rainha,3,Hard,R16,255,386,1,,Q,Sonay Kartal,Eden Silva,6-4 6-2,,,,,,,,,,,,,,
18-Sep-2023,W60+H Caldas da Rainha,3,Hard,R32,255,162,1,,6,Sonay Kartal,Yuriko Miyazaki,6-3 2-6 6-4,,,,,,,,,,,,,,
11-Sep-2023,W25 Leiria,3,Hard,F,259,219,1,2,1,Sonay Kartal,Anastasia Zakharova,7-6(5) 1-6 6-3,,,,,,,,,,,,,,
11-Sep-2023,W25 Leiria,3,Hard,SF,259,469,1,2,,Sonay Kartal,Amarni Banks,6-2 7-6(5),,,,,,,,,,,,,,
11-Sep-2023,W25 Leiria,3,Hard,QF,259,583,1,2,Q,Sonay Kartal,Fangran Tian,3-6 6-2 6-4,,,,,,,,,,,,,,
11-Sep-2023,W25 Leiria,3,Hard,R16,259,456,1,2,,Sonay Kartal,Amandine Hesse,6-1 6-3,,,,,,,,,,,,,,
11-Sep-2023,W25 Leiria,3,Hard,R32,259,,1,2,WC,Sonay Kartal,Milla Sequeira,6-1 6-0,,,,,,,,,,,,,,
28-Aug-2023,W60 Prague,3,Clay,R32,259,782,0,7,Q,Luca Udvardy,Sonay Kartal,6-2 7-5,,,,,,,,,,,,,,
21-Aug-2023,W60 Prerov,3,Clay,R32,259,301,0,6,,Lea Boskovic,Sonay Kartal,6-3 7-6(4),,,,,,,,,,,,,,
24-Jul-2023,W25 Horb,3,Clay,R32,263,634,0,4,Q,Chantal Sauvant,Sonay Kartal,6-1 6-2,,,,,,,,,,,,,,
3-Jul-2023,Wimbledon,5,Grass,R128,266,18,0,WC,25,Madison Keys,Sonay Kartal,6-0 6-3,0.65,0.0%,3.3%,65.6%,52.5%,38.1%,66.7% (8/12),40.8%,33.9%,0.0%,29.3%,44.4%,0.0% (0/5),1:15
