Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
8-Sep-2008,Innsbruck 10K,3,Clay,R16,835,668,0,,,Julia Mayr,Stefanie Haidner,6-4 6-3,,,,,,,,,,,,,,
8-Sep-2008,Innsbruck 10K,3,Clay,R32,835,,1,,Q,Stefanie Haidner,Linda Mair,6-4 7-5,,,,,,,,,,,,,,
25-Aug-2008,Portschach 10K,3,Clay,R32,806,,0,,Q,Sofiya Kovalets,Stefanie Haidner,2-6 6-4 6-1,,,,,,,,,,,,,,
21-Apr-2008,Naples 10K,3,Clay,R32,756,216,0,WC,1,Christina Wheeler,Stefanie Haidner,6-0 6-3,,,,,,,,,,,,,,
19-Nov-2007,Barcelona 10K,3,Clay,QF,696,421,0,LL,2,Valentina Sulpizio,Stefanie Haidner,6-3 6-7(4) 6-4,,,,,,,,,,,,,,
19-Nov-2007,Barcelona 10K,3,Clay,R16,696,712,1,LL,SE,Stefanie Haidner,Charlene Vanneste,1-6 7-5 6-2,,,,,,,,,,,,,,
19-Nov-2007,Barcelona 10K,3,Clay,R32,696,,1,LL,WC,Stefanie Haidner,Carla Roset Franco,6-1 6-1,,,,,,,,,,,,,,
5-Nov-2007,Jounieh 25K,3,Clay,R32,721,543,0,WC,,Nicole Clerico,Stefanie Haidner,1-6 6-2 7-6(6),,,,,,,,,,,,,,
22-Oct-2007,Augusta-Siracusa 10K,3,Clay,QF,828,661,0,,6,Paola Sprovieri,Stefanie Haidner,6-2 6-0,,,,,,,,,,,,,,
22-Oct-2007,Augusta-Siracusa 10K,3,Clay,R16,828,,1,,Q,Stefanie Haidner,Kristyna Sramkova,5-7 6-3 6-4,,,,,,,,,,,,,,
22-Oct-2007,Augusta-Siracusa 10K,3,Clay,R32,828,422,1,,4,Stefanie Haidner,Anna Giulia Remondina,7-6(6) 5-7 7-6(6),,,,,,,,,,,,,,
15-Oct-2007,Settimo San Pietro 10K,3,Clay,SF,829,326,0,,2,Valentina Sassi,Stefanie Haidner,6-2 7-5,,,,,,,,,,,,,,
15-Oct-2007,Settimo San Pietro 10K,3,Clay,QF,829,393,1,,3,Stefanie Haidner,Verdiana Verardi,5-7 6-4 6-4,,,,,,,,,,,,,,
15-Oct-2007,Settimo San Pietro 10K,3,Clay,R16,829,448,1,,5,Stefanie Haidner,Valentina Sulpizio,6-3 6-1,,,,,,,,,,,,,,
15-Oct-2007,Settimo San Pietro 10K,3,Clay,R32,829,,1,,Q,Stefanie Haidner,Madalina Lupu,6-2 6-2,,,,,,,,,,,,,,
24-Sep-2007,Ciampino 10K,3,Clay,R32,814,,0,,WC,Costanza Mecchi,Stefanie Haidner,6-2 6-3,,,,,,,,,,,,,,
17-Sep-2007,Bratislava 10K,3,Clay,R16,815,978,0,,Q,Veronika Kolarova,Stefanie Haidner,6-2 6-4,,,,,,,,,,,,,,
17-Sep-2007,Bratislava 10K,3,Clay,R32,815,623,1,,7,Stefanie Haidner,Palma Kiraly,6-0 6-4,,,,,,,,,,,,,,
3-Sep-2007,Dusseldorf 10K,3,Clay,R16,800,875,0,,,Syna Kayser,Stefanie Haidner,7-5 6-3,,,,,,,,,,,,,,
3-Sep-2007,Dusseldorf 10K,3,Clay,R32,800,1009,1,,,Stefanie Haidner,Sheila Solsona Carcasona,6-3 6-3,,,,,,,,,,,,,,
27-Aug-2007,Portschach 10K,3,Clay,R32,800,601,0,,,Natasa Zoric,Stefanie Haidner,7-5 6-2,,,,,,,,,,,,,,
20-Aug-2007,Wahlstedt 10K,3,Clay,R16,793,482,0,,6,Neda Kozic,Stefanie Haidner,6-1 7-5,,,,,,,,,,,,,,
20-Aug-2007,Wahlstedt 10K,3,Clay,R32,793,,1,,Q,Stefanie Haidner,Kveta Hajkova,6-2 6-0,,,,,,,,,,,,,,
13-Aug-2007,Bielefeld 10K,3,Clay,R32,803,990,0,,,Karolina Nowak,Stefanie Haidner,3-6 6-2 6-0,,,,,,,,,,,,,,
28-May-2007,Stare Splavy 10K,3,Clay,R16,649,,0,6,Q,Dominika Kanakova,Stefanie Haidner,6-2 RET,,,,,,,,,,,,,,
28-May-2007,Stare Splavy 10K,3,Clay,R32,649,,1,6,Q,Stefanie Haidner,Martina Borecka,6-3 6-4,,,,,,,,,,,,,,
21-May-2007,Vienna 10K,3,Clay,R32,631,1118,0,,LL,Karolina Pliskova,Stefanie Haidner,1-6 6-0 6-1,,,,,,,,,,,,,,
23-Apr-2007,Naples 10K,3,Clay,R16,622,447,0,,7,Patricia Mayr Achleitner,Stefanie Haidner,6-2 2-6 6-0,,,,,,,,,,,,,,
23-Apr-2007,Naples 10K,3,Clay,R32,622,788,1,,Q,Stefanie Haidner,Maria Luiza Craciun,6-1 6-4,,,,,,,,,,,,,,
26-Mar-2007,Foggia 10K,3,Clay,R32,586,636,0,,,Corinna Dentoni,Stefanie Haidner,6-3 6-2,,,,,,,,,,,,,,
5-Feb-2007,Mallorca 10K,3,Clay,R32,589,619,0,8,,Elisa Balsamo,Stefanie Haidner,7-6(1) 6-3,,,,,,,,,,,,,,
27-Nov-2006,Cairo 10K,3,Clay,R16,567,568,0,,7,Vasilisa Davydova,Stefanie Haidner,4-6 6-3 7-5,,,,,,,,,,,,,,
27-Nov-2006,Cairo 10K,3,Clay,R32,567,637,1,,,Stefanie Haidner,Diana Andreea Gae,6-4 6-4,,,,,,,,,,,,,,
20-Nov-2006,Cairo 10K,3,Clay,SF,557,507,0,8,4,Varvara Galanina,Stefanie Haidner,6-2 4-6 6-4,,,,,,,,,,,,,,
20-Nov-2006,Cairo 10K,3,Clay,QF,557,,1,8,Q,Stefanie Haidner,Jasmina Kajtazovic,7-5 6-1,,,,,,,,,,,,,,
20-Nov-2006,Cairo 10K,3,Clay,R16,557,,1,8,Q,Stefanie Haidner,Sara Meghoufel,6-7(6) 6-1 7-6(6),,,,,,,,,,,,,,
20-Nov-2006,Cairo 10K,3,Clay,R32,557,500,1,8,LL,Stefanie Haidner,Biljana Pawlowa Dimitrova,6-2 4-6 6-2,,,,,,,,,,,,,,
13-Nov-2006,Cairo 10K,3,Clay,R16,555,699,0,5,,Liana Gabriela Ungur,Stefanie Haidner,6-2 6-2,,,,,,,,,,,,,,
13-Nov-2006,Cairo 10K,3,Clay,R32,555,1269,1,5,Q,Stefanie Haidner,Kateryna Malakhova,3-6 6-3 6-3,,,,,,,,,,,,,,
23-Oct-2006,Dubrovnik 10K,3,Clay,R16,565,757,0,6,,Anja Prislan,Stefanie Haidner,6-3 6-4,,,,,,,,,,,,,,
23-Oct-2006,Dubrovnik 10K,3,Clay,R32,565,1031,1,6,Q,Stefanie Haidner,Lucia Krzelj,7-5 6-2,,,,,,,,,,,,,,
16-Oct-2006,Dubrovnik 10K,3,Clay,R32,562,871,0,7,,Simona Dobra,Stefanie Haidner,&nbsp;,,,,,,,,,,,,,,
9-Oct-2006,Rome-Castel Gandolfo 10K,3,Clay,R32,559,1129,0,,Q,Letizia Lo Re,Stefanie Haidner,6-0 6-2,,,,,,,,,,,,,,
18-Sep-2006,Ciampino 10K,3,Clay,QF,553,1100,0,7,WC,Alexia Virgili,Stefanie Haidner,6-7(5) 6-4 6-3,,,,,,,,,,,,,,
18-Sep-2006,Ciampino 10K,3,Clay,R16,553,,1,7,Q,Stefanie Haidner,Eva Kadlecova,3-6 6-2 6-0,,,,,,,,,,,,,,
18-Sep-2006,Ciampino 10K,3,Clay,R32,553,671,1,7,,Stefanie Haidner,Alice Balducci,6-4 6-4,,,,,,,,,,,,,,
28-Aug-2006,Vienna 10K,3,Clay,QF,584,415,0,,4,Lenka Wienerova,Stefanie Haidner,6-7 6-1 6-4,,,,,,,,,,,,,,
28-Aug-2006,Vienna 10K,3,Clay,R16,584,468,1,,6,Stefanie Haidner,Federica Quercia,6-4 6-3,,,,,,,,,,,,,,
28-Aug-2006,Vienna 10K,3,Clay,R32,584,,1,,WC,Stefanie Haidner,Janina Toljan,6-2 6-2,,,,,,,,,,,,,,
21-Aug-2006,Maribor 10K,3,Clay,R32,576,280,0,,2,Andreja Klepac,Stefanie Haidner,6-0 6-1,,,,,,,,,,,,,,
17-Jul-2006,Rome-Tevere Remo 25K,3,Clay,R16,574,146,0,Q,2,Edina Gallovits Hall,Stefanie Haidner,6-1 7-5,,,,,,,,,,,,,,
17-Jul-2006,Rome-Tevere Remo 25K,3,Clay,R32,574,546,1,Q,,Stefanie Haidner,Emily Stellato,7-6(4) 1-6 7-5,,,,,,,,,,,,,,
3-Jul-2006,Napoli 10K,3,Clay,R32,539,692,0,6,,Timna Ticic,Stefanie Haidner,6-4 7-5,,,,,,,,,,,,,,
22-May-2006,Campobasso 25K,3,Clay,R16,552,245,0,WC,6,Alisa Kleybanova,Stefanie Haidner,6-2 6-1,,,,,,,,,,,,,,
22-May-2006,Campobasso 25K,3,Clay,R32,552,447,1,WC,Q,Stefanie Haidner,Katerina Avdiyenko,6-4 2-6 6-4,,,,,,,,,,,,,,
15-May-2006,Caserta 25K,3,Clay,R32,550,347,0,WC,Q,Ekaterina Ivanova,Stefanie Haidner,6-0 6-7(4) 6-2,,,,,,,,,,,,,,
27-Mar-2006,RomeTiro a Volo 10K,3,Clay,R16,472,355,0,,4,Valentina Sulpizio,Stefanie Haidner,6-4 3-6 6-2,,,,,,,,,,,,,,
27-Mar-2006,RomeTiro a Volo 10K,3,Clay,R32,472,726,1,,Q,Stefanie Haidner,Jessica Orselli,4-6 6-2 6-4,,,,,,,,,,,,,,
13-Mar-2006,RomeReal 10K,3,Clay,QF,466,287,0,8,1,Darija Jurak,Stefanie Haidner,6-2 6-0,,,,,,,,,,,,,,
13-Mar-2006,RomeReal 10K,3,Clay,R16,466,826,1,8,Q,Stefanie Haidner,Alice Balducci,7-5 3-6 6-3,,,,,,,,,,,,,,
13-Mar-2006,RomeReal 10K,3,Clay,R32,466,,1,8,WC,Stefanie Haidner,Anastasia Grymalska,6-1 6-3,,,,,,,,,,,,,,
28-Nov-2005,Giza 3 10K,3,Clay,F,470,597,0,1,5,Galina Fokina,Stefanie Haidner,6-2 6-4,,,,,,,,,,,,,,
28-Nov-2005,Giza 3 10K,3,Clay,SF,470,944,1,1,,Stefanie Haidner,Emilia Desiderio,6-4 7-5,,,,,,,,,,,,,,
28-Nov-2005,Giza 3 10K,3,Clay,QF,470,670,1,1,6,Stefanie Haidner,Vasilisa Davydova,7-6(6) 6-1,,,,,,,,,,,,,,
28-Nov-2005,Giza 3 10K,3,Clay,R16,470,,1,1,Q,Stefanie Haidner,Marcella Koek,6-4 6-0,,,,,,,,,,,,,,
28-Nov-2005,Giza 3 10K,3,Clay,R32,470,1010,1,1,,Stefanie Haidner,Diana Arutyunova,6-0 6-2,,,,,,,,,,,,,,
21-Nov-2005,Giza 2 10K,3,Clay,R16,481,936,0,1,,Stella Menna,Stefanie Haidner,6-4 6-7(4) 6-3,,,,,,,,,,,,,,
21-Nov-2005,Giza 2 10K,3,Clay,R32,481,1224,1,1,,Stefanie Haidner,Lenore Lazaroiu,6-3 6-1,,,,,,,,,,,,,,
14-Nov-2005,Mallorca 4 10K,3,Clay,QF,479,560,0,3,6,Eva Fernandez Brugues,Stefanie Haidner,7-6(4) 6-3,,,,,,,,,,,,,,
14-Nov-2005,Mallorca 4 10K,3,Clay,R16,479,578,1,3,,Stefanie Haidner,Laura Vallverdu Zafra,4-4 RET,,,,,,,,,,,,,,
14-Nov-2005,Mallorca 4 10K,3,Clay,R32,479,1076,1,3,Q,Stefanie Haidner,Anastasia Kontratevidi,6-2 7-6(11),,,,,,,,,,,,,,
7-Nov-2005,Mallorca 3 10K,3,Clay,R32,480,562,0,3,,Eva Fernandez Brugues,Stefanie Haidner,6-4 6-4,,,,,,,,,,,,,,
12-Sep-2005,Torre Del Greco 10K,3,Clay,R16,470,773,0,5,Q,Corinna Dentoni,Stefanie Haidner,6-4 6-2,,,,,,,,,,,,,,
12-Sep-2005,Torre Del Greco 10K,3,Clay,R32,470,696,1,5,,Stefanie Haidner,Gianna Doz,6-7(2) 6-1 6-4,,,,,,,,,,,,,,
15-Aug-2005,Helsinki 25K,3,Hard,R32,427,323,0,,5,Yulia Fedossova,Stefanie Haidner,6-1 6-2,,,,,,,,,,,,,,
18-Jul-2005,Palermo,3,Clay,Q1,417,249,0,A,,Tatsiana Uvarova,Stefanie Haidner,4-6 6-2 6-1,,,,,,,,,,,,,,
4-Jul-2005,Felixstowe 25K,3,Grass,R32,410,424,0,,,Sabrina Jolk,Stefanie Haidner,6-0 6-1,,,,,,,,,,,,,,
27-Jun-2005,Fano 75K,3,Clay,R32,382,423,0,Q,Q,Emily Stellato,Stefanie Haidner,6-1 2-6 6-4,,,,,,,,,,,,,,
23-May-2005,Campobasso 25K,3,Clay,R32,363,287,0,Q,,Kelly Liggan,Stefanie Haidner,6-7(0) 7-6(9) 6-4,,,,,,,,,,,,,,
16-May-2005,Caserta 25K,3,Clay,R32,360,349,0,,,Nadja Pavic,Stefanie Haidner,7-6(2) 6-2,,,,,,,,,,,,,,
25-Apr-2005,Taranto 25K,3,Clay,R16,365,196,0,,2,Mervana Jugic Salkic,Stefanie Haidner,6-1 6-3,,,,,,,,,,,,,,
25-Apr-2005,Taranto 25K,3,Clay,R32,365,435,1,,,Stefanie Haidner,Giorgia Mortello,6-2 7-6(4),,,,,,,,,,,,,,
18-Apr-2005,Bari 25K,3,Clay,R16,379,237,0,LL,,Olga Vymetalkova,Stefanie Haidner,6-1 6-2,,,,,,,,,,,,,,
18-Apr-2005,Bari 25K,3,Clay,R32,379,360,1,LL,Q,Stefanie Haidner,Sandra Zahlavova,2-6 6-3 6-4,,,,,,,,,,,,,,
11-Apr-2005,Civitavecchia 25K,3,Clay,R16,381,231,0,LL,,Magda Mihalache,Stefanie Haidner,6-7(5) 6-3 7-6(6),,,,,,,,,,,,,,
11-Apr-2005,Civitavecchia 25K,3,Clay,R32,381,181,1,LL,4,Stefanie Haidner,Virag Nemeth,6-0 6-2,,,,,,,,,,,,,,
28-Mar-2005,RomeTiro a Volo 10K,3,Clay,R32,382,499,0,,Q,Anna Floris,Stefanie Haidner,6-2 6-1,,,,,,,,,,,,,,
21-Mar-2005,RomeParioli 10K,3,Clay,R32,382,585,0,5,Q,Ana Jovanovic,Stefanie Haidner,6-2 7-5,,,,,,,,,,,,,,
14-Mar-2005,RomeBorghesiana 10K,3,Clay,QF,381,492,0,4,7,Maria Penkova,Stefanie Haidner,6-2 7-6(3),,,,,,,,,,,,,,
14-Mar-2005,RomeBorghesiana 10K,3,Clay,R16,381,574,1,4,,Stefanie Haidner,Gloria Pizzichini,6-2 6-0,,,,,,,,,,,,,,
14-Mar-2005,RomeBorghesiana 10K,3,Clay,R32,381,654,1,4,,Stefanie Haidner,Giulia Meruzzi,6-4 6-3,,,,,,,,,,,,,,
7-Mar-2005,Napoli 10K,3,Clay,R16,381,493,0,6,,Raffaella Bindi,Stefanie Haidner,4-6 6-2 6-2,,,,,,,,,,,,,,
7-Mar-2005,Napoli 10K,3,Clay,R32,381,1022,1,6,WC,Stefanie Haidner,Eleonora Punzo,6-1 6-2,,,,,,,,,,,,,,
25-Oct-2004,Linz,3,Hard,Q1,367,105,0,WC,,Emmanuelle Gagliardi,Stefanie Haidner,6-2 6-3,,,,,,,,,,,,,,
27-Sep-2004,Belgrade 25K,3,Clay,R32,303,328,0,,,Maria Geznenge,Stefanie Haidner,5-7 6-3 6-3,,,,,,,,,,,,,,
6-Sep-2004,Fano 50K,3,Clay,R32,308,197,0,LL,,Nathalie Vierin,Stefanie Haidner,6-2 6-4,,,,,,,,,,,,,,
30-Aug-2004,Mestre 25K,3,Clay,R32,308,381,0,Q,Q,Nadja Pavic,Stefanie Haidner,6-2 2-6 6-3,,,,,,,,,,,,,,
9-Aug-2004,Martina Franca 25K,3,Clay,QF,321,200,0,,1,Bahia Mouhtassine,Stefanie Haidner,6-3 6-7(3) 6-2,,,,,,,,,,,,,,
9-Aug-2004,Martina Franca 25K,3,Clay,R16,321,295,1,,,Stefanie Haidner,Maria Geznenge,4-6 7-6(5) 6-4,,,,,,,,,,,,,,
9-Aug-2004,Martina Franca 25K,3,Clay,R32,321,,1,,WC,Stefanie Haidner,Roberta Martellini,6-2 6-0,,,,,,,,,,,,,,
2-Aug-2004,Rimini 50K,3,Clay,R32,324,126,0,LL,6,Lenka Nemeckova,Stefanie Haidner,7-5 6-3,,,,,,,,,,,,,,
19-Jul-2004,Palermo,3,Clay,Q2,308,183,0,,5,Alice Canepa,Stefanie Haidner,6-2 4-6 6-2,,,,,,,,,,,,,,
19-Jul-2004,Palermo,3,Clay,Q1,308,418,1,,,Stefanie Haidner,Elisa Balsamo,7-6(5) 2-6 6-3,,,,,,,,,,,,,,
28-Jun-2004,Mont De Marsan 25K,3,Clay,R32,274,300,0,,,Kathrin Woerle,Stefanie Haidner,7-6(8) 6-3,,,,,,,,,,,,,,
21-Jun-2004,Perigueux 25K,3,Clay,SF,274,222,0,,6,Maria Fernanda Alves,Stefanie Haidner,7-5 6-1,,,,,,,,,,,,,,
21-Jun-2004,Perigueux 25K,3,Clay,QF,274,260,1,,,Stefanie Haidner,Valentina Sassi,7-5 6-1,,,,,,,,,,,,,,
21-Jun-2004,Perigueux 25K,3,Clay,R16,274,406,1,,LL,Stefanie Haidner,Amandine Singla,4-6 6-3 6-2,,,,,,,,,,,,,,
21-Jun-2004,Perigueux 25K,3,Clay,R32,274,,1,,Q,Stefanie Haidner,Elodie Rouzier,6-1 5-7 6-4,,,,,,,,,,,,,,
14-Jun-2004,Lenzerheide 25K,3,Clay,R32,283,307,0,8,,Katalin Marosi,Stefanie Haidner,3-6 6-4 6-3,,,,,,,,,,,,,,
7-Jun-2004,Grado 25K,3,Clay,R16,276,246,0,LL,SE,Paula Garcia,Stefanie Haidner,W/O,,,,,,,,,,,,,,
7-Jun-2004,Grado 25K,3,Clay,R32,276,272,1,LL,,Stefanie Haidner,Svetlana Krivencheva,4-6 6-4 6-4,,,,,,,,,,,,,,
31-May-2004,Galatina 25K,3,Clay,R32,279,,0,,WC,Nicole Clerico,Stefanie Haidner,1-6 6-3 6-3,,,,,,,,,,,,,,
17-May-2004,Caserta 25K,3,Clay,R16,281,241,0,,7,Laura Pous Tio,Stefanie Haidner,6-1 6-3,,,,,,,,,,,,,,
17-May-2004,Caserta 25K,3,Clay,R32,281,,1,,SR,Stefanie Haidner,Gloria Pizzichini,6-4 6-4,,,,,,,,,,,,,,
3-May-2004,Catania 25K,3,Clay,R32,244,357,0,,LL,Shikha Uberoi,Stefanie Haidner,6-4 6-3,,,,,,,,,,,,,,
26-Apr-2004,Taranto 25K,3,Clay,R16,243,195,0,,3,Patricia Wartusch,Stefanie Haidner,7-6(5) 6-2,,,,,,,,,,,,,,
26-Apr-2004,Taranto 25K,3,Clay,R32,243,331,1,,Q,Stefanie Haidner,Michelle Gerards,1-6 6-1 6-2,,,,,,,,,,,,,,
19-Apr-2004,Bari 25K,3,Clay,R32,243,250,0,,,Kildine Chevalier,Stefanie Haidner,6-4 6-0,,,,,,,,,,,,,,
29-Mar-2004,Napoli 10K,3,Clay,QF,237,373,0,,6,Larissa Carvalho,Stefanie Haidner,6-3 6-3,,,,,,,,,,,,,,
29-Mar-2004,Napoli 10K,3,Clay,R16,237,929,1,,WC,Stefanie Haidner,Barbara Polidoro,2-6 6-4 6-1,,,,,,,,,,,,,,
29-Mar-2004,Napoli 10K,3,Clay,R32,237,573,1,,LL,Stefanie Haidner,Lucia Jimenez Almendros,6-7(4) 7-6(4) 6-2,,,,,,,,,,,,,,
15-Mar-2004,RomeLanciani 10K,3,Clay,R32,237,388,0,6,,Eszter Molnar,Stefanie Haidner,6-2 6-2,,,,,,,,,,,,,,
8-Mar-2004,RomeEur 10K,3,Clay,R32,237,663,0,3,Q,Margot Torre,Stefanie Haidner,3-6 6-3 6-3,,,,,,,,,,,,,,
16-Feb-2004,Redbridge 25K,3,Hard,R32,234,205,0,,6,Zuzana Kucova,Stefanie Haidner,6-4 6-7(6) 6-2,,,,,,,,,,,,,,
9-Feb-2004,Sunderland 1 25K,3,Hard,R32,234,199,0,,4,Nina Duebbers,Stefanie Haidner,6-4 6-4,,,,,,,,,,,,,,
26-Jan-2004,Bergamo 25K,3,Carpet,R32,240,337,0,,Q,Ana Vrljic,Stefanie Haidner,6-1 6-2,,,,,,,,,,,,,,
20-Oct-2003,Linz,3,Hard,Q1,235,374,0,,,Sonya Jeyaseelan,Stefanie Haidner,6-2 6-4,,,,,,,,,,,,,,
13-Oct-2003,Joue les Tours 25K,3,Hard,R16,236,103,0,,2,Dally Randriantefy,Stefanie Haidner,6-4 6-0,,,,,,,,,,,,,,
13-Oct-2003,Joue les Tours 25K,3,Hard,R32,236,381,1,,,Stefanie Haidner,Kathrin Woerle,6-3 6-7(4) 6-3,,,,,,,,,,,,,,
