Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
25-May-1981,Roland Garros,5,Clay,Q1,,,0,,,Kate Glancy,Sylvie Rual,6-1 6-3,,,,,,,,,,,,,,
3-Nov-1980,Hong Kong,3,Clay,R16,,,0,,7,Nerida Gregory,Sylvie Rual,6-4 7-6,,,,,,,,,,,,,,
3-Nov-1980,Hong Kong,3,Clay,R32,,,1,,,Sylvie Rual,Yuen Yuen Ling,3-6 6-3 6-1,,,,,,,,,,,,,,
20-Oct-1980,Tokyo Japan Open,3,Hard,R32,,,0,,7,Duk Hee Lee,Sylvie Rual,6-3 7-5,,,,,,,,,,,,,,
13-Oct-1980,Nagoya,3,Clay,R32,,,0,,,Sonoe Yonezawa,Sylvie Rual,6-2 6-7 7-5,,,,,,,,,,,,,,
26-Aug-1980,US Open,5,Hard,Q1,,,0,,,Nanette Schutte,Sylvie Rual,6-3 6-4,,,,,,,,,,,,,,
4-Aug-1980,Indianapolis,3,Clay,R64,,,0,LL,Q,Caroline Franch,Sylvie Rual,6-1 6-1,,,,,,,,,,,,,,
26-May-1980,Roland Garros,5,Clay,Q2,,,0,,,Marie Pinterova,Sylvie Rual,6-2 7-5,,,,,,,,,,,,,,
26-May-1980,Roland Garros,5,Clay,Q1,,,0,,,Karin Moos,Sylvie Rual,6-7 6-4 6-0,,,,,,,,,,,,,,
26-May-1980,Roland Garros,5,Clay,Q1,,,1,,,Sylvie Rual,Carmen Perea Alcala,6-2 6-7 9-7,,,,,,,,,,,,,,
28-Aug-1978,US Open,5,Hard,Q1,,,0,,,Kathy Jordan,Sylvie Rual,6-0 6-4,,,,,,,,,,,,,,
26-Jun-1978,Wimbledon,5,Grass,Q1,,,0,,,Paulina Peisachov,Sylvie Rual,6-2 6-2,,,,,,,,,,,,,,
29-May-1978,Roland Garros,5,Clay,R32,,,0,,Q,Miroslava Kozeluhova,Sylvie Rual,1-6 6-2 6-3,,,,,,,,,,,,,,
29-May-1978,Roland Garros,5,Clay,R64,,,1,,,Sylvie Rual,Beatrix Klein,6-1 6-2,,,,,,,,,,,,,,
17-Apr-1978,Nice,3,,R32,,,0,,,Carmen Perea Alcala,Sylvie Rual,6-3 6-1,,,,,,,,,,,,,,
5-Apr-1978,Monte Carlo,3,Clay,QF,,,0,,,Nathalie Fuchs,Sylvie Rual,7-5 7-6,,,,,,,,,,,,,,
5-Apr-1978,Monte Carlo,3,Clay,R16,,,1,,,Sylvie Rual,Helena Wimmer,7-5 6-1,,,,,,,,,,,,,,
5-Apr-1978,Monte Carlo,3,Clay,R32,,,1,,,Sylvie Rual,Anne Hobbs,6-2 1-6 6-4,,,,,,,,,,,,,,
5-Apr-1978,Monte Carlo,3,Clay,R64,,,1,,,Sylvie Rual,Eva Rozsavolgyi,6-4 6-1,,,,,,,,,,,,,,
23-May-1977,Roland Garros,5,Clay,R64,,,0,Q,,Brigette Cuypers,Sylvie Rual,5-7 7-6 6-0,,,,,,,,,,,,,,
23-May-1977,Roland Garros,5,Clay,Q4,,,1,,,Sylvie Rual,Adriana Villagran Reami,6-4 6-4,,,,,,,,,,,,,,
23-May-1977,Roland Garros,5,Clay,Q3,,,1,,,Sylvie Rual,Maria Victoria Baldovinos Cibeira,6-4 6-3,,,,,,,,,,,,,,
23-May-1977,Roland Garros,5,Clay,Q2,,,1,,,Sylvie Rual,Helen Liebenberg,6-2 6-3,,,,,,,,,,,,,,
31-May-1976,Roland Garros,5,Clay,R64,,,0,,,Florence Guedy,Sylvie Rual,2-6 6-4 6-0,,,,,,,,,,,,,,
2-Jun-1975,Roland Garros,5,Clay,Q1,,,0,,,Sally Greer,Sylvie Rual,6-2 6-3,,,,,,,,,,,,,,
21-May-1973,Roland Garros,5,Clay,Q2,,,0,,,Soon Oh Lee,Sylvie Rual,6-4 6-7 6-2,,,,,,,,,,,,,,
9-Aug-1972,Budapest,3,Clay,R32,,,0,,,Danuta Wieczorek,Sylvie Rual,6-0 6-1,,,,,,,,,,,,,,
22-May-1972,Roland Garros,5,Clay,Q2,,,0,,,Pamela Austin,Sylvie Rual,6-2 6-0,,,,,,,,,,,,,,
24-May-1971,Roland Garros,5,Clay,Q1,,,0,,,Sharon Van Brandis,Sylvie Rual,6-0 3-6 6-4,,,,,,,,,,,,,,
25-Feb-1971,Lyon,3,Carpet,SF,,,0,,,Odile De Roubin,Sylvie Rual,6-2 6-2,,,,,,,,,,,,,,
25-Feb-1971,Lyon,3,Carpet,QF,,,1,,,Sylvie Rual,Christiane Sarrazin,6-1 6-3,,,,,,,,,,,,,,
14-Sep-1970,Paris Coupe Poree,3,Clay,QF,,,0,,,Ana Maria Arias,Sylvie Rual,4-6 6-2 6-4,,,,,,,,,,,,,,
13-Jul-1970,Le Touquet 2,3,Clay,QF,,,0,,,Odile De Roubin,Sylvie Rual,8-6 6-0,,,,,,,,,,,,,,
25-May-1970,Roland Garros,5,Clay,Q2,,,0,,,Daniele Bouteleux,Sylvie Rual,6-1 6-2,,,,,,,,,,,,,,
14-Jul-1969,Le Touquet 1,3,Clay,SF,,,0,,,Janine Lieffrig,Sylvie Rual,7-5 6-2,,,,,,,,,,,,,,
