Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
6-Jun-1994,ITF Murska,3,Clay,R32,,647,0,,,Valeria Strappa,Tadeja Florjancic,6-4 6-1,,,,,,,,,,,,,,
6-Sep-1993,ITF Klagenfurt,3,Clay,Q1,,,0,,,Angela Geib,Tadeja Florjancic,6-2 6-3,,,,,,,,,,,,,,
23-Aug-1993,ITF La Spezia,3,Clay,R16,,,0,,6,Immaculada Varas Caro,Tadeja Florjancic,7-6 6-4,,,,,,,,,,,,,,
23-Aug-1993,ITF La Spezia,3,Clay,R32,,,1,,,Tadeja Florjancic,Maria Paola Zavagli,6-3 6-3,,,,,,,,,,,,,,
28-Jun-1993,ITF Supetar,3,Clay,R32,,,0,,,Darija Karadza,Tadeja Florjancic,6-3 6-2,,,,,,,,,,,,,,
21-Jun-1993,ITF Zagreb,3,Clay,R16,,,0,,,Vanessa Matthys,Tadeja Florjancic,W/O,,,,,,,,,,,,,,
21-Jun-1993,ITF Zagreb,3,Clay,R32,,,1,,,Tadeja Florjancic,Michelle Anderson,6-2 7-5,,,,,,,,,,,,,,
7-Jun-1993,ITF Murska,3,Clay,R32,,,0,,2,Rita Kuti Kis,Tadeja Florjancic,6-3 6-0,,,,,,,,,,,,,,
28-Sep-1992,ITF Mali Losin,3,Clay,R16,,533,0,,1,Tina Vukasovic,Tadeja Florjancic,6-0 6-3,,,,,,,,,,,,,,
28-Sep-1992,ITF Mali Losin,3,Clay,R32,,,1,,,Tadeja Florjancic,Petra Stankova,6-0 6-4,,,,,,,,,,,,,,
21-Sep-1992,ITF Adriatic,3,Clay,R32,,,0,,,Zuzana Nemsakova,Tadeja Florjancic,6-4 6-1,,,,,,,,,,,,,,
15-Jun-1992,ITF Maribor,3,Clay,R16,,612,0,,,Karin Lusnic,Tadeja Florjancic,6-1 6-1,,,,,,,,,,,,,,
15-Jun-1992,ITF Maribor,3,Clay,R32,,380,1,,2,Tadeja Florjancic,Jindra Gabrisova,3-6 7-5 7-5,,,,,,,,,,,,,,
24-Jun-1991,ITF Dubrovnik 1,3,Clay,R32,,,0,,,Christina Habernigg,Tadeja Florjancic,6-2 6-1,,,,,,,,,,,,,,
