Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
10-Sep-2001,Waikoloa,3,Hard,R32,,63,0,WC,8,Lilia Osterloh,Tagifano Soonalole,6-1 6-4,,,,,,,,,,,,,,
30-Apr-2000,Fed Cup G2 PO: PHI vs POC,3,Hard,RR,,333,1,,,Tagifano Soonalole,Maricris Gentz,6-1 7-6(4),,,,,,,,,,,,,,
29-Apr-2000,Fed Cup G2 RRA: MAS vs POC,3,Hard,RR,,,1,,,Tagifano Soonalole,Chen Yee Liaw,6-1 6-0,,,,,,,,,,,,,,
27-Apr-2000,Fed Cup G2 RRA: IRQ vs POC,3,Hard,RR,,,1,,,Tagifano Soonalole,Salima Esmat Salman,6-0 6-0,,,,,,,,,,,,,,
25-Apr-2000,Fed Cup G2 RRA: POC vs UZB,3,Hard,RR,,150,0,,,Iroda Tulyaganova,Tagifano Soonalole,6-3 6-2,,,,,,,,,,,,,,
25-Feb-1999,Fed Cup G1 RRB: KOR vs POC,3,Hard,RR,,161,0,,,Sung Hee Park,Tagifano Soonalole,6-2 7-6(2),,,,,,,,,,,,,,
24-Feb-1999,Fed Cup G1 RRB: NZL vs POC,3,Hard,RR,,380,0,,,Leanne Baker,Tagifano Soonalole,6-2 6-0,,,,,,,,,,,,,,
23-Feb-1999,Fed Cup G1 RRB: HKG vs POC,3,Hard,RR,,562,0,,,Ka Po Tong,Tagifano Soonalole,6-2 6-3,,,,,,,,,,,,,,
21-Feb-1998,Fed Cup G2 RR: POC vs TJK,3,Hard,RR,,,1,,,Tagifano Soonalole,Youliya Dimitrova,6-2 6-3,,,,,,,,,,,,,,
20-Feb-1998,Fed Cup G2 RR: IND vs POC,3,Hard,RR,,169,0,,,Nirupama Sanjeev,Tagifano Soonalole,6-2 7-5,,,,,,,,,,,,,,
18-Feb-1998,Fed Cup G2 RRB: POC vs SIN,3,Hard,RR,,,1,,,Tagifano Soonalole,Rui Jing Wong,6-1 6-3,,,,,,,,,,,,,,
16-Feb-1998,Fed Cup G2 RRB: POC vs MAS,3,Hard,RR,,387,1,,,Tagifano Soonalole,Chin Bee Khoo,6-3 6-0,,,,,,,,,,,,,,
15-Mar-1997,Fed Cup G2 PO: POC vs MAS,3,Hard,RR,,399,1,,,Tagifano Soonalole,Chin Bee Khoo,6-3 3-6 6-3,,,,,,,,,,,,,,
14-Mar-1997,Fed Cup G2 PO: UZB vs POC,3,Hard,RR,,,1,,,Tagifano Soonalole,Natalia Nikitina,3-6 7-6(3) 6-1,,,,,,,,,,,,,,
13-Mar-1997,Fed Cup G2 RRB: PAK vs POC,3,Hard,RR,,,1,,,Tagifano Soonalole,Nida Waseem,6-4 6-4,,,,,,,,,,,,,,
12-Mar-1997,Fed Cup G2 RRB: PHI vs POC,3,Hard,RR,,,1,,,Tagifano Soonalole,Marisue Jacutin,6-3 7-5,,,,,,,,,,,,,,
11-Mar-1997,Fed Cup G2 RRB: POC vs SYR,3,Hard,RR,,,1,,,Tagifano Soonalole,Sara Taweel,6-2 6-0,,,,,,,,,,,,,,
3-Mar-1997,Blenheim 10K,3,Hard,QF,,154,0,WC,1,Li Ling Chen,Tagifano Soonalole,6-0 6-0,,,,,,,,,,,,,,
3-Mar-1997,Blenheim 10K,3,Hard,R16,,,1,WC,Q,Tagifano Soonalole,Gorana Marsic,6-1 6-4,,,,,,,,,,,,,,
3-Mar-1997,Blenheim 10K,3,Hard,R32,,,1,WC,Q,Tagifano Soonalole,Fleur Broughton,7-5 6-4,,,,,,,,,,,,,,
22-Feb-1996,Fed Cup G2 RRB: POC vs BRU,3,Hard,RR,,,1,,,Tagifano Soonalole,Fiona Keasberry,6-0 6-0,,,,,,,,,,,,,,
22-Feb-1996,Fed Cup G2 RRB: TPE vs POC,3,Hard,RR,,44,0,,,Shi Ting Wang,Tagifano Soonalole,6-1 6-2,,,,,,,,,,,,,,
20-Feb-1996,Fed Cup G2 RRB: UZB vs POC,3,Hard,RR,,,0,,,Lilia Biktyakova,Tagifano Soonalole,6-4 5-7 6-3,,,,,,,,,,,,,,
10-Mar-1995,Fed Cup G2 RRB: IND vs POC,3,Clay,RR,,,0,,,Nirupama Sanjeev,Tagifano Soonalole,6-1 6-1,,,,,,,,,,,,,,
9-Mar-1995,Fed Cup G2 RRB: MAS vs POC,3,Clay,RR,,,0,,,Chin Bee Khoo,Tagifano Soonalole,6-1 1-6 6-2,,,,,,,,,,,,,,
8-Mar-1995,Fed Cup G2 RRB: SRI vs POC,3,Clay,RR,,,0,,,Upeka Wijeratne,Tagifano Soonalole,6-1 7-6(5),,,,,,,,,,,,,,
