Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
20-May-2024,Rabat,3,Clay,R32,64,59,0,,,Nadia Podoroska,Tatjana Maria,6-2 6-4,0.64,3.6%,1.8%,58.2%,53.1%,43.5%,50.0% (4/8),40.9%,32.7%,0.0%,25.0%,53.3%,50.0% (1/2),1:24
6-May-2024,Rome,3,Clay,R64,65,11,0,,10,Daria Kasatkina,Tatjana Maria,7-5 6-1,0.76,4.8%,1.6%,50.8%,43.8%,32.3%,46.7% (7/15),43.0%,47.2%,1.4%,41.2%,61.9%,44.4% (4/9),1:35
6-May-2024,Rome,3,Clay,R128,65,150,1,,Q,Tatjana Maria,Linda Fruhvirtova,7-6(5) 3-6 6-2,1.08,5.3%,2.1%,53.7%,54.9%,45.5%,27.3% (3/11),51.9%,53.3%,0.0%,51.9%,55.6%,81.8% (9/11),2:28
22-Apr-2024,Madrid,3,Clay,R64,67,26,0,,23,Victoria Azarenka,Tatjana Maria,6-3 6-1,0.60,7.5%,1.9%,50.9%,44.4%,30.8%,25.0% (2/8),37.6%,37.5%,3.6%,36.8%,38.9%,28.6% (2/7),1:21
22-Apr-2024,Madrid,3,Clay,R128,67,87,1,,,Tatjana Maria,Peyton Stearns,6-7(4) 6-2 7-6(5),1.09,7.9%,1.8%,57.9%,75.8%,37.5%,55.6% (5/9),51.8%,43.9%,0.0%,48.2%,31.0%,66.7% (6/9),2:45
15-Apr-2024,Stuttgart,3,Clay,R32,66,30,0,WC,,Elise Mertens,Tatjana Maria,6-1 4-6 6-0,0.66,0.0%,1.6%,56.5%,54.3%,29.6%,20.0% (2/10),40.3%,37.1%,3.2%,20.0%,59.3%,50.0% (3/6),1:43
12-Apr-2024,BJK Cup Qualifiers,3,,RR,66,125,1,,,Tatjana Maria,Laura Pigossi,2-6 6-4 6-4,1.08,5.1%,3.8%,60.8%,64.6%,41.9%,25.0% (2/8),51.4%,48.0%,0.0%,42.7%,64.0%,46.2% (6/13),
1-Apr-2024,Bogota,3,Clay,QF,46,85,0,2,6,Camila Osorio,Tatjana Maria,1-6 6-3 6-3,0.92,1.2%,6.0%,54.2%,48.9%,44.7%,46.2% (6/13),47.8%,48.7%,0.0%,39.2%,66.7%,53.8% (7/13),1:49
1-Apr-2024,Bogota,3,Clay,R16,46,111,1,2,,Tatjana Maria,Julia Riera,2-6 6-0 6-2,1.24,1.1%,5.5%,64.8%,55.9%,50.0%,63.6% (7/11),55.3%,57.4%,0.0%,52.6%,63.3%,70.0% (7/10),1:54
1-Apr-2024,Bogota,3,Clay,R32,46,112,1,2,,Tatjana Maria,Anna Bondar,6-3 6-2,1.26,2.6%,5.3%,38.2%,55.2%,59.6%,66.7% (4/6),56.1%,53.2%,6.4%,42.1%,60.7%,71.4% (5/7),1:36
25-Mar-2024,San Luis Potosi 125,3,Clay,R32,48,110,0,1,,Anna Bondar,Tatjana Maria,0-6 7-6(3) 7-5,1.14,0.0%,0.0%,57.7%,69.6%,58.5%,33.3% (1/3),51.4%,39.8%,5.3%,34.9%,46.0%,40.0% (4/10),3:00
