Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
2-Jul-1990,ITF Vaihingen,3,Clay,R32,302,276,0,,,Hana Adamkova Guy,Titia Wilmink,6-1 6-2,,,,,,,,,,,,,,
18-Jun-1990,ITF Madeira,3,Hard,R16,298,478,0,1,,Stephanie Mayorkis,Titia Wilmink,6-4 6-1,,,,,,,,,,,,,,
18-Jun-1990,ITF Madeira,3,Hard,R32,298,484,1,1,,Titia Wilmink,Cora Linneman,6-3 6-2,,,,,,,,,,,,,,
11-Jun-1990,ITF Cascais 2,3,Clay,R32,302,529,0,1,,Jorgelina Moreno,Titia Wilmink,6-3 6-2,,,,,,,,,,,,,,
28-May-1990,French Open,3,Clay,Q1,301,177,0,,,Petra Thoren,Titia Wilmink,6-0 6-3,,,,,,,,,,,,,,
29-Jan-1990,ITF Midland 2,3,Hard,R16,296,322,0,,,Luanne Spadea,Titia Wilmink,0-6 7-5 6-3,,,,,,,,,,,,,,
29-Jan-1990,ITF Midland 2,3,Hard,R32,296,116,1,,2,Titia Wilmink,Rene Collins,3-6 6-1 6-4,,,,,,,,,,,,,,
22-Jan-1990,ITF New Braunfels,3,Hard,R32,292,,0,4,,Julie Mckeon,Titia Wilmink,6-3 6-4,,,,,,,,,,,,,,
15-Jan-1990,ITF Waco,3,Hard,R32,292,375,0,,,Eleni Rossides,Titia Wilmink,7-5 6-3,,,,,,,,,,,,,,
8-Jan-1990,ITF Midland 1,3,Hard,R16,292,480,0,1,,Teresa Dobson,Titia Wilmink,6-3 6-4,,,,,,,,,,,,,,
8-Jan-1990,ITF Midland 1,3,Hard,R32,292,450,1,1,,Titia Wilmink,Lisa Raymond,1-6 7-5 7-6(5),,,,,,,,,,,,,,
13-Nov-1989,ITF Telford,3,Hard,R16,237,253,0,,,Jonna Jonerup,Titia Wilmink,6-3 6-4,,,,,,,,,,,,,,
13-Nov-1989,ITF Telford,3,Hard,R32,237,222,1,,8,Titia Wilmink,Ulrike Priller,6-1 6-1,,,,,,,,,,,,,,
6-Nov-1989,ITF Swindon,3,Carpet,R32,237,224,0,,,Elena Brioukhovets,Titia Wilmink,6-1 6-2,,,,,,,,,,,,,,
9-Oct-1989,ITF Mobile,3,Hard,R32,236,196,0,,4,Maria Ekstrand,Titia Wilmink,6-2 5-7 6-3,,,,,,,,,,,,,,
25-Sep-1989,ITF Chicago,3,Hard,R32,231,177,0,,,Audra Keller,Titia Wilmink,6-2 6-3,,,,,,,,,,,,,,
24-Jul-1989,Schenectady,3,Hard,R64,232,170,0,,,Linda Wild,Titia Wilmink,7-5 6-1,,,,,,,,,,,,,,
17-Jul-1989,ITF Fayettevile,3,Hard,R16,232,,0,2,,Sandra Cacic,Titia Wilmink,6-2 6-1,,,,,,,,,,,,,,
17-Jul-1989,ITF Fayettevile,3,Hard,R32,232,,1,2,,Titia Wilmink,Anne Marie Walson,7-5 7-5,,,,,,,,,,,,,,
3-Jul-1989,ITF Cava Tirreni,3,Clay,QF,238,356,0,,,Hellas Ter Riet,Titia Wilmink,6-3 6-3,,,,,,,,,,,,,,
