Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
14-Sep-2015,Telavi $10K,3,Clay,QF,861,368,0,7,2,Anastasia Pribylova,Valentina Kulikova,6-4 6-2,,,,,,,,,,,,,,
14-Sep-2015,Telavi $10K,3,Clay,R16,861,,1,7,Q,Valentina Kulikova,Arevik Tumanyan,6-3 6-4,,,,,,,,,,,,,,
14-Sep-2015,Telavi $10K,3,Clay,R32,861,,1,7,WC,Valentina Kulikova,Alexandra Vagramov,6-3 4-6 7-5,,,,,,,,,,,,,,
10-Aug-2015,Kazan $10K,3,Clay,R32,828,,0,,Q,Lusine Avanesyan,Valentina Kulikova,6-4 6-2,,,,,,,,,,,,,,
13-Jul-2015,Telavi $10K,3,Clay,R32,,,0,6,Q,Alexandra Dubrovina,Valentina Kulikova,6-0 6-4,,,,,,,,,,,,,,
25-May-2015,Moscow $25K,3,Clay,R32,814,569,0,WC,Q,Maria Marfutina,Valentina Kulikova,6-3 6-1,,,,,,,,,,,,,,
4-May-2015,Antalya $10K,3,Hard,R32,808,,0,,Q,Aki Yamasoto,Valentina Kulikova,6-2 7-5,,,,,,,,,,,,,,
23-Mar-2015,El Kantaoui $10K,3,Hard,R16,836,406,0,,5,Marie Benoit,Valentina Kulikova,6-1 6-0,,,,,,,,,,,,,,
23-Mar-2015,El Kantaoui $10K,3,Hard,R32,836,1106,1,,Q,Valentina Kulikova,Maria Palhoto,6-3 5-7 6-1,,,,,,,,,,,,,,
16-Mar-2015,El Kantaoui $10K,3,Hard,R32,830,696,0,,,Anita Husaric,Valentina Kulikova,6-3 6-4,,,,,,,,,,,,,,
16-Feb-2015,Moscow $25K,3,Hard,R32,853,274,0,WC,,Ema Mikulcic,Valentina Kulikova,6-4 6-4,,,,,,,,,,,,,,
12-Jan-2015,Antalya $10K,3,Clay,R32,853,424,0,,4,Sofia Kvatsabaia,Valentina Kulikova,6-3 6-2,,,,,,,,,,,,,,
