Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
18-May-2015,Bhopal $10K,3,Hard,R32,1046,764,0,,5,Snehadevi S Reddy,Vaniya Dangwal,6-0 6-1,,,,,,,,,,,,,,
11-May-2015,Nashik $10K,3,Clay,R32,1037,777,0,,5,Sri Vaishnavi Peddi Reddy,Vaniya Dangwal,7-5 6-3,,,,,,,,,,,,,,
30-Mar-2015,Dehra Dun $10K,3,Hard,R16,1076,380,0,,1,Melanie Klaffner,Vaniya Dangwal,6-0 6-0,,,,,,,,,,,,,,
30-Mar-2015,Dehra Dun $10K,3,Hard,R32,1076,,1,,Q,Vaniya Dangwal,Kirandeep Kaur Kotade,6-1 6-0,,,,,,,,,,,,,,
9-Feb-2015,Sharm El Sheikh $10K,3,Hard,R32,1039,1112,0,,Q,Federica Prati,Vaniya Dangwal,6-3 6-3,,,,,,,,,,,,,,
2-Feb-2015,Sharm El Sheikh $10K,3,Hard,R32,1031,,0,Q,Q,Sarah Rebecca Sekulic,Vaniya Dangwal,6-0 6-2,,,,,,,,,,,,,,
17-Nov-2014,New Delhi 50K,3,Hard,R32,1149,372,0,LL,,Nicha Lertpitaksinchai,Vaniya Dangwal,6-2 6-1,,,,,,,,,,,,,,
4-Aug-2014,Bangalore 10K,3,Hard,R16,1206,345,0,,1,Prarthana G Thombare,Vaniya Dangwal,6-4 6-1,,,,,,,,,,,,,,
4-Aug-2014,Bangalore 10K,3,Hard,R32,1206,,1,,Q,Vaniya Dangwal,Srishti Slaria,6-1 6-3,,,,,,,,,,,,,,
21-Jul-2014,New Delhi 10K,3,Hard,QF,1271,735,0,WC,6,Katherine Ip,Vaniya Dangwal,4-6 6-2 6-0,,,,,,,,,,,,,,
21-Jul-2014,New Delhi 10K,3,Hard,R16,1271,,1,WC,,Vaniya Dangwal,Abbie Myers,7-6(3) 7-5,,,,,,,,,,,,,,
21-Jul-2014,New Delhi 10K,3,Hard,R32,1271,1127,1,WC,,Vaniya Dangwal,Arantxa Andrady,6-4 6-3,,,,,,,,,,,,,,
7-Apr-2014,Chennai 10K,3,Clay,R32,1197,,0,,,Amrita Mukherjee,Vaniya Dangwal,3-6 6-1 6-4,,,,,,,,,,,,,,
17-Feb-2014,New Delhi 25K,3,Hard,R32,,,0,Q,Q,Sharmada Balu,Vaniya Dangwal,6-2 6-0,,,,,,,,,,,,,,
6-Jan-2014,Aurangabad 10K,3,Clay,R32,1212,513,0,,3,Rishika Sunkara,Vaniya Dangwal,6-1 6-4,,,,,,,,,,,,,,
26-Aug-2013,New Delhi 10K,3,Hard,R32,1133,716,0,WC,,Eetee Maheta,Vaniya Dangwal,6-3 6-2,,,,,,,,,,,,,,
15-Jul-2013,New Delhi 10K,3,Hard,R16,1182,753,0,WC,6,Eetee Maheta,Vaniya Dangwal,4-6 6-2 6-1,,,,,,,,,,,,,,
15-Jul-2013,New Delhi 10K,3,Hard,R32,1182,,1,WC,Q,Vaniya Dangwal,Smriti Joon,6-4 6-2,,,,,,,,,,,,,,
24-Jun-2013,New Delhi 10K,3,Hard,R16,1062,844,0,,8,Natasha Palha,Vaniya Dangwal,6-0 6-2,,,,,,,,,,,,,,
24-Jun-2013,New Delhi 10K,3,Hard,R32,1062,,1,,WC,Vaniya Dangwal,Nehel Sahni,3-6 6-2 7-6(2),,,,,,,,,,,,,,
22-Apr-2013,Lucknow 10K,3,Grass,R32,,,0,,,Bhuvana Kalva,Vaniya Dangwal,6-1 7-5,,,,,,,,,,,,,,
15-Apr-2013,Chennai 10K,3,Clay,R16,,751,0,,6,Natasha Palha,Vaniya Dangwal,6-0 6-2,,,,,,,,,,,,,,
15-Apr-2013,Chennai 10K,3,Clay,R32,,,1,,Q,Vaniya Dangwal,Nandini Gupta,6-1 6-3,,,,,,,,,,,,,,
11-Mar-2013,Hyderabad 10K,3,Hard,R32,,713,0,WC,7,Prarthana G Thombare,Vaniya Dangwal,6-4 6-0,,,,,,,,,,,,,,
1-Oct-2012,Bidar 10K,3,Hard,R16,,675,0,Q,7,Nidhi Chilumula,Vaniya Dangwal,6-3 6-4,,,,,,,,,,,,,,
1-Oct-2012,Bidar 10K,3,Hard,R32,,,1,Q,WC,Vaniya Dangwal,Riya Bhatia,6-2 6-2,,,,,,,,,,,,,,
2-Jul-2012,New Delhi 10K,3,Hard,QF,,681,0,,3,Miyabi Inoue,Vaniya Dangwal,6-2 6-3,,,,,,,,,,,,,,
2-Jul-2012,New Delhi 10K,3,Hard,R16,,,1,,WC,Vaniya Dangwal,Simran Kaur Sethi,6-3 6-2,,,,,,,,,,,,,,
2-Jul-2012,New Delhi 10K,3,Hard,R32,,744,1,,5,Vaniya Dangwal,Nidhi Chilumula,6-3 6-1,,,,,,,,,,,,,,
18-Jun-2012,New Delhi 10K,3,Hard,R32,,755,0,,5,Rishika Sunkara,Vaniya Dangwal,6-0 6-2,,,,,,,,,,,,,,
21-May-2012,New Delhi 10K,3,Hard,R32,,961,0,,5,Rishika Sunkara,Vaniya Dangwal,6-2 7-5,,,,,,,,,,,,,,
5-Mar-2012,Aurangabad 10K,3,Clay,R32,,,0,WC,Q,Adnya Naik,Vaniya Dangwal,2-6 6-2 6-2,,,,,,,,,,,,,,
13-Jun-2011,New Delhi 10K,3,Hard,R32,,833,0,WC,7,Ankita Raina,Vaniya Dangwal,6-4 6-3,,,,,,,,,,,,,,
2-May-2011,Hyderabad 10K,3,Hard,R32,,,0,Q,,Zainab Ali Sajjad,Vaniya Dangwal,6-4 6-3,,,,,,,,,,,,,,
