Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
12-Mar-1993,Key Biscayne,3,Hard,Q1,225,124,0,,1,Clare Wood,Viktoria Milvidskaia,0-2 RET,,,,,,,,,,,,,,
15-Feb-1993,Oklahoma,3,Hard,Q1,208,303,0,3,,Maria Ekstrand,Viktoria Milvidskaia,7-6(2) 4-6 6-1,,,,,,,,,,,,,,
11-Jan-1993,ITF Coburg,3,Carpet,R16,196,,0,2,,Gabriela Mach,Viktoria Milvidskaia,6-4 1-6 6-2,,,,,,,,,,,,,,
11-Jan-1993,ITF Coburg,3,Carpet,R32,196,,1,2,,Viktoria Milvidskaia,Sandra Waechtershauser,1-1 RET,,,,,,,,,,,,,,
23-Nov-1992,ITF Ramat Hasharon 2,3,Hard,R32,182,331,0,3,,Rikki Gaddie,Viktoria Milvidskaia,6-3 5-7 7-6(1),,,,,,,,,,,,,,
12-Oct-1992,Filderstadt,3,Hard,Q1,182,185,0,,,Nathalie Herreman,Viktoria Milvidskaia,6-3 6-3,,,,,,,,,,,,,,
31-Aug-1992,US Open,5,Hard,R64,213,111,0,Q,WC,Caroline Kuhlman,Viktoria Milvidskaia,7-5 6-7(4) 6-2,,,,,,,,,,,,,,
31-Aug-1992,US Open,5,Hard,R128,213,74,1,Q,,Viktoria Milvidskaia,Tami Whitlinger Jones,6-4 6-1,,,,,,,,,,,,,,
31-Aug-1992,US Open,5,Hard,Q3,213,181,1,,,Viktoria Milvidskaia,Claire Wegink,6-2 6-4,,,,,,,,,,,,,,
31-Aug-1992,US Open,5,Hard,Q2,213,113,1,,13,Viktoria Milvidskaia,Sandra Wasserman,6-3 6-3,,,,,,,,,,,,,,
31-Aug-1992,US Open,5,Hard,Q1,213,215,1,,,Viktoria Milvidskaia,Claudine Toleafoa,7-6(5) 2-6 6-1,,,,,,,,,,,,,,
24-Aug-1992,Schenectady,3,Hard,Q1,202,,0,,,Elna Reinach,Viktoria Milvidskaia,6-3 2-6 7-5,,,,,,,,,,,,,,
10-Aug-1992,ITF Sopot,3,Clay,R16,198,343,0,3,,Maria Strandlund Tomsvik,Viktoria Milvidskaia,6-2 6-4,,,,,,,,,,,,,,
10-Aug-1992,ITF Sopot,3,Clay,R32,198,648,1,3,,Viktoria Milvidskaia,Katarzyna Malec,6-0 6-2,,,,,,,,,,,,,,
6-Jul-1992,Kitzbuhel,3,Clay,R32,194,41,0,Q,6,Sandra Cecchini,Viktoria Milvidskaia,6-1 6-2,,,,,,,,,,,,,,
6-Jul-1992,Kitzbuhel,3,Clay,Q3,194,231,1,4,6,Viktoria Milvidskaia,Neus Avila Bonastre,6-1 7-6(4),,,,,,,,,,,,,,
6-Jul-1992,Kitzbuhel,3,Clay,Q2,194,,1,4,,Viktoria Milvidskaia,Nina Murn,6-0 0-3(0) 0-6,,,,,,,,,,,,,,
6-Jul-1992,Kitzbuhel,3,Clay,Q1,194,269,1,4,,Viktoria Milvidskaia,Carin Bakkum,6-4 7-5,,,,,,,,,,,,,,
22-Jun-1992,Wimbledon,5,Grass,Q2,199,159,0,,15,Maria Strandlund Tomsvik,Viktoria Milvidskaia,7-6(4) 7-6(5),,,,,,,,,,,,,,
22-Jun-1992,Wimbledon,5,Grass,Q1,199,438,1,,WC,Viktoria Milvidskaia,Barbara Griffiths,2-6 6-4 6-2,,,,,,,,,,,,,,
13-Apr-1992,ITF Salerno 1,3,Hard,R32,203,168,0,,,Maja Zivec Skulj,Viktoria Milvidskaia,7-6 6-2,,,,,,,,,,,,,,
13-Mar-1992,Key Biscayne,3,Hard,Q2,213,176,0,,15,Cristina Salvi,Viktoria Milvidskaia,6-4 6-1,,,,,,,,,,,,,,
13-Mar-1992,Key Biscayne,3,Hard,Q1,213,185,1,,,Viktoria Milvidskaia,Nicole Arendt,3-6 6-1 6-1,,,,,,,,,,,,,,
24-Feb-1992,Indian Wells,3,Hard,R32,205,208,0,LL,,Kathy Rinaldi Stunkel,Viktoria Milvidskaia,6-4 7-5,,,,,,,,,,,,,,
24-Feb-1992,Indian Wells,3,Hard,Q2,205,219,0,8,,Jolene Watanabe,Viktoria Milvidskaia,6-4 7-5,,,,,,,,,,,,,,
24-Feb-1992,Indian Wells,3,Hard,Q1,205,,1,8,,Viktoria Milvidskaia,Sylvia Schenck,6-3 6-1,,,,,,,,,,,,,,
17-Feb-1992,Oklahoma,3,Hard,Q3,201,136,0,8,2,Beverly Bowes,Viktoria Milvidskaia,6-2 6-4,,,,,,,,,,,,,,
17-Feb-1992,Oklahoma,3,Hard,Q2,201,263,1,8,,Viktoria Milvidskaia,Rachel Ann Jensen,7-5 6-3,,,,,,,,,,,,,,
17-Feb-1992,Oklahoma,3,Hard,Q1,201,445,1,8,,Viktoria Milvidskaia,Jennifer Goodling,6-3 6-2,,,,,,,,,,,,,,
3-Feb-1992,Essen,3,Carpet,R32,220,76,0,Q,,Pascale Paradis Mangon,Viktoria Milvidskaia,6-0 5-7 6-3,,,,,,,,,,,,,,
3-Feb-1992,Essen,3,Carpet,Q3,220,171,1,,8,Viktoria Milvidskaia,Agnes Zugasti,6-4 6-7(4) 6-1,,,,,,,,,,,,,,
3-Feb-1992,Essen,3,Carpet,Q2,220,195,1,,,Viktoria Milvidskaia,Monique Kiene,7-6(1) 6-3,,,,,,,,,,,,,,
3-Feb-1992,Essen,3,Carpet,Q1,220,284,1,,,Viktoria Milvidskaia,Kirstin Freye,6-4 6-1,,,,,,,,,,,,,,
2-Dec-1991,ITF Le Havre,3,Clay,R16,227,200,0,,,Francesca Romano,Viktoria Milvidskaia,2-6 6-3 6-2,,,,,,,,,,,,,,
2-Dec-1991,ITF Le Havre,3,Clay,R32,227,105,1,,1,Viktoria Milvidskaia,Eugenia Maniokova,7-5 6-3,,,,,,,,,,,,,,
22-Oct-1991,Brighton,3,Carpet,Q1,210,134,0,,7,Katarzyna Nowak,Viktoria Milvidskaia,2-6 6-3 6-1,,,,,,,,,,,,,,
30-Sep-1991,Leipzig,3,Carpet,R32,226,115,0,Q,,Marketa Kochta,Viktoria Milvidskaia,6-4 6-4,,,,,,,,,,,,,,
30-Sep-1991,Leipzig,3,Carpet,Q3,226,,1,,,Viktoria Milvidskaia,Andrea Mueller,6-4 6-2,,,,,,,,,,,,,,
30-Sep-1991,Leipzig,3,Carpet,Q2,226,132,1,,5,Viktoria Milvidskaia,Radka Bobkova,6-1 6-4,,,,,,,,,,,,,,
30-Sep-1991,Leipzig,3,Carpet,Q1,226,306,1,,,Viktoria Milvidskaia,Heike Thoms,7-5 7-6(6),,,,,,,,,,,,,,
23-Sep-1991,St. Petersburg,3,Carpet,Q2,220,,0,4,,Julia Liutrova,Viktoria Milvidskaia,7-5 6-7(5) 6-4,,,,,,,,,,,,,,
23-Sep-1991,St. Petersburg,3,Carpet,Q1,220,,1,4,,Viktoria Milvidskaia,Una Bushevitsa,2-6 6-4 6-1,,,,,,,,,,,,,,
19-Aug-1991,ITF Spoleto,3,Clay,R32,237,227,0,,,Heidi Sprung,Viktoria Milvidskaia,7-5 4-6 6-2,,,,,,,,,,,,,,
12-Aug-1991,ITF Pisticci,3,Hard,SF,238,153,0,8,3,Katarzyna Nowak,Viktoria Milvidskaia,6-2 6-3,,,,,,,,,,,,,,
