Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
12-Sep-2011,Tbilisi 10K,3,Clay,R32,829,663,0,,6,Ani Amiraghyan,Viktoria Yemialyanava,6-2 7-5,,,,,,,,,,,,,,
15-Aug-2011,StPetersburg 10K,3,Clay,R32,811,,0,,Q,Alena Tarasova,Viktoria Yemialyanava,6-0 4-6 6-4,,,,,,,,,,,,,,
25-Apr-2011,Karshi 25K,3,Hard,R32,621,483,0,Q,,Aminat Kushkhova,Viktoria Yemialyanava,6-1 6-0,,,,,,,,,,,,,,
18-Apr-2011,Karshi 10K,3,Hard,R32,622,588,0,,,Kanae Hisami,Viktoria Yemialyanava,7-5 6-0,,,,,,,,,,,,,,
21-Mar-2011,Namangan 25K,3,Hard,R32,543,555,0,,,Nigina Abduraimova,Viktoria Yemialyanava,6-1 6-7(3) 7-6(5),,,,,,,,,,,,,,
17-Jan-2011,Tallinn 10K,3,Hard,R32,539,937,0,5,Q,Katharina Negrin,Viktoria Yemialyanava,4-6 6-1 6-0,,,,,,,,,,,,,,
6-Dec-2010,Dubai 10K,3,Hard,R32,531,284,0,,4,Elena Chalova,Viktoria Yemialyanava,4-6 6-1 6-1,,,,,,,,,,,,,,
8-Nov-2010,Minsk 25K,3,Hard,R32,526,317,0,WC,,Yuliya Kalabina,Viktoria Yemialyanava,6-1 4-6 6-3,,,,,,,,,,,,,,
1-Nov-2010,Minsk 10K,3,Carpet,R32,516,1070,0,6,Q,Maya Gaverova,Viktoria Yemialyanava,4-6 6-4 6-2,,,,,,,,,,,,,,
11-Oct-2010,Kharkiv 25K,3,Carpet,R32,521,,0,,Q,Valeriya Boyanovska,Viktoria Yemialyanava,6-4 6-2,,,,,,,,,,,,,,
27-Sep-2010,Tbilisi 25K,3,Clay,R32,595,360,0,Q,,Julia Glushko,Viktoria Yemialyanava,6-3 6-1,,,,,,,,,,,,,,
20-Sep-2010,Telavi 25K,3,Clay,QF,597,252,0,Q,3,Irina Buryachok,Viktoria Yemialyanava,6-1 6-1,,,,,,,,,,,,,,
20-Sep-2010,Telavi 25K,3,Clay,R16,597,398,1,Q,,Viktoria Yemialyanava,Sofia Kvatsabaia,6-3 3-6 6-4,,,,,,,,,,,,,,
20-Sep-2010,Telavi 25K,3,Clay,R32,597,,1,Q,WC,Viktoria Yemialyanava,Diana Davitaia,6-2 7-6(4),,,,,,,,,,,,,,
16-Aug-2010,St Petersburg 10K,3,Clay,R32,552,778,0,8,,Alexandra Artamonova,Viktoria Yemialyanava,7-6(3) 6-2,,,,,,,,,,,,,,
2-Aug-2010,Moscow 25K,3,Clay,R16,642,277,0,,4,Oxana Lyubtsova,Viktoria Yemialyanava,6-4 6-0,,,,,,,,,,,,,,
2-Aug-2010,Moscow 25K,3,Clay,R32,642,963,1,,WC,Viktoria Yemialyanava,Alexandra Romanova,2-6 7-5 7-5,,,,,,,,,,,,,,
26-Jul-2010,Almaty 25K,3,Hard,R16,633,273,0,,1,Zarina Diyas,Viktoria Yemialyanava,6-2 6-0,,,,,,,,,,,,,,
26-Jul-2010,Almaty 25K,3,Hard,R32,633,,1,,Q,Viktoria Yemialyanava,Aneliya Kairlenova,6-4 7-5,,,,,,,,,,,,,,
