Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
24-Jun-1968,Wimbledon,5,Grass,Q1,,,0,,,Marilyn Aschner,Vivienne Dennis,6-1 6-2,,,,,,,,,,,,,,
27-May-1968,Surbiton,3,Grass,R64,,,0,,,Peaches Bartkowicz,Vivienne Dennis,6-2 6-0,,,,,,,,,,,,,,
5-Jun-1967,Barnes,3,Grass,R64,,,0,,,Mrs Fyfe,Vivienne Dennis,6-1 6-1,,,,,,,,,,,,,,
2-Aug-1966,Evian,3,,F,,,0,,,Fay Toyne,Vivienne Dennis,6-3 6-2,,,,,,,,,,,,,,
27-Jun-1966,Wimbledon Plate,3,Grass,R16,,,0,,,Sue Behlmar,Vivienne Dennis,6-4 6-2,,,,,,,,,,,,,,
27-Jun-1966,Wimbledon Plate,3,Grass,R32,,,1,,,Vivienne Dennis,Lorraine Bellamy,6-2 8-6,,,,,,,,,,,,,,
20-Jun-1966,Wimbledon,5,Grass,R128,,,0,,6,Annette Van Zyl,Vivienne Dennis,6-1 6-0,,,,,,,,,,,,,,
29-May-1966,Manchester,3,Grass,R16,,,0,,,Billie Jean King,Vivienne Dennis,6-1 6-2,,,,,,,,,,,,,,
29-May-1966,Manchester,3,Grass,R32,,,1,,,Vivienne Dennis,Delaille Hewitt,6-0 6-2,,,,,,,,,,,,,,
5-May-1966,Stuttgart,3,Clay,QF,,,1,,,Vivienne Dennis,Chantal Langanay,4-6 6-1 6-2,,,,,,,,,,,,,,
25-Apr-1966,Hurlingham,3,Clay,R64,,,0,,,Robin Lloyd,Vivienne Dennis,6-3 6-1,,,,,,,,,,,,,,
18-Apr-1966,Bournemouth,3,Clay,R64,,,0,,,Robin Lloyd,Vivienne Dennis,6-1 6-3,,,,,,,,,,,,,,
11-Apr-1966,Chingford,3,Clay,QF,,,0,,,Nell Truman,Vivienne Dennis,6-1 6-1,,,,,,,,,,,,,,
11-Apr-1966,Chingford,3,Clay,R16,,,1,,,Vivienne Dennis,Carole Rosser,6-4 6-3,,,,,,,,,,,,,,
11-Apr-1966,Chingford,3,Clay,R32,,,1,,,Vivienne Dennis,S Jones,6-1 6-2,,,,,,,,,,,,,,
4-Apr-1966,Hampstead,3,Clay,R32,,,0,,,Joyce Williams,Vivienne Dennis,6-2 6-2,,,,,,,,,,,,,,
4-Apr-1966,Hampstead,3,Clay,R32,,,1,,,Vivienne Dennis,Lindsey Beaven,6-3 6-4,,,,,,,,,,,,,,
4-Apr-1966,Hampstead,3,Clay,R64,,,1,,,Vivienne Dennis,J E Lee,6-0 6-0,,,,,,,,,,,,,,
11-Oct-1965,London,3,Carpet,R16,,,0,,,Carole Rosser,Vivienne Dennis,6-0 6-4,,,,,,,,,,,,,,
20-Sep-1965,Estoril 2,3,Clay,F,,,0,,,Mary Habicht,Vivienne Dennis,3-6 6-4 7-5,,,,,,,,,,,,,,
11-Aug-1965,Kitzbuhel,3,Clay,R16,,,0,,,Annette Van Zyl,Vivienne Dennis,6-2 6-2,,,,,,,,,,,,,,
12-Jul-1965,Frinton-On-Sea,3,Grass,R16,,,0,,,Trish Mcclenaughan,Vivienne Dennis,6-0 8-6,,,,,,,,,,,,,,
12-Jul-1965,Frinton-On-Sea,3,Grass,R32,,,1,,,Vivienne Dennis,S Porter,6-1 7-5,,,,,,,,,,,,,,
5-Jul-1965,Felixstowe,3,Grass,QF,,,0,,,Rita Bentley,Vivienne Dennis,6-2 6-2,,,,,,,,,,,,,,
5-Jul-1965,Felixstowe,3,Grass,R16,,,1,,,Vivienne Dennis,Mary Mcanally,6-4 4-6 6-4,,,,,,,,,,,,,,
28-Jun-1965,Wimbledon Plate,3,Grass,R32,,,0,,,Gail Sherriff,Vivienne Dennis,W/O,,,,,,,,,,,,,,
22-Jun-1965,Wimbledon,5,Grass,R128,,,0,,,Jill Blackman,Vivienne Dennis,6-2 6-1,,,,,,,,,,,,,,
31-May-1965,Havant,3,Grass,SF,,,0,,,Mary Mcanally,Vivienne Dennis,W/O,,,,,,,,,,,,,,
31-May-1965,Havant,3,Grass,QF,,,1,,,Vivienne Dennis,Pamela Brand,6-4 6-3,,,,,,,,,,,,,,
24-May-1965,Surbiton,3,Grass,R32,,,0,,,Tory Ann Fretz,Vivienne Dennis,6-1 6-1,,,,,,,,,,,,,,
24-May-1965,Surbiton,3,Grass,R64,,,1,,,Vivienne Dennis,P Ocarroll,6-4 8-6,,,,,,,,,,,,,,
17-May-1965,Roland Garros,5,Clay,R128,,,0,,,Christiane Spinoza,Vivienne Dennis,6-3 6-4,,,,,,,,,,,,,,
26-Apr-1965,Hurlingham,3,Clay,R32,,,0,,,Judy Tegart,Vivienne Dennis,6-3 6-4,,,,,,,,,,,,,,
26-Apr-1965,Hurlingham,3,Clay,R64,,,1,,,Vivienne Dennis,Sheila Washbourne,6-0 6-0,,,,,,,,,,,,,,
19-Apr-1965,Bournemouth,3,Clay,R64,,,0,,,Pamela Brand,Vivienne Dennis,5-7 6-4 7-5,,,,,,,,,,,,,,
12-Apr-1965,Chingford,3,Clay,QF,,,0,,,Rita Bentley,Vivienne Dennis,6-3 7-5,,,,,,,,,,,,,,
12-Apr-1965,Chingford,3,Clay,R16,,,1,,,Vivienne Dennis,Alex Cowie,6-4 6-3,,,,,,,,,,,,,,
12-Apr-1965,Chingford,3,Clay,R32,,,1,,,Vivienne Dennis,Mrs A P Radford,6-2 6-2,,,,,,,,,,,,,,
5-Apr-1965,Hampstead,3,Clay,R16,,,0,,,Winnie Shaw,Vivienne Dennis,6-1 6-3,,,,,,,,,,,,,,
5-Apr-1965,Hampstead,3,Clay,R64,,,1,,,Vivienne Dennis,Penny Spencer,6-0 7-5,,,,,,,,,,,,,,
8-Mar-1965,Cannes Carlton,3,Clay,QF,,,0,,,Robin Lloyd,Vivienne Dennis,6-2 6-1,,,,,,,,,,,,,,
1-Mar-1965,Juan-Les-Pins,3,Clay,QF,,,0,,,Mary Habicht,Vivienne Dennis,7-5 6-4,,,,,,,,,,,,,,
1-Mar-1965,Juan-Les-Pins,3,Clay,R16,,,1,,,Vivienne Dennis,Ingrid Loeys,13-11 6-1,,,,,,,,,,,,,,
22-Feb-1965,Cannes Gallia,3,Clay,SF,,,0,,,Jacqueline Rees Lewis,Vivienne Dennis,6-2 6-0,,,,,,,,,,,,,,
15-Feb-1965,Cannes Montfleury,3,Clay,SF,,,0,,,Jacqueline Rees Lewis,Vivienne Dennis,6-2 6-4,,,,,,,,,,,,,,
15-Feb-1965,Cannes Montfleury,3,Clay,QF,,,1,,,Vivienne Dennis,Winnie Shaw,6-8 10-8 7-5,,,,,,,,,,,,,,
8-Feb-1965,Monte Carlo,3,Clay,F,,,1,,,Vivienne Dennis,Georgina Bush,6-1 6-2,,,,,,,,,,,,,,
2-Feb-1965,Nice Lawn Club,3,Clay,SF,,,0,,,Jacqueline Rees Lewis,Vivienne Dennis,6-1 6-2,,,,,,,,,,,,,,
2-Feb-1965,Nice Lawn Club,3,Clay,QF,,,1,,,Vivienne Dennis,Mary Mcanally,7-5 4-6 7-5,,,,,,,,,,,,,,
12-Oct-1964,London,3,Carpet,R16,,,0,,,Fay Toyne,Vivienne Dennis,6-1 6-1,,,,,,,,,,,,,,
12-Oct-1964,London,3,Carpet,R32,,,1,,,Vivienne Dennis,Wendy Hall,6-4 6-4,,,,,,,,,,,,,,
7-Sep-1964,Eastbourne,3,Grass,QF,,,0,,,Fay Toyne,Vivienne Dennis,6-2 6-3,,,,,,,,,,,,,,
31-Aug-1964,Exmouth,3,,QF,,,0,,,Fay Toyne,Vivienne Dennis,7-5 3-6 6-1,,,,,,,,,,,,,,
3-Aug-1964,Weybridge,3,Grass,SF,,,0,,,Mary Mcanally,Vivienne Dennis,6-1 6-4,,,,,,,,,,,,,,
3-Aug-1964,Weybridge,3,Grass,QF,,,1,,,Vivienne Dennis,Mrs Wilson,6-3 6-4,,,,,,,,,,,,,,
6-Jul-1964,Edgbaston,3,Grass,R32,,,0,,,Hazel Cheadle,Vivienne Dennis,6-0 2-6 6-3,,,,,,,,,,,,,,
29-Jun-1964,Wimbledon Plate,3,Grass,R16,,,0,,,Trish Mcclenaughan,Vivienne Dennis,6-2 6-4,,,,,,,,,,,,,,
29-Jun-1964,Wimbledon Plate,3,Grass,R32,,,1,,,Vivienne Dennis,Linda Lou Crosby,7-5 6-2,,,,,,,,,,,,,,
22-Jun-1964,Wimbledon,5,Grass,R64,,,0,,,Glenda Swan,Vivienne Dennis,6-2 7-5,,,,,,,,,,,,,,
22-Jun-1964,Wimbledon,5,Grass,R128,,,1,,,Vivienne Dennis,Zsuzsa Kormoczy,1-0 RET,,,,,,,,,,,,,,
8-Jun-1964,Beckenham,3,Grass,R64,,,0,,,Vicky Palmer,Vivienne Dennis,6-4 6-2,,,,,,,,,,,,,,
1-Jun-1964,Barnes,3,Grass,R16,,,0,,,Lorna Cornell,Vivienne Dennis,6-0 6-1,,,,,,,,,,,,,,
1-Jun-1964,Barnes,3,Grass,R32,,,1,,,Vivienne Dennis,M Bull,4-6 6-4 6-4,,,,,,,,,,,,,,
25-May-1964,Surbiton,3,Grass,R64,,,0,,,Lorna Cornell,Vivienne Dennis,7-5 6-3,,,,,,,,,,,,,,
27-Apr-1964,Hurlingham,3,Clay,R64,,,0,,,Elizabeth Ernest,Vivienne Dennis,1-6 6-4 6-2,,,,,,,,,,,,,,
20-Apr-1964,Bournemouth,3,Clay,R32,,,0,,,Helga Schultze,Vivienne Dennis,7-5 6-3,,,,,,,,,,,,,,
20-Apr-1964,Bournemouth,3,Clay,R64,,,1,,,Vivienne Dennis,Alison Rigby,7-5 6-3,,,,,,,,,,,,,,
13-Apr-1964,Sutton,3,Clay,R16,,,0,,,Margaret Cooper,Vivienne Dennis,6-0 6-2,,,,,,,,,,,,,,
13-Apr-1964,Sutton,3,Clay,R32,,,1,,,Vivienne Dennis,C T Harris,6-4 7-5,,,,,,,,,,,,,,
6-Apr-1964,Hampstead,3,Clay,R64,,,0,,,Heather Allen,Vivienne Dennis,6-0 6-3,,,,,,,,,,,,,,
16-Mar-1964,Alexandria,3,Clay,R16,,,0,,,Mary Habicht,Vivienne Dennis,6-3 6-0,,,,,,,,,,,,,,
6-Mar-1964,Cairo,3,Clay,R16,,,0,,,Vicky Berner,Vivienne Dennis,6-4 6-4,,,,,,,,,,,,,,
4-Nov-1963,Torquay,3,Carpet,R16,,,0,,,Marilyn Greenwood,Vivienne Dennis,2-6 6-4 6-3,,,,,,,,,,,,,,
4-Nov-1963,Torquay,3,Carpet,R16,,,1,,,Vivienne Dennis,Penny Spencer,6-3 5-7 6-3,,,,,,,,,,,,,,
30-Oct-1963,St. Austell,3,Carpet,QF,,,0,,,Ann Jones,Vivienne Dennis,6-0 6-0,,,,,,,,,,,,,,
30-Oct-1963,St. Austell,3,Carpet,R16,,,1,,,Vivienne Dennis,Pam Watermeyer,10-8 6-2,,,,,,,,,,,,,,
30-Oct-1963,St. Austell,3,Carpet,R32,,,1,,,Vivienne Dennis,Mrs B M Grime,6-4 6-2,,,,,,,,,,,,,,
21-Oct-1963,London,3,Carpet,R16,,,0,,,Deidre Catt,Vivienne Dennis,6-2 6-4,,,,,,,,,,,,,,
21-Oct-1963,London,3,Carpet,R32,,,1,,,Vivienne Dennis,Mrs W N Shearing,6-2 6-4,,,,,,,,,,,,,,
9-Sep-1963,Eastbourne,3,Grass,F,,,1,,,Vivienne Dennis,Heather Allen,6-3 2-6 7-5,,,,,,,,,,,,,,
9-Sep-1963,Eastbourne,3,Grass,SF,,,1,,,Vivienne Dennis,Carole Rosser,4-6 12-10 7-5,,,,,,,,,,,,,,
9-Sep-1963,Eastbourne,3,Grass,QF,,,1,,,Vivienne Dennis,Nell Truman,6-4 9-11 6-2,,,,,,,,,,,,,,
2-Sep-1963,Lee-on-Solent,3,Clay,F,,,0,,,Marilyn Greenwood,Vivienne Dennis,6-2 6-2,,,,,,,,,,,,,,
2-Sep-1963,Lee-on-Solent,3,Clay,SF,,,1,,,Vivienne Dennis,Alison Rigby,6-4 6-3,,,,,,,,,,,,,,
2-Sep-1963,Lee-on-Solent,3,Clay,QF,,,1,,,Vivienne Dennis,W Reeves,6-2 6-1,,,,,,,,,,,,,,
19-Aug-1963,Exmouth,3,Grass,QF,,,0,,,Robin Lloyd,Vivienne Dennis,6-2 6-0,,,,,,,,,,,,,,
5-Aug-1963,Llanelly,3,Grass,F,,,0,,,Judy Tee,Vivienne Dennis,6-2 3-6 6-2,,,,,,,,,,,,,,
29-Jul-1963,Tunbridge Wells,3,Grass,F,,,0,,,Virginia Wade,Vivienne Dennis,6-3 14-12,,,,,,,,,,,,,,
29-Jul-1963,Tunbridge Wells,3,Grass,R16,,,1,,,Vivienne Dennis,M J Lazell,6-2 6-0,,,,,,,,,,,,,,
29-Jul-1963,Tunbridge Wells,3,Grass,R32,,,1,,,Vivienne Dennis,V J Smith,6-1 6-2,,,,,,,,,,,,,,
15-Jul-1963,Newport Wales,3,Grass,QF,,,0,,,Lorna Cornell,Vivienne Dennis,6-2 7-5,,,,,,,,,,,,,,
15-Jul-1963,Newport Wales,3,Grass,R16,,,1,,,Vivienne Dennis,Elizabeth Ernest,6-0 6-1,,,,,,,,,,,,,,
15-Jul-1963,Newport Wales,3,Grass,R32,,,1,,,Vivienne Dennis,P Bowyer,6-4 5-7 6-1,,,,,,,,,,,,,,
8-Jul-1963,Edgbaston,3,Grass,R16,,,0,,,Ann Jones,Vivienne Dennis,6-2 6-1,,,,,,,,,,,,,,
26-Jun-1963,Wimbledon,5,Grass,Q3,,,0,,,Katarina Bartholdson,Vivienne Dennis,6-4 6-2,,,,,,,,,,,,,,
10-Jun-1963,Beckenham,3,Grass,R32,,,0,,,Lesley Turner,Vivienne Dennis,6-2 6-2,,,,,,,,,,,,,,
3-Jun-1963,Havant,3,Grass,SF,,,0,,,Jacqueline Rees Lewis,Vivienne Dennis,6-1 6-1,,,,,,,,,,,,,,
3-Jun-1963,Havant,3,Grass,QF,,,1,,,Vivienne Dennis,Mrs Black,6-0 6-4,,,,,,,,,,,,,,
