Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
19-Oct-1992,ITF San Luis Potosi,3,Hard,Q1,,,0,7,,Jean Ceniza,Wendy Martinez,6-3 6-1,,,,,,,,,,,,,,
24-Aug-1992,ITF Queretaro,3,Hard,R32,,473,0,,4,Isabela Petrov,Wendy Martinez,6-1 6-4,,,,,,,,,,,,,,
17-Aug-1992,ITF Cuernavaca,3,Hard,R32,,323,0,,1,Carole Lucarelli,Wendy Martinez,6-3 6-0,,,,,,,,,,,,,,
17-Feb-1992,ITF Montechoro,3,Hard,R32,,550,0,,5,Svetlana Krivencheva,Wendy Martinez,6-0 6-2,,,,,,,,,,,,,,
10-Feb-1992,ITF Carvoeiro,3,Hard,R32,,,0,,,Emmanuelle Gagliardi,Wendy Martinez,6-1 6-0,,,,,,,,,,,,,,
2-Dec-1991,ITF San Luis Potosi 2,3,Hard,R32,,548,0,,5,Gianfranca Devercelli,Wendy Martinez,6-2 6-0,,,,,,,,,,,,,,
28-Oct-1991,ITF Kingston,3,Hard,R32,,,0,,,Gemma Magin,Wendy Martinez,6-0 6-1,,,,,,,,,,,,,,
21-Oct-1991,ITF Freeport,3,Hard,R32,,,0,,,Stacey Jellen,Wendy Martinez,6-1 3-6 6-3,,,,,,,,,,,,,,
11-Feb-1991,ITF Key Biscayne 1,3,Hard,Q1,,315,0,,2,Jessica Emmons,Wendy Martinez,6-0 6-2,,,,,,,,,,,,,,
26-Jun-1989,ITF Guadalajara,3,Clay,R32,,,0,,,Sofie Albinus,Wendy Martinez,6-3 6-4,,,,,,,,,,,,,,
