Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
13-Feb-2006,Bangalore,3,Hard,Q1,217,211,0,,,Alla Kudryavtseva,Wynne Prakusya,7-5 7-6(3),,,,,,,,,,,,,,
6-Feb-2006,Pattaya,3,Hard,Q2,219,129,0,WC,,Su Wei Hsieh,Wynne Prakusya,7-5 6-3,,,,,,,,,,,,,,
6-Feb-2006,Pattaya,3,Hard,Q1,219,508,1,WC,WC,Wynne Prakusya,Nudnida Luangnam,6-4 7-6(3),,,,,,,,,,,,,,
7-Nov-2005,Jakarta 25K,3,Hard,F,277,310,1,5,7,Wynne Prakusya,Chia Jung Chuang,6-4 4-6 6-1,,,,,,,,,,,,,,
7-Nov-2005,Jakarta 25K,3,Hard,SF,277,301,1,5,6,Wynne Prakusya,Montinee Tangphong,6-0 6-4,,,,,,,,,,,,,,
7-Nov-2005,Jakarta 25K,3,Hard,QF,277,175,1,5,1,Wynne Prakusya,Ryoko Fuda,4-6 7-6(4) 6-2,,,,,,,,,,,,,,
7-Nov-2005,Jakarta 25K,3,Hard,R16,277,512,1,5,,Wynne Prakusya,I Hsuan Hwang,6-4 6-4,,,,,,,,,,,,,,
7-Nov-2005,Jakarta 25K,3,Hard,R32,277,,1,5,WC,Wynne Prakusya,Maya Rosa,6-2 6-2,,,,,,,,,,,,,,
31-Oct-2005,Busan 50K,3,Hard,R16,290,192,0,,5,Seiko Okamoto,Wynne Prakusya,7-6(3) 6-2,,,,,,,,,,,,,,
31-Oct-2005,Busan 50K,3,Hard,R32,290,331,1,,,Wynne Prakusya,Ayami Takase,6-2 3-6 6-1,,,,,,,,,,,,,,
10-Oct-2005,Bangkok,3,Hard,Q1,287,183,0,,,Ryoko Fuda,Wynne Prakusya,7-6(3) 6-2,,,,,,,,,,,,,,
3-Oct-2005,Tashkent,3,Hard,R32,299,136,0,Q,,Barbora Zahlavova Strycova,Wynne Prakusya,4-6 6-3 6-2,,,,,,,,,,,,,,
3-Oct-2005,Tashkent,3,Hard,Q2,299,191,1,7,3,Wynne Prakusya,Agnes Szavay,6-4 6-2,,,,,,,,,,,,,,
3-Oct-2005,Tashkent,3,Hard,Q1,299,889,1,7,,Wynne Prakusya,Ksenia Palkina,6-0 3-6 6-3,,,,,,,,,,,,,,
12-Sep-2005,Bali,3,Hard,R32,290,168,0,WC,Q,Zi Yan,Wynne Prakusya,6-2 7-5,,,,,,,,,,,,,,
15-Aug-2005,Nanjing 2 25K,3,Hard,SF,364,326,0,,,Miho Saeki,Wynne Prakusya,6-4 7-6(8),,,,,,,,,,,,,,
15-Aug-2005,Nanjing 2 25K,3,Hard,QF,364,563,1,,Q,Wynne Prakusya,Wan Ting Liu,6-1 7-6(4),,,,,,,,,,,,,,
15-Aug-2005,Nanjing 2 25K,3,Hard,R16,364,329,1,,,Wynne Prakusya,Yurika Sema,6-2 6-3,,,,,,,,,,,,,,
15-Aug-2005,Nanjing 2 25K,3,Hard,R32,364,320,1,,8,Wynne Prakusya,Julia Efremova,7-5 6-2,,,,,,,,,,,,,,
8-Aug-2005,Wuxi 25K,3,Hard,SF,362,325,0,,Q,Miho Saeki,Wynne Prakusya,6-4 3-6 6-2,,,,,,,,,,,,,,
8-Aug-2005,Wuxi 25K,3,Hard,QF,362,826,1,,Q,Wynne Prakusya,Yi Jing Zhao,6-4 6-2,,,,,,,,,,,,,,
8-Aug-2005,Wuxi 25K,3,Hard,R16,362,320,1,,,Wynne Prakusya,Yan Ze Xie,6-0 6-2,,,,,,,,,,,,,,
8-Aug-2005,Wuxi 25K,3,Hard,R32,362,467,1,,Q,Wynne Prakusya,Irina Kotkina,7-6(5) 4-6 6-0,,,,,,,,,,,,,,
25-Jul-2005,St Joseph MD 10K,3,Hard,F,393,461,1,1,4,Wynne Prakusya,Sarah Riske,6-2 6-4,,,,,,,,,,,,,,
25-Jul-2005,St Joseph MD 10K,3,Hard,SF,393,495,1,1,6,Wynne Prakusya,Romana Tedjakusuma,6-1 7-6(5),,,,,,,,,,,,,,
25-Jul-2005,St Joseph MD 10K,3,Hard,QF,393,980,1,1,Q,Wynne Prakusya,Jessica Roland Rosario,6-7(6) 6-2 6-0,,,,,,,,,,,,,,
25-Jul-2005,St Joseph MD 10K,3,Hard,R16,393,,1,1,Q,Wynne Prakusya,Lauren Albanese,6-0 6-2,,,,,,,,,,,,,,
25-Jul-2005,St Joseph MD 10K,3,Hard,R32,393,1096,1,1,Q,Wynne Prakusya,Courtney Vernon,6-2 6-2,,,,,,,,,,,,,,
18-Jul-2005,Evansville IN 10K,3,Hard,SF,396,,0,1,Q,Sarah Taylor,Wynne Prakusya,7-5 4-6 7-6(5),,,,,,,,,,,,,,
18-Jul-2005,Evansville IN 10K,3,Hard,QF,396,631,1,1,7,Wynne Prakusya,Beau Jones,6-2 6-2,,,,,,,,,,,,,,
18-Jul-2005,Evansville IN 10K,3,Hard,R16,396,960,1,1,,Wynne Prakusya,Amanda Fink,6-4 5-2 RET,,,,,,,,,,,,,,
