Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
22-Jul-2002,Inchon 10K,3,Hard,R16,,,0,,,Eun Jeong Lee,Yang Jin Chung,0-6 6-2 7-5,,,,,,,,,,,,,,
22-Jul-2002,Inchon 10K,3,Hard,R32,,468,1,,5,Yang Jin Chung,Napaporn Tongsalee,6-2 6-1,,,,,,,,,,,,,,
15-Jul-2002,Seoul 10K,3,Hard,QF,,401,0,7,3,Kyung Mi Chang,Yang Jin Chung,6-4 6-2,,,,,,,,,,,,,,
15-Jul-2002,Seoul 10K,3,Hard,R16,,785,1,7,,Yang Jin Chung,Tomoko Dokei,6-0 6-3,,,,,,,,,,,,,,
15-Jul-2002,Seoul 10K,3,Hard,R32,,,1,7,WC,Yang Jin Chung,Ji Sun Ha,6-2 6-4,,,,,,,,,,,,,,
22-Apr-2002,Seoul 25K,3,Hard,R16,647,185,0,Q,3,Julie Pullin,Yang Jin Chung,6-1 6-1,,,,,,,,,,,,,,
22-Apr-2002,Seoul 25K,3,Hard,R32,647,273,1,Q,,Yang Jin Chung,Trudi Musgrave,7-6(5) 7-6(4),,,,,,,,,,,,,,
8-Mar-2002,Fed Cup G1 RRA: INA vs KOR,3,Hard,RR,568,99,0,,,Wynne Prakusya,Yang Jin Chung,6-4 6-2,,,,,,,,,,,,,,
10-Sep-2001,Seoul 50K,3,Hard,R16,,137,0,,1,Yoon Jeong Cho,Yang Jin Chung,6-2 5-7 7-6(2),,,,,,,,,,,,,,
10-Sep-2001,Seoul 50K,3,Hard,R32,,407,1,,,Yang Jin Chung,Kaori Aoyama,6-1 6-3,,,,,,,,,,,,,,
18-Jun-2001,Inchon 10K,3,Hard,F,,405,0,7,2,Tian Tian Sun,Yang Jin Chung,6-4 6-3,,,,,,,,,,,,,,
18-Jun-2001,Inchon 10K,3,Hard,SF,,284,1,7,1,Yang Jin Chung,Kyung Yee Chae,6-0 6-4,,,,,,,,,,,,,,
18-Jun-2001,Inchon 10K,3,Hard,QF,,,1,7,,Yang Jin Chung,Chisayo Ito,6-4 6-1,,,,,,,,,,,,,,
18-Jun-2001,Inchon 10K,3,Hard,R16,,,1,7,Q,Yang Jin Chung,Eun Young Ha,7-5 7-5,,,,,,,,,,,,,,
18-Jun-2001,Inchon 10K,3,Hard,R32,,,1,7,,Yang Jin Chung,Dea Sumantri,1-6 6-3 6-0,,,,,,,,,,,,,,
11-Jun-2001,Seoul 10K,3,Hard,SF,,409,0,8,2,Tian Tian Sun,Yang Jin Chung,6-1 6-4,,,,,,,,,,,,,,
11-Jun-2001,Seoul 10K,3,Hard,QF,,415,1,8,3,Yang Jin Chung,Nan Nan Liu,6-4 6-3,,,,,,,,,,,,,,
11-Jun-2001,Seoul 10K,3,Hard,R16,,,1,8,Q,Yang Jin Chung,Eun Young Ban,4-6 6-2 2-1 RET,,,,,,,,,,,,,,
11-Jun-2001,Seoul 10K,3,Hard,R32,,,1,8,WC,Yang Jin Chung,Mi Ok Kim,6-4 1-6 6-2,,,,,,,,,,,,,,
23-Apr-2001,Seoul 50K,3,Hard,R32,408,155,0,WC,6,Angelika Bachmann,Yang Jin Chung,6-1 7-6(2),,,,,,,,,,,,,,
13-Apr-2001,Fed Cup G1 RRA: KOR vs IND,3,Hard,RR,408,372,1,,,Yang Jin Chung,Manisha Malhotra,6-2 4-6 6-2,,,,,,,,,,,,,,
11-Apr-2001,Fed Cup G1 RRA: KOR vs INA,3,Hard,RR,408,367,1,,,Yang Jin Chung,Romana Tedjakusuma,6-4 6-3,,,,,,,,,,,,,,
9-Apr-2001,Fed Cup G1 RRA: KOR vs NZL,3,Hard,RR,408,361,1,,,Yang Jin Chung,Leanne Baker,6-3 6-0,,,,,,,,,,,,,,
5-Mar-2001,Hangzhou 25K,3,Hard,R16,430,,0,,Q,Nan Nan Liu,Yang Jin Chung,1-6 6-1 6-1,,,,,,,,,,,,,,
5-Mar-2001,Hangzhou 25K,3,Hard,R32,430,254,1,,4,Yang Jin Chung,Mi Ra Jeon,6-3 6-1,,,,,,,,,,,,,,
23-Oct-2000,Seoul 50K,3,Hard,R16,395,361,0,WC,,Young Ja Choi,Yang Jin Chung,5-3 4-2 4-2,,,,,,,,,,,,,,
23-Oct-2000,Seoul 50K,3,Hard,R16,395,361,0,WC,,Young Ja Choi,Yang Jin Chung,5-3 4-2 4-2,,,,,,,,,,,,,,
23-Oct-2000,Seoul 50K,3,Hard,R32,395,323,1,WC,,Yang Jin Chung,Rika Hiraki,4-2 4-2 5-4(2),,,,,,,,,,,,,,
23-Oct-2000,Seoul 50K,3,Hard,R32,395,323,1,WC,,Yang Jin Chung,Rika Hiraki,4-2 4-2 5-4(2),,,,,,,,,,,,,,
12-Jun-2000,Seoul 10K,3,Hard,F,401,715,1,3,,Yang Jin Chung,Eun Jeong Lee,6-4 6-2,,,,,,,,,,,,,,
12-Jun-2000,Seoul 10K,3,Hard,SF,401,490,1,3,6,Yang Jin Chung,Kyung Mi Chang,6-4 4-6 6-0,,,,,,,,,,,,,,
12-Jun-2000,Seoul 10K,3,Hard,QF,401,573,1,3,,Yang Jin Chung,Eun Young Ha,6-1 6-0,,,,,,,,,,,,,,
12-Jun-2000,Seoul 10K,3,Hard,R16,401,751,1,3,,Yang Jin Chung,Reiko Ino,7-5 6-3,,,,,,,,,,,,,,
12-Jun-2000,Seoul 10K,3,Hard,R32,401,,1,3,,Yang Jin Chung,Jin Young Choi,3-6 6-4 6-0,,,,,,,,,,,,,,
5-Jun-2000,Inchon 10K,3,Hard,F,396,397,0,1,2,Young Ja Choi,Yang Jin Chung,6-1 6-2,,,,,,,,,,,,,,
5-Jun-2000,Inchon 10K,3,Hard,SF,396,433,1,1,3,Yang Jin Chung,Kyung Yee Chae,6-3 6-4,,,,,,,,,,,,,,
5-Jun-2000,Inchon 10K,3,Hard,QF,396,,1,1,Q,Yang Jin Chung,An Na Lee,6-2 6-2,,,,,,,,,,,,,,
5-Jun-2000,Inchon 10K,3,Hard,R16,396,,1,1,WC,Yang Jin Chung,Mi Ok Kim,6-2 6-0,,,,,,,,,,,,,,
