Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
11-May-2015,La Marsa $25K,3,Clay,R32,1212,422,0,WC,Q,Alice Savoretti,Yosr Elmi,6-1 6-0,,,,,,,,,,,,,,
30-Mar-2015,El Kantaoui $10K,3,Hard,R32,1215,758,0,,8,Linda Prenkovic,Yosr Elmi,6-1 6-1,,,,,,,,,,,,,,
2-Mar-2015,El Kantaoui $10K,3,Hard,R32,1212,,0,,Q,Valeria Bhunu,Yosr Elmi,6-1 6-0,,,,,,,,,,,,,,
9-Feb-2015,El Kantaoui $10K,3,Hard,R32,1210,622,0,WC,,Sharmada Balu,Yosr Elmi,6-1 6-1,,,,,,,,,,,,,,
2-Feb-2015,El Kantaoui $10K,3,Hard,R32,1203,1070,0,WC,LL,Eva Raszkiewicz,Yosr Elmi,6-1 6-1,,,,,,,,,,,,,,
12-Jan-2015,El Kantaoui $10K,3,Hard,R32,1206,577,0,,5,Caroline Romeo,Yosr Elmi,6-2 6-0,,,,,,,,,,,,,,
17-Nov-2014,Sousse 10K,3,Hard,R32,1235,506,0,Q,6,Natalia Orlova,Yosr Elmi,6-1 6-3,,,,,,,,,,,,,,
10-Nov-2014,Sousse 10K,3,Hard,R32,1242,1156,0,LL,,Fiona Codino,Yosr Elmi,W/O,,,,,,,,,,,,,,
3-Nov-2014,Sousse 10K,3,Hard,R32,1244,,0,,WC,Georgina Fedosenkova,Yosr Elmi,6-4 6-3,,,,,,,,,,,,,,
2-Jun-2014,La Marsa 25K,3,Clay,R32,,304,0,WC,,Tereza Mrdeza,Yosr Elmi,6-0 6-1,,,,,,,,,,,,,,
19-May-2014,Sousse 10K,3,Hard,R16,,337,0,WC,2,Ana Sofia Sanchez,Yosr Elmi,6-0 6-2,,,,,,,,,,,,,,
19-May-2014,Sousse 10K,3,Hard,R32,,1255,1,WC,,Yosr Elmi,Erin Clark,7-6(0) 6-2,,,,,,,,,,,,,,
12-May-2014,Sousse 10K,3,Hard,R32,,,0,WC,Q,Avgusta Tsybysheva,Yosr Elmi,6-1 6-2,,,,,,,,,,,,,,
5-May-2014,Tunis 25K,3,Clay,R32,,231,0,WC,6,Ana Vrljic,Yosr Elmi,6-1 6-1,,,,,,,,,,,,,,
30-Sep-2013,Monastir 10K,3,Hard,R16,,735,0,WC,6,Bernice Van De Velde,Yosr Elmi,6-1 6-1,,,,,,,,,,,,,,
30-Sep-2013,Monastir 10K,3,Hard,R32,,,1,WC,WC,Yosr Elmi,Chiraz Bechri,3-6 6-1 6-2,,,,,,,,,,,,,,
23-Sep-2013,Monastir 10K,3,Hard,R32,,1057,0,WC,,Khristina Kazimova,Yosr Elmi,6-1 6-0,,,,,,,,,,,,,,
22-Apr-2013,Tunis 25K,3,Clay,R32,,194,0,WC,2,Kateryna Kozlova,Yosr Elmi,6-1 6-2,,,,,,,,,,,,,,
8-Apr-2013,La Marsa 25K,3,Clay,R32,,310,0,WC,,Eva Fernandez Brugues,Yosr Elmi,6-0 6-0,,,,,,,,,,,,,,
29-Oct-2012,Monastir 10K,3,Hard,R32,,783,0,WC,4,Amandine Cazeaux,Yosr Elmi,6-1 6-0,,,,,,,,,,,,,,
22-Oct-2012,Monastir 10K,3,Hard,R32,,535,0,WC,4,Martina Borecka,Yosr Elmi,6-0 6-0,,,,,,,,,,,,,,
23-Apr-2012,Tunis 25K,3,Clay,R32,,543,0,WC,LL,Lucia Cervera Vazquez,Yosr Elmi,6-1 6-1,,,,,,,,,,,,,,
