Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
31-Jan-2022,W25 Sharm ElSheikh,3,Hard,Q1,1320,909,0,,,Anita Husaric,Youmi Zhuoma,7-5 6-4,,,,,,,,,,,,,,
24-Jan-2022,W25 Cairo,3,Clay,Q3,1323,874,0,,6,Yasmin Ezzat,Youmi Zhuoma,6-4 2-6 12-10,,,,,,,,,,,,,,
24-Jan-2022,W25 Cairo,3,Clay,Q2,1323,945,1,,9,Youmi Zhuoma,Maria Fernanda Morales,2-6 6-3 10-6,,,,,,,,,,,,,,
24-Jan-2022,W25 Cairo,3,Clay,Q1,1323,,1,,,Youmi Zhuoma,Joody Elkady,W/O,,,,,,,,,,,,,,
10-Jan-2022,W15 Cairo,3,Clay,R32,1326,1129,0,,,Riko Sawayanagi,Youmi Zhuoma,6-2 6-1,,,,,,,,,,,,,,
3-Jan-2022,W15 Cairo,3,Clay,R32,1324,577,0,,1,Anastasia Evgenyevna Nefedova,Youmi Zhuoma,7-6(5) 6-1,,,,,,,,,,,,,,
27-Dec-2021,W15 Giza,3,Hard,R32,1319,606,0,,3,Selena Janicijevic,Youmi Zhuoma,6-3 6-2,,,,,,,,,,,,,,
13-Dec-2021,W15 Giza,3,Hard,R32,,917,0,Q,8,Bojana Marinkovic,Youmi Zhuoma,6-3 6-3,,,,,,,,,,,,,,
13-Dec-2021,W15 Giza,3,Hard,Q3,,,1,6,10,Youmi Zhuoma,Anna Borovinskaya,6-2 6-1,,,,,,,,,,,,,,
13-Dec-2021,W15 Giza,3,Hard,Q2,,,1,6,,Youmi Zhuoma,Login Khairy,6-1 6-0,,,,,,,,,,,,,,
6-Dec-2021,W15 Cairo,3,Clay,R32,,1075,0,Q,,Louise Brunskog,Youmi Zhuoma,3-6 6-4 6-4,,,,,,,,,,,,,,
6-Dec-2021,W15 Cairo,3,Clay,Q3,,,1,5,,Youmi Zhuoma,Daria Domova,6-3 6-1,,,,,,,,,,,,,,
6-Dec-2021,W15 Cairo,3,Clay,Q2,,,1,5,,Youmi Zhuoma,Kristina Paskauskas,6-1 6-0,,,,,,,,,,,,,,
29-Nov-2021,W15 Cairo,3,Clay,R16,,425,0,Q,1,Sandra Samir,Youmi Zhuoma,6-2 6-3,,,,,,,,,,,,,,
29-Nov-2021,W15 Cairo,3,Clay,R32,,955,1,Q,,Youmi Zhuoma,Linda Salvi,6-4 6-2,,,,,,,,,,,,,,
29-Nov-2021,W15 Cairo,3,Clay,Q3,,,1,10,6,Youmi Zhuoma,Mariya Poduraeva,7-5 6-2,,,,,,,,,,,,,,
29-Nov-2021,W15 Cairo,3,Clay,Q2,,,1,10,,Youmi Zhuoma,Farida Moussa,6-1 6-0,,,,,,,,,,,,,,
22-Nov-2021,W15 Cairo,3,Clay,R16,,763,0,Q,5,Carson Branstine,Youmi Zhuoma,7-5 6-7(4) 7-5,,,,,,,,,,,,,,
22-Nov-2021,W15 Cairo,3,Clay,R32,,1391,1,Q,,Youmi Zhuoma,Elisa Andrea Camerano,6-2 6-1,,,,,,,,,,,,,,
22-Nov-2021,W15 Cairo,3,Clay,Q3,,1292,1,12,4,Youmi Zhuoma,Xin Tong Wang,6-1 7-6(4),,,,,,,,,,,,,,
22-Nov-2021,W15 Cairo,3,Clay,Q2,,,1,12,,Youmi Zhuoma,Layla Elragabi,6-1 6-0,,,,,,,,,,,,,,
22-Nov-2021,W15 Cairo,3,Clay,Q1,,,1,12,,Youmi Zhuoma,Nour Shafei,6-1 6-0,,,,,,,,,,,,,,
