Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
23-May-2005,Roland Garros,5,Clay,Q1,163,106,0,,4,Lucie Safarova,Yuka Yoshida,6-1 6-1,,,,,,,,,,,,,,
2-May-2005,Gifu 50K,3,Carpet,R16,158,346,0,3,,Daja Bedanova,Yuka Yoshida,6-4 6-4,,,,,,,,,,,,,,
2-May-2005,Gifu 50K,3,Carpet,R32,158,,1,3,WC,Yuka Yoshida,Norie Kojima,6-0 6-0,,,,,,,,,,,,,,
18-Apr-2005,Dothan AL 75K,3,Clay,R32,138,153,0,7,,Nan Nan Liu,Yuka Yoshida,6-2 6-0,,,,,,,,,,,,,,
11-Apr-2005,Charleston,3,Clay,Q1,138,78,0,,2,Tatiana Perebiynis,Yuka Yoshida,6-1 6-1,,,,,,,,,,,,,,
21-Feb-2005,St Paul MN 50K,3,Hard,R32,135,207,0,5,LL,Stanislava Hrozenska,Yuka Yoshida,6-1 6-1,,,,,,,,,,,,,,
14-Feb-2005,Memphis,3,Hard,R16,134,57,0,Q,8,Evgenia Linetskaya,Yuka Yoshida,6-2 6-2,0.66,1.5%,4.6%,50.8%,45.5%,40.6%,66.7% (10/15),40.5%,37.5%,3.6%,33.3%,42.3%,12.5% (1/8),
14-Feb-2005,Memphis,3,Hard,R32,134,142,1,Q,Q,Yuka Yoshida,Katerina Bohmova,6-2 5-7 6-4,,,,,,,,,,,,,,
14-Feb-2005,Memphis,3,Hard,Q3,134,203,1,2,,Yuka Yoshida,Varvara Lepchenko,3-6 6-3 6-3,,,,,,,,,,,,,,
14-Feb-2005,Memphis,3,Hard,Q2,134,252,1,2,,Yuka Yoshida,Lina Stanciute,7-5 7-5,,,,,,,,,,,,,,
14-Feb-2005,Memphis,3,Hard,Q1,134,332,1,2,A,Yuka Yoshida,Anne Mall,6-2 6-1,,,,,,,,,,,,,,
7-Feb-2005,Midland MI 75K,3,Hard,R32,133,278,0,5,SR,Seda Noorlander,Yuka Yoshida,6-1 6-4,,,,,,,,,,,,,,
1-Feb-2005,Tokyo,3,Carpet,R32,144,32,0,Q,,Shinobu Asagoe,Yuka Yoshida,6-2 6-1,,,,,,,,,,,,,,
1-Feb-2005,Tokyo,3,Carpet,Q3,144,118,1,5,3,Yuka Yoshida,Els Callens,7-6(7) 6-1,,,,,,,,,,,,,,
1-Feb-2005,Tokyo,3,Carpet,Q2,144,522,1,5,WC,Yuka Yoshida,Junri Namigata,6-2 7-6(4),,,,,,,,,,,,,,
1-Feb-2005,Tokyo,3,Carpet,Q1,144,397,1,5,,Yuka Yoshida,Natsumi Hamamura,6-1 6-4,,,,,,,,,,,,,,
17-Jan-2005,Australian Open,5,Hard,Q3,159,175,0,,,Nan Nan Liu,Yuka Yoshida,6-4 6-3,,,,,,,,,,,,,,
17-Jan-2005,Australian Open,5,Hard,Q2,159,150,1,,,Yuka Yoshida,Katerina Bohmova,7-5 6-2,,,,,,,,,,,,,,
17-Jan-2005,Australian Open,5,Hard,Q1,159,211,1,,,Yuka Yoshida,Eva Fislova,6-0 6-4,,,,,,,,,,,,,,
3-Jan-2005,Auckland,3,Hard,R32,158,216,0,Q,,Lucie Safarova,Yuka Yoshida,6-0 6-1,,,,,,,,,,,,,,
