Date,Tournament,Sets,Surface,Rd,Rk,vRk,W,tRk,vtRk,WP,LP,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,TPW,RPW,vA%,v1st%,v2nd%,BPCnv,Time
5-Nov-2012,Heraklion 10K,3,Carpet,R32,,735,0,Q,,Viktoria Malova,Zsofia Miko,2-6 7-6(4) 6-0,,,,,,,,,,,,,,
6-Aug-2012,Piestany 10K,3,Clay,R32,,614,0,Q,5,Katerina Vankova,Zsofia Miko,6-1 2-6 6-1,,,,,,,,,,,,,,
2-Jul-2012,Sharm El Sheikh 10K,3,Hard,R32,,1127,0,,Q,Sabrina Bamburac,Zsofia Miko,3-6 6-2 7-6(2),,,,,,,,,,,,,,
25-Jun-2012,Sharm El Sheikh 10K,3,Hard,R32,,1165,0,,,Barbara Bonic,Zsofia Miko,7-6(6) 7-5,,,,,,,,,,,,,,
18-Jun-2012,Sharm El Sheikh 10K,3,Hard,R32,,404,0,,2,Wing Yau Venise Chan,Zsofia Miko,6-2 6-3,,,,,,,,,,,,,,
13-Feb-2012,Leimen 10K,3,Hard,R32,1008,496,0,Q,,Amandine Hesse,Zsofia Miko,6-1 6-3,,,,,,,,,,,,,,
23-Jan-2012,Kaarst 10K,3,Carpet,R32,1012,286,0,Q,3,Alison Van Uytvanck,Zsofia Miko,7-6(5) 7-5,,,,,,,,,,,,,,
29-Aug-2011,Sarajevo 25K,3,Clay,R32,1026,225,0,LL,3,Ani Mijacika,Zsofia Miko,3-6 6-3 6-4,,,,,,,,,,,,,,
22-Aug-2011,Vinkovci 10K,3,Clay,R32,1025,913,0,Q,,Jovana Jaksic,Zsofia Miko,6-3 0-6 6-3,,,,,,,,,,,,,,
15-Aug-2011,Piestany 10K,3,Clay,R32,1027,535,0,Q,7,Denisa Allertova,Zsofia Miko,6-1 6-2,,,,,,,,,,,,,,
25-Jul-2011,Bad Waltersdorf 10K,3,Clay,SF,,,0,Q,Q,Victoria Kan,Zsofia Miko,6-4 5-7 6-3,,,,,,,,,,,,,,
25-Jul-2011,Bad Waltersdorf 10K,3,Clay,QF,,1087,1,Q,,Zsofia Miko,Giulia Pasini,6-0 6-0,,,,,,,,,,,,,,
25-Jul-2011,Bad Waltersdorf 10K,3,Clay,R16,,1121,1,Q,,Zsofia Miko,Veronika Sepp,4-6 7-6(0) 6-4,,,,,,,,,,,,,,
